"Title:","'ALCORT_R1_Mikrotik - Traffic AIRE VoIP'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-04-20 22:30:00"
"End Date:","2026-04-20 22:30:00"
"Step:","1800"
"Total Rows:","337"
"Graph ID:","62"
"Host ID:","25"
""
"Date","Inbound","Outbound"
"2026-04-20 22:30:00","4.6469872486e+05","4.9600919654e+05"
"2026-04-20 23:00:00","3.1546412181e+05","3.3692665087e+05"
"2026-04-20 23:30:00","2.0419357889e+05","2.1748077333e+05"
"2026-04-21 00:00:00","1.3065146579e+03","5.0240769617e+02"
"2026-04-21 00:30:00","1.2630790458e+03","7.1371600753e+02"
"2026-04-21 01:00:00","6.7503998057e+03","6.5929817851e+03"
"2026-04-21 01:30:00","8.3174389800e+02","1.0458265938e+02"
"2026-04-21 02:00:00","7.5411555556e+02","2.9632000000e+02"
"2026-04-21 02:30:00","6.9243629630e+02","1.0456444444e+02"
"2026-04-21 03:00:00","8.0677481481e+02","1.0488000000e+02"
"2026-04-21 03:30:00","1.8954022222e+03","1.1331996296e+03"
"2026-04-21 04:00:00","1.4975451601e+03","8.1990568110e+02"
"2026-04-21 04:30:00","1.5181615066e+03","5.2151691149e+02"
"2026-04-21 05:00:00","1.0124451852e+03","4.1511555556e+02"
"2026-04-21 05:30:00","1.3714980917e+03","8.1132467043e+02"
"2026-04-21 06:00:00","1.1440893643e+03","2.0979044796e+02"
"2026-04-21 06:30:00","2.2900532848e+03","1.6178093260e+03"
"2026-04-21 07:00:00","6.8764677464e+03","6.6521671563e+03"
"2026-04-21 07:30:00","6.2691926240e+03","5.9135024733e+03"
"2026-04-21 08:00:00","4.1074271111e+04","4.2565030000e+04"
"2026-04-21 08:30:00","2.3740298966e+05","2.5237727276e+05"
"2026-04-21 09:00:00","3.8282048034e+05","4.0946480465e+05"
"2026-04-21 09:30:00","8.4598094647e+05","9.0724720242e+05"
"2026-04-21 10:00:00","9.2762862929e+05","9.9624696226e+05"
"2026-04-21 10:30:00","1.0280669835e+06","1.0978447268e+06"
"2026-04-21 11:00:00","1.0796519911e+06","1.1465019419e+06"
"2026-04-21 11:30:00","1.3261588456e+06","1.4175575469e+06"
"2026-04-21 12:00:00","1.0132323243e+06","1.0852887865e+06"
"2026-04-21 12:30:00","1.2667729224e+06","1.3717116388e+06"
"2026-04-21 13:00:00","1.4550064559e+06","1.5591650741e+06"
"2026-04-21 13:30:00","1.2050374966e+06","1.2864064300e+06"
"2026-04-21 14:00:00","8.3254392808e+05","8.9094777887e+05"
