"Title:","'ALCORT_R1_Mikrotik - Traffic XTRA VoIP'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-03-27 23:00:00"
"End Date:","2026-03-27 23:00:00"
"Step:","7200"
"Total Rows:","373"
"Graph ID:","98"
"Host ID:","25"
""
"Date","Inbound","Outbound"
"2026-03-27 23:00:00","6.9605501670e+05","7.4232852532e+05"
"2026-03-28 01:00:00","1.1825619452e+05","1.2635165399e+05"
"2026-03-28 03:00:00","1.0077120267e+04","1.1133248567e+04"
"2026-03-28 05:00:00","1.1430742593e+04","1.2956580463e+04"
"2026-03-28 07:00:00","7.2257597222e+03","8.1481195370e+03"
"2026-03-28 09:00:00","5.2809965648e+04","5.6457785556e+04"
"2026-03-28 11:00:00","7.7114455972e+05","8.2169952741e+05"
"2026-03-28 13:00:00","1.0641475236e+06","1.1334287253e+06"
"2026-03-28 15:00:00","9.3716577870e+05","1.0034725185e+06"
"2026-03-28 17:00:00","4.3053902139e+05","4.5854741491e+05"
"2026-03-28 19:00:00","6.3651183363e+05","6.7869676391e+05"
"2026-03-28 21:00:00","6.9228157489e+05","7.3717434044e+05"
"2026-03-28 23:00:00","6.2913005333e+05","6.7084845907e+05"
"2026-03-29 01:00:00","7.3499957870e+04","7.8678736296e+04"
"2026-03-29 04:00:00","1.5158842706e+04","1.6458031160e+04"
"2026-03-29 06:00:00","9.4202839672e+03","1.0419987974e+04"
"2026-03-29 08:00:00","5.5903496198e+04","5.9963051237e+04"
"2026-03-29 10:00:00","8.3629728556e+04","8.9137048271e+04"
"2026-03-29 12:00:00","6.8675530228e+05","7.3231343654e+05"
"2026-03-29 14:00:00","9.6484418419e+05","1.0274156947e+06"
"2026-03-29 16:00:00","5.8724300381e+05","6.2655973769e+05"
"2026-03-29 18:00:00","4.6932768774e+05","5.0130932577e+05"
"2026-03-29 20:00:00","7.1165126264e+05","7.5933750432e+05"
"2026-03-29 22:00:00","8.5334763931e+05","9.1090239864e+05"
"2026-03-30 00:00:00","4.0526819444e+05","4.3148591324e+05"
"2026-03-30 02:00:00","1.3435409980e+04","1.4671033336e+04"
"2026-03-30 04:00:00","8.1480729834e+03","8.6643865709e+03"
"2026-03-30 06:00:00","6.6024202935e+03","7.1597387021e+03"
"2026-03-30 08:00:00","1.8391864429e+04","1.9453612409e+04"
"2026-03-30 10:00:00","8.2129022898e+05","8.7197259046e+05"
"2026-03-30 12:00:00","2.3417367888e+06","2.4876799546e+06"
"2026-03-30 14:00:00","2.3961576243e+06","2.5522083679e+06"
