"Title:","'ALCORT_R1_Mikrotik - Traffic XTRA VoIP'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-04-20 22:30:00"
"End Date:","2026-04-20 22:30:00"
"Step:","1800"
"Total Rows:","337"
"Graph ID:","98"
"Host ID:","25"
""
"Date","Inbound","Outbound"
"2026-04-20 22:30:00","7.3791682093e+05","7.8683638486e+05"
"2026-04-20 23:00:00","2.4488141907e+05","2.6121060440e+05"
"2026-04-20 23:30:00","2.6059718593e+05","2.7795176074e+05"
"2026-04-21 00:00:00","7.6160107163e+04","8.1942432881e+04"
"2026-04-21 00:30:00","2.8275667282e+04","3.0311251563e+04"
"2026-04-21 01:00:00","6.9296922526e+03","7.6211140619e+03"
"2026-04-21 01:30:00","3.2562144141e+03","3.8753418640e+03"
"2026-04-21 02:00:00","3.9238048148e+03","1.9727348148e+03"
"2026-04-21 02:30:00","1.0856692593e+03","1.4376803704e+03"
"2026-04-21 03:00:00","5.2930777778e+03","5.9586925926e+03"
"2026-04-21 03:30:00","2.1431746667e+04","2.5232829259e+04"
"2026-04-21 04:00:00","1.1947854614e+03","1.7176085813e+03"
"2026-04-21 04:30:00","7.2636549090e+03","8.9613091965e+03"
"2026-04-21 05:00:00","6.7520411111e+03","7.4481514815e+03"
"2026-04-21 05:30:00","3.8063762963e+03","4.1947982298e+03"
"2026-04-21 06:00:00","9.3376604736e+03","1.0325911461e+04"
"2026-04-21 06:30:00","3.6101873042e+03","4.2432310504e+03"
"2026-04-21 07:00:00","9.3509466478e+03","1.0033166190e+04"
"2026-04-21 07:30:00","1.9570712241e+04","2.0262957884e+04"
"2026-04-21 08:00:00","4.4928514444e+04","4.7364443333e+04"
"2026-04-21 08:30:00","2.2600179754e+05","2.3861399695e+05"
"2026-04-21 09:00:00","5.4640007987e+05","5.7806594897e+05"
"2026-04-21 09:30:00","1.5156927703e+06","1.6274446268e+06"
"2026-04-21 10:00:00","1.9410056468e+06","2.1253008123e+06"
"2026-04-21 10:30:00","2.1325406233e+06","2.2648583890e+06"
"2026-04-21 11:00:00","2.2491724813e+06","2.3958336810e+06"
"2026-04-21 11:30:00","2.5909425293e+06","2.8338687955e+06"
"2026-04-21 12:00:00","2.5083847169e+06","2.6672261342e+06"
"2026-04-21 12:30:00","2.8449386402e+06","3.0280017885e+06"
"2026-04-21 13:00:00","2.9047567056e+06","3.0865164959e+06"
"2026-04-21 13:30:00","2.3977202590e+06","2.5432337624e+06"
"2026-04-21 14:00:00","2.1226004651e+06","2.2568125501e+06"
"2026-04-21 14:30:00","1.1402071967e+06","1.2116809723e+06"
"2026-04-21 15:00:00","7.0251547556e+05","7.4616161370e+05"
"2026-04-21 15:30:00","6.4531034128e+05","6.8088564659e+05"
"2026-04-21 16:00:00","6.8552386872e+05","7.2586720526e+05"
"2026-04-21 16:30:00","1.1704624104e+06","1.2413464874e+06"
"2026-04-21 17:00:00","1.1618116711e+06","1.2410841627e+06"
"2026-04-21 17:30:00","1.3337770346e+06","1.4167977143e+06"
"2026-04-21 18:00:00","1.3067339795e+06","1.3889850038e+06"
"2026-04-21 18:30:00","1.3859640393e+06","1.4756005212e+06"
"2026-04-21 19:00:00","1.4255110791e+06","1.5202715668e+06"
"2026-04-21 19:30:00","1.3436858937e+06","1.4298035849e+06"
"2026-04-21 20:00:00","1.1841655783e+06","1.2597907023e+06"
"2026-04-21 20:30:00","9.4282574352e+05","1.0073190707e+06"
"2026-04-21 21:00:00","1.0379437722e+06","1.1066289485e+06"
"2026-04-21 21:30:00","6.1224744889e+05","6.5289914370e+05"
"2026-04-21 22:00:00","7.3336153926e+05","7.8055716148e+05"
"2026-04-21 22:30:00","5.0213763630e+05","5.3568252889e+05"
"2026-04-21 23:00:00","3.3639569185e+05","3.5887071259e+05"
"2026-04-21 23:30:00","2.2228573778e+05","2.3738884778e+05"
"2026-04-22 00:00:00","3.4452237407e+04","3.6906422963e+04"
"2026-04-22 00:30:00","7.0117912963e+04","7.5264595185e+04"
"2026-04-22 01:00:00","5.6658811946e+04","6.0620996811e+04"
"2026-04-22 01:30:00","2.7192420339e+03","3.0303453107e+03"
"2026-04-22 02:00:00","7.0580315149e+03","7.6894657714e+03"
"2026-04-22 02:30:00","5.8531068124e+03","6.4087934426e+03"
"2026-04-22 03:00:00","6.0865940984e+03","7.6644495446e+03"
"2026-04-22 03:30:00","1.3055019308e+04","1.6529119126e+04"
"2026-04-22 04:00:00","1.1787865088e+03","1.7262277717e+03"
"2026-04-22 04:30:00","8.4510751852e+03","9.0255437037e+03"
"2026-04-22 05:00:00","2.5655133333e+03","2.8703222222e+03"
"2026-04-22 05:30:00","3.4519107407e+03","4.2544522222e+03"
"2026-04-22 06:00:00","7.5220423194e+03","8.1823901093e+03"
"2026-04-22 06:30:00","2.4488445902e+03","2.8724963934e+03"
"2026-04-22 07:00:00","1.1846973831e+04","1.2782166460e+04"
"2026-04-22 07:30:00","1.3306035556e+04","1.4433249630e+04"
"2026-04-22 08:00:00","4.2649028427e+04","4.3154468209e+04"
"2026-04-22 08:30:00","2.3252123935e+05","2.4407335290e+05"
"2026-04-22 09:00:00","4.9927659992e+05","5.3052652214e+05"
"2026-04-22 09:30:00","1.2897909320e+06","1.3625356997e+06"
"2026-04-22 10:00:00","1.9200923708e+06","2.0331760667e+06"
"2026-04-22 10:30:00","1.9866505501e+06","2.1052621704e+06"
"2026-04-22 11:00:00","1.9573461816e+06","2.0680264810e+06"
"2026-04-22 11:30:00","2.3788821948e+06","2.5177266878e+06"
"2026-04-22 12:00:00","2.4698187626e+06","2.6117937930e+06"
"2026-04-22 12:30:00","2.8152821170e+06","2.9899444937e+06"
"2026-04-22 13:00:00","3.0152218556e+06","3.2105597096e+06"
"2026-04-22 13:30:00","2.5495464152e+06","2.7124694048e+06"
"2026-04-22 14:00:00","2.1941752963e+06","2.3269492622e+06"
"2026-04-22 14:30:00","1.0723684152e+06","1.1372497293e+06"
"2026-04-22 15:00:00","8.2797773176e+05","8.7942541048e+05"
"2026-04-22 15:30:00","8.9296688194e+05","9.5191029804e+05"
"2026-04-22 16:00:00","1.2825459437e+06","1.3679505667e+06"
"2026-04-22 16:30:00","9.1873663852e+05","9.7454941741e+05"
"2026-04-22 17:00:00","1.3493829022e+06","1.4274432643e+06"
