"Title:","'ALCORT_R3_Huawei_GE-0/2/0 - Traffico 10G Avatel Serosense'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-04-20 18:00:00"
"End Date:","2026-04-20 18:00:00"
"Step:","1800"
"Total Rows:","337"
"Graph ID:","241"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-04-20 18:00:00","1.9790516018e+08","2.4720783011e+09"
"2026-04-20 18:30:00","2.7388782954e+08","2.4465503817e+09"
"2026-04-20 19:00:00","2.2679975669e+08","2.6444945393e+09"
"2026-04-20 19:30:00","2.2768328732e+08","2.5741707189e+09"
"2026-04-20 20:00:00","2.4326099338e+08","2.8251520982e+09"
"2026-04-20 20:30:00","2.4935493364e+08","3.1049110100e+09"
"2026-04-20 21:00:00","2.5891643354e+08","3.3865967388e+09"
"2026-04-20 21:30:00","2.9238080472e+08","3.6390265329e+09"
"2026-04-20 22:00:00","3.1172440109e+08","4.3770186412e+09"
"2026-04-20 22:30:00","3.6219024928e+08","4.7351576798e+09"
"2026-04-20 23:00:00","3.2756214127e+08","4.4735641456e+09"
"2026-04-20 23:30:00","3.4044159580e+08","4.1657581068e+09"
"2026-04-21 00:00:00","3.4894376027e+08","3.0343342659e+09"
"2026-04-21 00:30:00","2.7844875511e+08","2.3719597892e+09"
"2026-04-21 01:00:00","2.4819506048e+08","1.8043212484e+09"
"2026-04-21 01:30:00","2.9316730082e+08","1.6355522430e+09"
"2026-04-21 02:00:00","2.8498762551e+08","1.2532984497e+09"
"2026-04-21 02:30:00","2.2499507380e+08","1.1112125886e+09"
"2026-04-21 03:00:00","1.9365689906e+08","9.8667558819e+08"
"2026-04-21 03:30:00","2.1321771324e+08","9.3765389688e+08"
"2026-04-21 04:00:00","2.2038694370e+08","8.0672520405e+08"
"2026-04-21 04:30:00","1.9850105128e+08","7.2804822493e+08"
"2026-04-21 05:00:00","1.7140852428e+08","7.1949440882e+08"
"2026-04-21 05:30:00","1.6889836135e+08","7.7138920442e+08"
"2026-04-21 06:00:00","1.6144496724e+08","7.8846849577e+08"
"2026-04-21 06:30:00","1.6652458935e+08","9.2852395729e+08"
"2026-04-21 07:00:00","1.5792627476e+08","1.1266742243e+09"
"2026-04-21 07:30:00","1.6215055773e+08","1.3635521416e+09"
"2026-04-21 08:00:00","1.8555992161e+08","1.5597891755e+09"
