"Title:","'ALCORT_R3_Huawei_GE-0/3/0 - Trafico Hurricane 10G LAG (1)'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-04-20 17:30:00"
"End Date:","2026-04-20 17:30:00"
"Step:","1800"
"Total Rows:","337"
"Graph ID:","252"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-04-20 17:30:00","3.2485821210e+09","4.3731808815e+08"
"2026-04-20 18:00:00","3.1136691204e+09","4.6512062776e+08"
"2026-04-20 18:30:00","3.1063918625e+09","5.1758494051e+08"
"2026-04-20 19:00:00","2.8599199668e+09","4.5379662565e+08"
"2026-04-20 19:30:00","3.1731500029e+09","4.5465498272e+08"
"2026-04-20 20:00:00","3.4684918714e+09","4.6025208420e+08"
"2026-04-20 20:30:00","3.4542499231e+09","3.9058717451e+08"
"2026-04-20 21:00:00","3.7430001600e+09","5.2222432055e+08"
"2026-04-20 21:30:00","4.2780737146e+09","4.4417331508e+08"
"2026-04-20 22:00:00","5.0326759482e+09","4.0596063391e+08"
"2026-04-20 22:30:00","5.3448619768e+09","4.0765501126e+08"
"2026-04-20 23:00:00","5.3798408818e+09","4.2577914162e+08"
"2026-04-20 23:30:00","5.0857019960e+09","4.0230546618e+08"
"2026-04-21 00:00:00","4.6230275527e+09","4.4818024601e+08"
"2026-04-21 00:30:00","3.4108636984e+09","3.4550564251e+08"
"2026-04-21 01:00:00","2.1048506718e+09","3.0545699288e+08"
"2026-04-21 01:30:00","1.7529714321e+09","2.7336396744e+08"
"2026-04-21 02:00:00","1.4077475492e+09","2.3743640210e+08"
"2026-04-21 02:30:00","1.1720706719e+09","2.3716271472e+08"
"2026-04-21 03:00:00","9.9939894348e+08","2.3587670684e+08"
"2026-04-21 03:30:00","8.9482940391e+08","2.5977243511e+08"
"2026-04-21 04:00:00","7.8754786585e+08","1.7825921418e+08"
"2026-04-21 04:30:00","7.2806155737e+08","1.6177868541e+08"
"2026-04-21 05:00:00","6.5044613430e+08","1.4974347738e+08"
"2026-04-21 05:30:00","5.9709096371e+08","1.3514137776e+08"
"2026-04-21 06:00:00","6.1688857842e+08","1.5242929095e+08"
"2026-04-21 06:30:00","6.6499608206e+08","1.1658985068e+08"
"2026-04-21 07:00:00","7.0578624801e+08","1.2039707768e+08"
"2026-04-21 07:30:00","9.1798642909e+08","2.0964532533e+08"
"2026-04-21 08:00:00","1.0348439777e+09","1.4412429975e+08"
"2026-04-21 08:30:00","1.1625202074e+09","1.8567489487e+08"
"2026-04-21 09:00:00","1.1188846926e+09","1.6988769461e+08"
"2026-04-21 09:30:00","1.1621295045e+09","2.2861453104e+08"
"2026-04-21 10:00:00","1.1920605942e+09","2.2225918078e+08"
"2026-04-21 10:30:00","1.5481998402e+09","2.3164332610e+08"
"2026-04-21 11:00:00","1.3619280122e+09","3.3111364097e+08"
"2026-04-21 11:30:00","1.3503096642e+09","3.0529453713e+08"
"2026-04-21 12:00:00","1.2277954499e+09","2.5910291865e+08"
"2026-04-21 12:30:00","1.3717196532e+09","3.3566013160e+08"
"2026-04-21 13:00:00","1.4306322138e+09","2.8728116778e+08"
"2026-04-21 13:30:00","1.5320774382e+09","3.3107253953e+08"
"2026-04-21 14:00:00","1.5969718400e+09","2.5959998281e+08"
"2026-04-21 14:30:00","1.7373333960e+09","2.4235336483e+08"
"2026-04-21 15:00:00","1.9244148039e+09","2.6475275737e+08"
"2026-04-21 15:30:00","2.2601505034e+09","3.6004972821e+08"
