"Title:","'ALCORT_R3_Huawei_GE-0/3/1 - Trafico Hurricane 10G LAG  (2)'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-04-20 17:30:00"
"End Date:","2026-04-20 17:30:00"
"Step:","1800"
"Total Rows:","337"
"Graph ID:","268"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-04-20 17:30:00","3.2213865640e+09","6.5419990444e+08"
"2026-04-20 18:00:00","3.0916456346e+09","6.9417823621e+08"
"2026-04-20 18:30:00","2.8572607216e+09","6.6737377464e+08"
"2026-04-20 19:00:00","2.7871689013e+09","6.6373404675e+08"
"2026-04-20 19:30:00","2.9348704697e+09","5.0151389629e+08"
"2026-04-20 20:00:00","3.3747471743e+09","4.5911673204e+08"
"2026-04-20 20:30:00","3.4631365515e+09","5.3445673281e+08"
"2026-04-20 21:00:00","4.0079196893e+09","5.0917303124e+08"
"2026-04-20 21:30:00","4.4829984305e+09","4.7080097342e+08"
"2026-04-20 22:00:00","4.9321945083e+09","5.4224527402e+08"
"2026-04-20 22:30:00","5.4251724516e+09","5.0855166444e+08"
"2026-04-20 23:00:00","5.6117349601e+09","5.1026377744e+08"
"2026-04-20 23:30:00","5.0812494785e+09","4.2566990287e+08"
"2026-04-21 00:00:00","4.6038949573e+09","3.3339303441e+08"
"2026-04-21 00:30:00","3.5040789605e+09","2.8068585871e+08"
"2026-04-21 01:00:00","2.1007866853e+09","3.1626279588e+08"
"2026-04-21 01:30:00","1.6475851276e+09","2.5764924132e+08"
"2026-04-21 02:00:00","1.4265646664e+09","2.3019265015e+08"
"2026-04-21 02:30:00","1.1627535303e+09","1.9533077151e+08"
"2026-04-21 03:00:00","1.0279158606e+09","1.5791195794e+08"
"2026-04-21 03:30:00","9.2108647076e+08","1.6652551134e+08"
"2026-04-21 04:00:00","7.9242016874e+08","1.6798613721e+08"
"2026-04-21 04:30:00","7.1707366329e+08","1.5414314756e+08"
"2026-04-21 05:00:00","7.1126848453e+08","1.3655042105e+08"
"2026-04-21 05:30:00","7.0060957499e+08","1.3337083946e+08"
"2026-04-21 06:00:00","6.7091886731e+08","1.4702708093e+08"
"2026-04-21 06:30:00","6.9945497532e+08","1.2467513207e+08"
"2026-04-21 07:00:00","7.1841606247e+08","1.5104486932e+08"
"2026-04-21 07:30:00","1.0292986611e+09","1.5923092879e+08"
"2026-04-21 08:00:00","1.0534606085e+09","1.6551045150e+08"
"2026-04-21 08:30:00","1.1148275165e+09","2.0971536221e+08"
"2026-04-21 09:00:00","1.1062688094e+09","1.7888239578e+08"
"2026-04-21 09:30:00","1.1460591677e+09","2.6711843929e+08"
"2026-04-21 10:00:00","1.2331158222e+09","2.6007704847e+08"
"2026-04-21 10:30:00","1.2602191203e+09","2.9021401356e+08"
"2026-04-21 11:00:00","1.2468746434e+09","2.3300124791e+08"
"2026-04-21 11:30:00","1.2949514211e+09","3.8438314897e+08"
"2026-04-21 12:00:00","1.3339729439e+09","3.7390532025e+08"
"2026-04-21 12:30:00","1.4585559606e+09","4.2241472742e+08"
"2026-04-21 13:00:00","1.3486990319e+09","3.0025661146e+08"
"2026-04-21 13:30:00","1.3614817659e+09","2.6059926743e+08"
"2026-04-21 14:00:00","1.7816906106e+09","2.4863964187e+08"
"2026-04-21 14:30:00","1.6639106582e+09","2.7119886291e+08"
"2026-04-21 15:00:00","1.8218087246e+09","3.1134901722e+08"
"2026-04-21 15:30:00","2.2061187989e+09","3.2125686127e+08"
"2026-04-21 16:00:00","2.7982163031e+09","3.5212302980e+08"
"2026-04-21 16:30:00","3.4861939720e+09","3.1422823631e+08"
"2026-04-21 17:00:00","4.0287958925e+09","3.0532032108e+08"
"2026-04-21 17:30:00","3.3451564987e+09","4.3559416056e+08"
"2026-04-21 18:00:00","3.3264642863e+09","4.6299923197e+08"
"2026-04-21 18:30:00","3.3757979960e+09","4.4892023758e+08"
"2026-04-21 19:00:00","3.2980838563e+09","3.5468835298e+08"
"2026-04-21 19:30:00","3.5378050117e+09","4.0857882867e+08"
"2026-04-21 20:00:00","3.7394930508e+09","4.2204294837e+08"
"2026-04-21 20:30:00","4.0570705833e+09","4.3928396541e+08"
"2026-04-21 21:00:00","4.5019448392e+09","5.0122330111e+08"
"2026-04-21 21:30:00","5.3602524129e+09","4.4275542115e+08"
"2026-04-21 22:00:00","6.5004130440e+09","5.7761576164e+08"
"2026-04-21 22:30:00","7.3679074103e+09","6.0054162406e+08"
"2026-04-21 23:00:00","7.5077277222e+09","6.3239184858e+08"
"2026-04-21 23:30:00","6.9768354660e+09","6.5383140527e+08"
"2026-04-22 00:00:00","5.1292454388e+09","3.7397765602e+08"
"2026-04-22 00:30:00","3.5217605693e+09","2.8788514374e+08"
"2026-04-22 01:00:00","2.1108544984e+09","3.0438485967e+08"
"2026-04-22 01:30:00","1.7087982415e+09","2.2335331011e+08"
"2026-04-22 02:00:00","1.3483124169e+09","2.4121578184e+08"
"2026-04-22 02:30:00","1.2079430017e+09","2.3004228098e+08"
"2026-04-22 03:00:00","1.0718283985e+09","1.7134183093e+08"
"2026-04-22 03:30:00","9.1492855564e+08","1.7164253811e+08"
"2026-04-22 04:00:00","7.6576598865e+08","1.7786030093e+08"
"2026-04-22 04:30:00","6.7850079675e+08","1.5305943200e+08"
"2026-04-22 05:00:00","6.8269329868e+08","1.5741638241e+08"
"2026-04-22 05:30:00","6.6263341106e+08","1.4946549791e+08"
"2026-04-22 06:00:00","6.0052012901e+08","1.6603944564e+08"
"2026-04-22 06:30:00","6.3790281175e+08","1.6204764967e+08"
"2026-04-22 07:00:00","8.0305715001e+08","1.4150166775e+08"
"2026-04-22 07:30:00","9.6675866708e+08","1.7878218341e+08"
"2026-04-22 08:00:00","9.9375723689e+08","1.8478799389e+08"
"2026-04-22 08:30:00","1.1496082496e+09","2.3095699582e+08"
"2026-04-22 09:00:00","1.1361253066e+09","1.9876576654e+08"
"2026-04-22 09:30:00","1.2050568400e+09","2.2654757756e+08"
"2026-04-22 10:00:00","1.2443376474e+09","1.8417584152e+08"
"2026-04-22 10:30:00","1.3511251520e+09","1.9320091514e+08"
"2026-04-22 11:00:00","1.2518483712e+09","2.2358219542e+08"
"2026-04-22 11:30:00","1.2831319089e+09","2.3649049158e+08"
"2026-04-22 12:00:00","1.1993429881e+09","2.1083181018e+08"
"2026-04-22 12:30:00","1.2913136983e+09","3.2927024724e+08"
