"Title:","'ALCORT_R3_Huawei_GE-0/3/2 - Trafico Serosense XOC-Orange 10G'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-03-27 17:00:00"
"End Date:","2026-03-27 17:00:00"
"Step:","7200"
"Total Rows:","373"
"Graph ID:","200"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-03-27 17:00:00","3.0689528952e+08","2.4834023270e+09"
"2026-03-27 19:00:00","3.7928858387e+08","2.8644650465e+09"
"2026-03-27 21:00:00","4.2358649805e+08","2.7745782905e+09"
"2026-03-27 23:00:00","5.8503352760e+08","3.8445213590e+09"
"2026-03-28 01:00:00","5.5624603647e+08","2.6715008740e+09"
"2026-03-28 03:00:00","3.5562731701e+08","1.1082621147e+09"
"2026-03-28 05:00:00","2.3474849881e+08","5.5223418649e+08"
"2026-03-28 07:00:00","1.9710341836e+08","6.6359844451e+08"
"2026-03-28 09:00:00","2.3360221015e+08","1.4360512167e+09"
"2026-03-28 11:00:00","2.9020508871e+08","1.9727167467e+09"
"2026-03-28 13:00:00","3.2757346295e+08","1.9986344895e+09"
"2026-03-28 15:00:00","3.5222876739e+08","2.3372596010e+09"
"2026-03-28 17:00:00","3.6633332766e+08","2.8384603378e+09"
"2026-03-28 19:00:00","3.4722831461e+08","2.6851993037e+09"
"2026-03-28 21:00:00","4.0896558117e+08","3.0497958915e+09"
"2026-03-28 23:00:00","4.2343292967e+08","3.6046130849e+09"
"2026-03-29 01:00:00","5.1453374970e+08","2.8621816299e+09"
"2026-03-29 04:00:00","3.4293593755e+08","1.3130516087e+09"
"2026-03-29 06:00:00","2.0109995200e+08","6.0490088831e+08"
"2026-03-29 08:00:00","1.6220935526e+08","6.0031369767e+08"
"2026-03-29 10:00:00","1.6248618701e+08","1.3215450482e+09"
"2026-03-29 12:00:00","4.4992254966e+08","2.3795002718e+09"
"2026-03-29 14:00:00","4.7433058541e+08","2.8543803681e+09"
"2026-03-29 16:00:00","3.4994713209e+08","3.1440554987e+09"
"2026-03-29 18:00:00","3.6366730070e+08","3.1693493853e+09"
"2026-03-29 20:00:00","3.6844236745e+08","3.4612836594e+09"
"2026-03-29 22:00:00","4.0725103794e+08","4.1334488547e+09"
"2026-03-30 00:00:00","4.0766058592e+08","4.2863227513e+09"
"2026-03-30 02:00:00","3.8017473357e+08","2.1814372383e+09"
"2026-03-30 04:00:00","1.9831462833e+08","7.7565970184e+08"
"2026-03-30 06:00:00","1.8073972024e+08","5.0100026401e+08"
"2026-03-30 08:00:00","2.0715464388e+08","8.1600231943e+08"
"2026-03-30 10:00:00","2.8768730194e+08","1.3749882340e+09"
"2026-03-30 12:00:00","3.8593696769e+08","1.9085640638e+09"
"2026-03-30 14:00:00","3.5679247888e+08","2.3372683441e+09"
"2026-03-30 16:00:00","3.3255236353e+08","2.7591141990e+09"
"2026-03-30 18:00:00","3.4617068910e+08","2.5444049432e+09"
"2026-03-30 20:00:00","3.6453033316e+08","2.5595645014e+09"
"2026-03-30 22:00:00","3.6586536019e+08","3.2007202138e+09"
"2026-03-31 00:00:00","5.3081509149e+08","3.8742915015e+09"
"2026-03-31 02:00:00","4.7569466646e+08","2.1789974404e+09"
"2026-03-31 04:00:00","2.6898503130e+08","8.3667563929e+08"
"2026-03-31 06:00:00","2.2117401427e+08","4.9732412568e+08"
"2026-03-31 08:00:00","2.3852939354e+08","8.7254507150e+08"
"2026-03-31 10:00:00","2.4695573467e+08","1.4177396986e+09"
"2026-03-31 12:00:00","2.8667318089e+08","1.6277903007e+09"
"2026-03-31 14:00:00","3.1196647654e+08","2.2821903791e+09"
"2026-03-31 16:00:00","3.0974899582e+08","2.6601674624e+09"
"2026-03-31 18:00:00","3.6370190419e+08","2.5324398803e+09"
"2026-03-31 20:00:00","4.6555697603e+08","2.4995535119e+09"
"2026-03-31 22:00:00","5.4191499136e+08","3.7216677339e+09"
"2026-04-01 00:00:00","5.1319750212e+08","4.0684730270e+09"
"2026-04-01 02:00:00","3.9121976110e+08","2.0439244092e+09"
"2026-04-01 04:00:00","1.6803290770e+08","8.7331444354e+08"
"2026-04-01 06:00:00","1.3444668547e+08","5.5929567224e+08"
"2026-04-01 08:00:00","1.1980704793e+08","7.7010199739e+08"
"2026-04-01 10:00:00","1.7326502692e+08","1.3262706539e+09"
"2026-04-01 12:00:00","2.3087763538e+08","2.0648774100e+09"
"2026-04-01 14:00:00","2.6700504991e+08","2.5811426379e+09"
"2026-04-01 16:00:00","3.6022744755e+08","3.1315283974e+09"
"2026-04-01 18:00:00","3.6676088763e+08","2.8685728567e+09"
"2026-04-01 20:00:00","4.8855021259e+08","2.5894462932e+09"
"2026-04-01 22:00:00","4.2748505298e+08","3.1873790835e+09"
"2026-04-02 00:00:00","4.2425945956e+08","3.5207106007e+09"
"2026-04-02 02:00:00","2.6899544879e+08","2.0332240966e+09"
"2026-04-02 04:00:00","1.7146677659e+08","9.0162577541e+08"
"2026-04-02 06:00:00","1.0314769707e+08","5.6036845783e+08"
"2026-04-02 08:00:00","1.1756269947e+08","8.5838410219e+08"
"2026-04-02 10:00:00","1.9037747533e+08","1.2793618548e+09"
"2026-04-02 12:00:00","2.4910789985e+08","1.8625524710e+09"
"2026-04-02 14:00:00","2.8346969394e+08","2.3678343662e+09"
"2026-04-02 16:00:00","2.9107364681e+08","2.8934774679e+09"
"2026-04-02 18:00:00","2.6082470989e+08","2.6888878263e+09"
"2026-04-02 20:00:00","2.7798478555e+08","2.6682997163e+09"
"2026-04-02 22:00:00","3.0692916593e+08","3.5013398945e+09"
"2026-04-03 00:00:00","4.2297804698e+08","4.2844744938e+09"
"2026-04-03 02:00:00","3.2985701315e+08","2.4125202713e+09"
"2026-04-03 04:00:00","1.5390039416e+08","1.1673967931e+09"
"2026-04-03 06:00:00","1.2924831111e+08","5.8191460785e+08"
"2026-04-03 08:00:00","1.0838916199e+08","6.5006895768e+08"
"2026-04-03 10:00:00","1.9459665531e+08","1.3464813526e+09"
"2026-04-03 12:00:00","2.6597854511e+08","2.1428480400e+09"
"2026-04-03 14:00:00","2.6034326308e+08","2.2099332281e+09"
"2026-04-03 16:00:00","2.8028899492e+08","2.5034076327e+09"
"2026-04-03 18:00:00","3.3489616166e+08","2.3820250057e+09"
"2026-04-03 20:00:00","4.2242728250e+08","2.2823395006e+09"
"2026-04-03 22:00:00","3.6848936227e+08","2.9610224976e+09"
"2026-04-04 00:00:00","4.7129720745e+08","3.3180401468e+09"
"2026-04-04 02:00:00","4.6715105485e+08","2.0688960435e+09"
"2026-04-04 04:00:00","2.2189100840e+08","8.8329256752e+08"
"2026-04-04 06:00:00","1.7548350420e+08","5.0200138205e+08"
"2026-04-04 08:00:00","1.6875244251e+08","6.2888613902e+08"
"2026-04-04 10:00:00","1.9577446738e+08","1.1743761480e+09"
"2026-04-04 12:00:00","2.3490100181e+08","1.4721374438e+09"
"2026-04-04 14:00:00","2.7873799116e+08","2.4553710249e+09"
"2026-04-04 16:00:00","5.1197083326e+08","5.1374346955e+09"
"2026-04-04 18:00:00","5.4117413432e+08","5.4588511694e+09"
"2026-04-04 20:00:00","4.7005455898e+08","3.2375845967e+09"
"2026-04-04 22:00:00","4.6494019026e+08","2.9913299609e+09"
"2026-04-05 00:00:00","5.1571151428e+08","3.8831758511e+09"
"2026-04-05 02:00:00","3.6051556985e+08","2.5796221940e+09"
"2026-04-05 04:00:00","2.2000039509e+08","1.0941983000e+09"
"2026-04-05 06:00:00","1.6782114891e+08","6.0225082237e+08"
"2026-04-05 08:00:00","1.1933108022e+08","5.8282561622e+08"
"2026-04-05 10:00:00","1.9343005682e+08","1.2589275940e+09"
"2026-04-05 12:00:00","4.3509725252e+08","1.8395265145e+09"
"2026-04-05 14:00:00","3.1961741335e+08","2.0201706213e+09"
"2026-04-05 16:00:00","3.0962157913e+08","2.3838717848e+09"
"2026-04-05 18:00:00","3.4071079077e+08","2.8435474701e+09"
"2026-04-05 20:00:00","3.6309157086e+08","2.6254303447e+09"
"2026-04-05 22:00:00","4.1779420215e+08","3.2568213563e+09"
"2026-04-06 00:00:00","4.0429497031e+08","3.6028165209e+09"
"2026-04-06 02:00:00","1.1628185815e+09","2.1986736474e+09"
"2026-04-06 04:00:00","1.5577325988e+08","1.0716969414e+09"
"2026-04-06 06:00:00","1.2080943641e+08","5.4855579120e+08"
"2026-04-06 08:00:00","1.1711816488e+08","5.5720252552e+08"
"2026-04-06 10:00:00","2.1456781024e+08","1.3211008157e+09"
"2026-04-06 12:00:00","2.5469328167e+08","2.1253592887e+09"
"2026-04-06 14:00:00","2.4704602486e+08","1.8299783565e+09"
"2026-04-06 16:00:00","2.2474029109e+08","2.0475739322e+09"
