"Title:","'ALCORT_R3_Huawei_GE-0/3/3 - Trafico Orange 10G Conil'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-03-27 17:00:00"
"End Date:","2026-03-27 17:00:00"
"Step:","7200"
"Total Rows:","373"
"Graph ID:","194"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-03-27 17:00:00","3.6231107958e+07","3.3896117297e+09"
"2026-03-27 19:00:00","3.6226159744e+07","3.4759914067e+09"
"2026-03-27 21:00:00","3.6020894950e+07","3.4234625987e+09"
"2026-03-27 23:00:00","3.5592183241e+07","4.4141865076e+09"
"2026-03-28 01:00:00","3.6230105756e+07","4.2595566289e+09"
"2026-03-28 03:00:00","3.6231884616e+07","2.1817288086e+09"
"2026-03-28 05:00:00","3.6230060278e+07","9.6083524405e+08"
"2026-03-28 07:00:00","3.0057920519e+07","6.2725250415e+08"
"2026-03-28 09:00:00","3.6233522306e+07","1.4425709357e+09"
"2026-03-28 11:00:00","3.6229616537e+07","2.2622142551e+09"
"2026-03-28 13:00:00","3.6229624314e+07","2.6565051901e+09"
"2026-03-28 15:00:00","3.6227755768e+07","3.2535558332e+09"
"2026-03-28 17:00:00","3.6227412945e+07","3.8346875914e+09"
"2026-03-28 19:00:00","3.6233283532e+07","3.6973747118e+09"
"2026-03-28 21:00:00","3.6225940306e+07","3.5178430033e+09"
"2026-03-28 23:00:00","3.5798927267e+07","4.2795190238e+09"
"2026-03-29 01:00:00","3.6233932292e+07","3.7610199090e+09"
"2026-03-29 04:00:00","3.6226403166e+07","2.2273537065e+09"
"2026-03-29 06:00:00","3.0712778295e+07","1.1516348562e+09"
"2026-03-29 08:00:00","3.5895607421e+07","7.2337523864e+08"
"2026-03-29 10:00:00","3.6225271942e+07","1.4021231869e+09"
"2026-03-29 12:00:00","3.6229491428e+07","2.6266642542e+09"
"2026-03-29 14:00:00","3.6230725719e+07","3.0870514719e+09"
"2026-03-29 16:00:00","3.6229748441e+07","3.3706805397e+09"
"2026-03-29 18:00:00","3.6230974568e+07","3.7572910688e+09"
"2026-03-29 20:00:00","3.6227796042e+07","3.5655302314e+09"
"2026-03-29 22:00:00","3.6233064212e+07","3.5919720651e+09"
"2026-03-30 00:00:00","3.6229504149e+07","4.8913036834e+09"
"2026-03-30 02:00:00","3.6224661119e+07","3.5226484698e+09"
"2026-03-30 04:00:00","3.6229542684e+07","1.4615068314e+09"
"2026-03-30 06:00:00","3.6232098444e+07","6.6774637069e+08"
"2026-03-30 08:00:00","3.5751665645e+07","7.3556984145e+08"
"2026-03-30 10:00:00","3.6229062563e+07","1.5186899516e+09"
"2026-03-30 12:00:00","3.6227383851e+07","2.5654351089e+09"
"2026-03-30 14:00:00","3.6231147299e+07","2.6085842235e+09"
"2026-03-30 16:00:00","3.6238465899e+07","3.2436829953e+09"
"2026-03-30 18:00:00","3.6220642296e+07","3.8537000942e+09"
"2026-03-30 20:00:00","3.6228840822e+07","3.3548366172e+09"
"2026-03-30 22:00:00","3.6227430842e+07","3.9731390937e+09"
"2026-03-31 00:00:00","3.6232290429e+07","5.5494180019e+09"
"2026-03-31 02:00:00","3.6228202123e+07","3.6941849777e+09"
"2026-03-31 04:00:00","3.6231358567e+07","1.4407208569e+09"
"2026-03-31 06:00:00","3.6225368348e+07","7.7891358486e+08"
"2026-03-31 08:00:00","3.6232835822e+07","8.1463177977e+08"
"2026-03-31 10:00:00","3.6225895083e+07","1.7331632040e+09"
"2026-03-31 12:00:00","3.6233802643e+07","2.6842280030e+09"
"2026-03-31 14:00:00","3.6229025502e+07","2.8466087422e+09"
"2026-03-31 16:00:00","3.6229224795e+07","3.5188117496e+09"
"2026-03-31 18:00:00","3.6229559630e+07","3.7936802332e+09"
"2026-03-31 20:00:00","3.6227038957e+07","3.4913551445e+09"
"2026-03-31 22:00:00","3.6232200877e+07","4.0756850346e+09"
"2026-04-01 00:00:00","3.6227951438e+07","5.8442573719e+09"
