"Title:","'ALCORT_R3_Huawei_GE-0/3/3 - Trafico Orange 10G Conil'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-04-20 18:00:00"
"End Date:","2026-04-20 18:00:00"
"Step:","1800"
"Total Rows:","337"
"Graph ID:","194"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-04-20 18:00:00","3.6225186750e+07","3.2091755854e+09"
"2026-04-20 18:30:00","3.6238114628e+07","2.8129619090e+09"
"2026-04-20 19:00:00","3.6229259811e+07","2.8930384154e+09"
"2026-04-20 19:30:00","3.6233534797e+07","2.8992999847e+09"
"2026-04-20 20:00:00","3.6223774508e+07","3.1662232495e+09"
"2026-04-20 20:30:00","3.6236968121e+07","3.6497608702e+09"
"2026-04-20 21:00:00","3.6230393983e+07","3.8182699325e+09"
"2026-04-20 21:30:00","3.6219721737e+07","4.1118886067e+09"
"2026-04-20 22:00:00","3.6224589593e+07","4.3761737044e+09"
"2026-04-20 22:30:00","3.6233076231e+07","4.9294300609e+09"
"2026-04-20 23:00:00","3.6239206999e+07","5.1626904262e+09"
"2026-04-20 23:30:00","3.6219610683e+07","5.0820615368e+09"
"2026-04-21 00:00:00","3.6238897516e+07","4.6147507766e+09"
"2026-04-21 00:30:00","3.6222621533e+07","3.7599889539e+09"
"2026-04-21 01:00:00","3.6226217586e+07","2.9341649348e+09"
"2026-04-21 01:30:00","3.6231746963e+07","2.4556543620e+09"
"2026-04-21 02:00:00","3.6230704134e+07","1.9265158856e+09"
"2026-04-21 02:30:00","3.6242039852e+07","1.4359653625e+09"
"2026-04-21 03:00:00","3.6212810901e+07","1.2920590457e+09"
"2026-04-21 03:30:00","3.6230290194e+07","1.0754442955e+09"
"2026-04-21 04:00:00","3.6232468113e+07","9.6103177489e+08"
"2026-04-21 04:30:00","3.6245062591e+07","9.0897139189e+08"
"2026-04-21 05:00:00","3.6212609071e+07","8.4264538245e+08"
"2026-04-21 05:30:00","3.6228731577e+07","7.2725735994e+08"
"2026-04-21 06:00:00","3.6233922409e+07","6.1228860694e+08"
"2026-04-21 06:30:00","3.6233512261e+07","6.5062338085e+08"
"2026-04-21 07:00:00","3.6227873335e+07","8.3868837882e+08"
"2026-04-21 07:30:00","3.6240614914e+07","1.1307826007e+09"
"2026-04-21 08:00:00","3.6216234268e+07","1.2892034379e+09"
"2026-04-21 08:30:00","3.6228615632e+07","1.4558499691e+09"
"2026-04-21 09:00:00","3.6233768434e+07","1.6401491751e+09"
"2026-04-21 09:30:00","3.6225559927e+07","1.6418163740e+09"
"2026-04-21 10:00:00","3.6228933013e+07","1.6627513863e+09"
"2026-04-21 10:30:00","3.6245331538e+07","1.6412738252e+09"
"2026-04-21 11:00:00","3.6214568837e+07","1.6183414967e+09"
"2026-04-21 11:30:00","3.6236322416e+07","1.6993230169e+09"
"2026-04-21 12:00:00","3.6222067220e+07","1.6548606201e+09"
"2026-04-21 12:30:00","3.6233689240e+07","1.7052625945e+09"
"2026-04-21 13:00:00","3.6222199381e+07","1.7731994408e+09"
"2026-04-21 13:30:00","3.6245690874e+07","1.8059233984e+09"
"2026-04-21 14:00:00","3.6216607605e+07","2.1479525110e+09"
"2026-04-21 14:30:00","3.6245833692e+07","2.3881665444e+09"
"2026-04-21 15:00:00","3.6222333086e+07","2.6241172702e+09"
"2026-04-21 15:30:00","3.6218238440e+07","3.2227739730e+09"
"2026-04-21 16:00:00","3.6240162089e+07","3.7797856454e+09"
"2026-04-21 16:30:00","3.6218105579e+07","4.6741610627e+09"
