"Title:","'ALCORT_R3_Huawei_GE-0/4/2 - Trafico Avatel Alset'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-03-27 17:00:00"
"End Date:","2026-03-27 17:00:00"
"Step:","7200"
"Total Rows:","373"
"Graph ID:","239"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-03-27 17:00:00","5.9142705018e+07","4.3243663904e+08"
"2026-03-27 19:00:00","5.4837702657e+07","3.8396302036e+08"
"2026-03-27 21:00:00","5.6669497491e+07","5.9940715398e+08"
"2026-03-27 23:00:00","5.1238257593e+07","5.3567024971e+08"
"2026-03-28 01:00:00","5.9191021077e+07","5.5532743797e+08"
"2026-03-28 03:00:00","3.3208220097e+07","2.4675087785e+08"
"2026-03-28 05:00:00","3.3749361622e+07","1.3822481021e+08"
"2026-03-28 07:00:00","2.4371044471e+07","9.2456209370e+07"
"2026-03-28 09:00:00","3.4782380716e+07","1.9611273819e+08"
"2026-03-28 11:00:00","6.9238924134e+07","3.2311510947e+08"
"2026-03-28 13:00:00","5.2818583185e+07","3.3229469653e+08"
"2026-03-28 15:00:00","4.3711062803e+07","3.6451736438e+08"
"2026-03-28 17:00:00","4.1292701817e+07","5.0552041400e+08"
"2026-03-28 19:00:00","5.4773904235e+07","4.5344086296e+08"
"2026-03-28 21:00:00","5.2539814606e+07","5.4303727815e+08"
"2026-03-28 23:00:00","5.0715076193e+07","6.0463109080e+08"
"2026-03-29 01:00:00","5.0149118116e+07","4.9429349019e+08"
"2026-03-29 04:00:00","5.2236990093e+07","2.5771460085e+08"
"2026-03-29 06:00:00","3.0744490293e+07","1.2943382724e+08"
"2026-03-29 08:00:00","3.0516002768e+07","9.3168666763e+07"
"2026-03-29 10:00:00","4.5609668714e+07","1.8917437254e+08"
"2026-03-29 12:00:00","5.1635359419e+07","3.4493856163e+08"
"2026-03-29 14:00:00","5.6760033983e+07","4.8918347881e+08"
"2026-03-29 16:00:00","5.9802356080e+07","6.6172393699e+08"
"2026-03-29 18:00:00","7.0869854447e+07","6.2603338941e+08"
"2026-03-29 20:00:00","5.5287248167e+07","5.6659176155e+08"
"2026-03-29 22:00:00","6.3969541199e+07","6.8558446894e+08"
"2026-03-30 00:00:00","5.1140869224e+07","7.1639249148e+08"
"2026-03-30 02:00:00","5.0097705427e+07","5.0305500319e+08"
"2026-03-30 04:00:00","2.9763471747e+07","2.1871437359e+08"
"2026-03-30 06:00:00","1.0819410763e+07","9.3329114301e+07"
"2026-03-30 08:00:00","1.1390347558e+07","7.0992858868e+07"
"2026-03-30 10:00:00","3.5218906359e+07","2.0299687061e+08"
"2026-03-30 12:00:00","4.2278875867e+07","2.7485343749e+08"
"2026-03-30 14:00:00","4.8478839493e+07","3.6951609448e+08"
"2026-03-30 16:00:00","5.2611343685e+07","4.6596031011e+08"
"2026-03-30 18:00:00","5.3418838456e+07","4.5613231662e+08"
"2026-03-30 20:00:00","5.0153296556e+07","4.2131049665e+08"
"2026-03-30 22:00:00","4.9603944810e+07","5.0296273707e+08"
"2026-03-31 00:00:00","7.0018997641e+07","7.6352510678e+08"
"2026-03-31 02:00:00","5.6840634262e+07","4.7889202292e+08"
"2026-03-31 04:00:00","3.0548847543e+07","2.2021664062e+08"
"2026-03-31 06:00:00","1.8777063752e+07","1.2489668316e+08"
"2026-03-31 08:00:00","2.5628242595e+07","1.1544044606e+08"
"2026-03-31 10:00:00","3.2251785997e+07","1.7219584787e+08"
"2026-03-31 12:00:00","4.6996146145e+07","3.1954827129e+08"
"2026-03-31 14:00:00","6.0483239964e+07","3.8095109657e+08"
"2026-03-31 16:00:00","5.1194969354e+07","4.8148463296e+08"
"2026-03-31 18:00:00","5.9189672458e+07","5.3569208715e+08"
"2026-03-31 20:00:00","5.4769083167e+07","4.7718252359e+08"
"2026-03-31 22:00:00","6.7174909208e+07","6.6237129414e+08"
"2026-04-01 00:00:00","7.0193094778e+07","8.1408840614e+08"
"2026-04-01 02:00:00","6.6158779061e+07","5.2121018766e+08"
"2026-04-01 04:00:00","3.4665294477e+07","2.2303457968e+08"
"2026-04-01 06:00:00","1.7782250925e+07","1.0185648707e+08"
