"Title:","'ALCORT_R3_Huawei_GE-0/5/1.97_Xtra 10G Conil'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-03-27 17:00:00"
"End Date:","2026-03-27 17:00:00"
"Step:","7200"
"Total Rows:","373"
"Graph ID:","166"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-03-27 17:00:00","9.6881563972e+08","4.2325170544e+09"
"2026-03-27 19:00:00","8.9899846831e+08","3.9457939484e+09"
"2026-03-27 21:00:00","9.4906307449e+08","3.7334279618e+09"
"2026-03-27 23:00:00","9.7422968714e+08","5.5142361925e+09"
"2026-03-28 01:00:00","1.0764259484e+09","5.0010869415e+09"
"2026-03-28 03:00:00","8.4217923665e+08","2.7338040109e+09"
"2026-03-28 05:00:00","4.6908159583e+08","1.3665696617e+09"
"2026-03-28 07:00:00","4.4516320924e+08","1.0020311573e+09"
"2026-03-28 09:00:00","5.3308684902e+08","1.8114298752e+09"
"2026-03-28 11:00:00","7.9621410515e+08","3.2059352592e+09"
"2026-03-28 13:00:00","8.1269993848e+08","3.0307922735e+09"
"2026-03-28 15:00:00","8.5360003774e+08","3.1635454422e+09"
"2026-03-28 17:00:00","9.3471000021e+08","4.3663841394e+09"
"2026-03-28 19:00:00","9.1873392274e+08","4.4456230501e+09"
"2026-03-28 21:00:00","1.0129223562e+09","4.1248499992e+09"
"2026-03-28 23:00:00","1.1040854148e+09","5.7204236002e+09"
"2026-03-29 01:00:00","9.9652146084e+08","5.2922723536e+09"
"2026-03-29 04:00:00","7.7137422697e+08","3.0140419860e+09"
"2026-03-29 06:00:00","4.2328080563e+08","1.3716045140e+09"
"2026-03-29 08:00:00","3.9065974600e+08","9.6900640520e+08"
"2026-03-29 10:00:00","5.6429155607e+08","1.7598566117e+09"
"2026-03-29 12:00:00","8.3971047398e+08","3.7349220499e+09"
"2026-03-29 14:00:00","8.7823436956e+08","4.3571038760e+09"
"2026-03-29 16:00:00","9.2825651459e+08","4.4390219973e+09"
"2026-03-29 18:00:00","9.5383430904e+08","5.1058690678e+09"
"2026-03-29 20:00:00","1.0733296115e+09","4.8178818427e+09"
"2026-03-29 22:00:00","9.7116227427e+08","4.5246292636e+09"
"2026-03-30 00:00:00","1.1606270775e+09","6.0385126710e+09"
"2026-03-30 02:00:00","9.6603805481e+08","4.8123023891e+09"
"2026-03-30 04:00:00","5.6719154404e+08","2.1394948980e+09"
"2026-03-30 06:00:00","3.3917963780e+08","1.1266306985e+09"
"2026-03-30 08:00:00","3.2579201157e+08","9.5386347146e+08"
"2026-03-30 10:00:00","5.5288732073e+08","1.8658790619e+09"
"2026-03-30 12:00:00","8.2533429081e+08","2.5817949301e+09"
"2026-03-30 14:00:00","7.7397242411e+08","2.9581276708e+09"
"2026-03-30 16:00:00","7.9668674215e+08","4.0539269643e+09"
"2026-03-30 18:00:00","8.5870662262e+08","4.2577358677e+09"
"2026-03-30 20:00:00","8.9320738467e+08","3.6401398216e+09"
"2026-03-30 22:00:00","1.0377018057e+09","4.5573780001e+09"
"2026-03-31 00:00:00","1.4682526291e+09","6.7837908014e+09"
"2026-03-31 02:00:00","1.0969253127e+09","4.5963670547e+09"
"2026-03-31 04:00:00","8.0955282685e+08","2.1083226704e+09"
"2026-03-31 06:00:00","4.1070398124e+08","1.1630803661e+09"
"2026-03-31 08:00:00","3.3817884183e+08","1.0008342430e+09"
"2026-03-31 10:00:00","5.1729801943e+08","1.8280724655e+09"
"2026-03-31 12:00:00","7.5763559336e+08","2.6534528185e+09"
"2026-03-31 14:00:00","7.9424096143e+08","3.0506351657e+09"
"2026-03-31 16:00:00","9.0820637342e+08","4.0284861709e+09"
"2026-03-31 18:00:00","1.0076390706e+09","4.3752885125e+09"
"2026-03-31 20:00:00","9.1505772514e+08","3.7010170341e+09"
"2026-03-31 22:00:00","9.9178146688e+08","4.3442668829e+09"
"2026-04-01 00:00:00","1.2311690901e+09","6.7706293839e+09"
"2026-04-01 02:00:00","9.5965466123e+08","4.9571409069e+09"
"2026-04-01 04:00:00","6.6331035878e+08","2.4621482239e+09"
"2026-04-01 06:00:00","4.3399843888e+08","1.2845428743e+09"
"2026-04-01 08:00:00","3.6450170303e+08","1.0835953418e+09"
"2026-04-01 10:00:00","6.0841412073e+08","2.2349607693e+09"
"2026-04-01 12:00:00","8.9884450705e+08","3.3220267620e+09"
"2026-04-01 14:00:00","8.9233710073e+08","3.5848248459e+09"
"2026-04-01 16:00:00","9.1433069954e+08","4.5757057795e+09"
"2026-04-01 18:00:00","1.0424476555e+09","5.0649649410e+09"
"2026-04-01 20:00:00","9.6843446264e+08","4.1954906945e+09"
