"Title:","'ALCORT_R3_Huawei_GE-0/5/1.97_Xtra 10G Conil'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-04-20 18:00:00"
"End Date:","2026-04-20 18:00:00"
"Step:","1800"
"Total Rows:","337"
"Graph ID:","166"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-04-20 18:00:00","8.7960026224e+08","3.8654851670e+09"
"2026-04-20 18:30:00","9.6350532944e+08","3.6466415074e+09"
"2026-04-20 19:00:00","9.1751066162e+08","3.6660949487e+09"
"2026-04-20 19:30:00","9.3823875455e+08","3.6340192403e+09"
"2026-04-20 20:00:00","9.2641180464e+08","3.4237561024e+09"
"2026-04-20 20:30:00","1.0296993771e+09","3.6076259483e+09"
"2026-04-20 21:00:00","9.7746818998e+08","4.0318309263e+09"
"2026-04-20 21:30:00","1.0456154802e+09","4.7599485178e+09"
"2026-04-20 22:00:00","1.0822185982e+09","5.7420485721e+09"
"2026-04-20 22:30:00","1.1152228503e+09","6.8128268623e+09"
"2026-04-20 23:00:00","1.1111266429e+09","7.1396066129e+09"
"2026-04-20 23:30:00","1.1508799408e+09","6.6771249032e+09"
"2026-04-21 00:00:00","8.2285255531e+08","5.9245307276e+09"
"2026-04-21 00:30:00","9.5914331048e+08","4.7975206699e+09"
"2026-04-21 01:00:00","7.6629876868e+08","3.8705267368e+09"
"2026-04-21 01:30:00","6.2783174709e+08","2.9326932609e+09"
"2026-04-21 02:00:00","6.1272893452e+08","2.3900864698e+09"
"2026-04-21 02:30:00","6.0241178792e+08","1.9374847431e+09"
"2026-04-21 03:00:00","5.7602673044e+08","1.6931289156e+09"
"2026-04-21 03:30:00","5.4726862985e+08","1.4697206038e+09"
"2026-04-21 04:00:00","4.6952002854e+08","1.2420787334e+09"
"2026-04-21 04:30:00","4.3413177299e+08","1.0730663035e+09"
"2026-04-21 05:00:00","4.2595293938e+08","1.0472841129e+09"
"2026-04-21 05:30:00","4.6708637176e+08","1.0198872743e+09"
"2026-04-21 06:00:00","4.1870440299e+08","8.9123142708e+08"
"2026-04-21 06:30:00","3.6338172732e+08","1.0294091787e+09"
"2026-04-21 07:00:00","4.1627407121e+08","1.0247034924e+09"
"2026-04-21 07:30:00","4.4460991392e+08","1.4707455747e+09"
"2026-04-21 08:00:00","4.6883024348e+08","1.7400970535e+09"
"2026-04-21 08:30:00","5.7168845288e+08","1.8809693777e+09"
"2026-04-21 09:00:00","5.7673695913e+08","1.8230894557e+09"
"2026-04-21 09:30:00","5.8155202167e+08","1.7902514582e+09"
"2026-04-21 10:00:00","5.9237763241e+08","1.7560707960e+09"
"2026-04-21 10:30:00","6.7723997156e+08","2.1110271757e+09"
"2026-04-21 11:00:00","7.6626090291e+08","1.6947844607e+09"
"2026-04-21 11:30:00","6.4703015112e+08","1.9242240928e+09"
"2026-04-21 12:00:00","6.4060237368e+08","1.8053519791e+09"
"2026-04-21 12:30:00","8.9040412499e+08","2.0230759580e+09"
"2026-04-21 13:00:00","7.5043770739e+08","2.0538045674e+09"
"2026-04-21 13:30:00","7.2189621587e+08","2.1682544762e+09"
"2026-04-21 14:00:00","6.8381216736e+08","2.3530016905e+09"
"2026-04-21 14:30:00","6.6590163747e+08","2.6274666871e+09"
"2026-04-21 15:00:00","7.4025328856e+08","3.2944866606e+09"
"2026-04-21 15:30:00","8.2526771141e+08","4.3235686190e+09"
"2026-04-21 16:00:00","8.3755210727e+08","4.8211346868e+09"
"2026-04-21 16:30:00","9.1747671157e+08","5.1061202586e+09"
"2026-04-21 17:00:00","8.8492796654e+08","5.3369060877e+09"
"2026-04-21 17:30:00","9.3225563778e+08","4.2605264111e+09"
"2026-04-21 18:00:00","8.8043905830e+08","4.0549780969e+09"
"2026-04-21 18:30:00","8.8849687296e+08","4.0354370853e+09"
"2026-04-21 19:00:00","8.1722371328e+08","3.7965061473e+09"
"2026-04-21 19:30:00","8.3603153970e+08","3.8090564296e+09"
"2026-04-21 20:00:00","8.6898786582e+08","3.9117557172e+09"
"2026-04-21 20:30:00","9.5111033174e+08","4.0574898333e+09"
"2026-04-21 21:00:00","9.1991793368e+08","4.5400988947e+09"
"2026-04-21 21:30:00","1.0700034996e+09","5.1689809241e+09"
"2026-04-21 22:00:00","1.1743350485e+09","6.0658298366e+09"
"2026-04-21 22:30:00","1.2605559315e+09","6.8606953136e+09"
"2026-04-21 23:00:00","1.2273098122e+09","7.2761171654e+09"
"2026-04-21 23:30:00","1.3295463263e+09","7.1001132518e+09"
"2026-04-22 00:00:00","9.8306756319e+08","6.2316147426e+09"
"2026-04-22 00:30:00","8.8432893631e+08","4.9398484320e+09"
"2026-04-22 01:00:00","7.2732246006e+08","3.7690874156e+09"
"2026-04-22 01:30:00","7.8311540157e+08","2.9901862304e+09"
"2026-04-22 02:00:00","6.6097772966e+08","2.6733491885e+09"
"2026-04-22 02:30:00","5.6998408525e+08","2.0007482185e+09"
"2026-04-22 03:00:00","5.1572960834e+08","1.6951434239e+09"
"2026-04-22 03:30:00","5.7066271678e+08","1.4361175563e+09"
"2026-04-22 04:00:00","3.4998363434e+08","1.2184207452e+09"
"2026-04-22 04:30:00","4.2064852123e+08","9.8651775709e+08"
"2026-04-22 05:00:00","3.6642068999e+08","1.2659479221e+09"
"2026-04-22 05:30:00","3.2391346509e+08","1.1014931432e+09"
"2026-04-22 06:00:00","3.3276334828e+08","7.2546096714e+08"
"2026-04-22 06:30:00","3.2676653109e+08","8.0957506454e+08"
"2026-04-22 07:00:00","3.4738104297e+08","1.0059429024e+09"
"2026-04-22 07:30:00","3.9828877267e+08","1.2243437503e+09"
"2026-04-22 08:00:00","5.0589386805e+08","1.6078039736e+09"
"2026-04-22 08:30:00","5.8823570301e+08","1.6703121595e+09"
"2026-04-22 09:00:00","5.3304529953e+08","1.7124772630e+09"
"2026-04-22 09:30:00","6.3933067103e+08","1.6010333692e+09"
"2026-04-22 10:00:00","5.8096234440e+08","1.7301347810e+09"
"2026-04-22 10:30:00","6.4972134257e+08","1.6632551999e+09"
"2026-04-22 11:00:00","6.9572881322e+08","1.6634956146e+09"
"2026-04-22 11:30:00","6.8427712143e+08","1.7660449776e+09"
"2026-04-22 12:00:00","6.3552620411e+08","1.8160826961e+09"
"2026-04-22 12:30:00","6.6406019175e+08","1.8658810579e+09"
"2026-04-22 13:00:00","6.6334497727e+08","1.8747297684e+09"
"2026-04-22 13:30:00","7.3601604529e+08","1.9498713926e+09"
"2026-04-22 14:00:00","7.9163291570e+08","2.1789868082e+09"
"2026-04-22 14:30:00","6.9406457239e+08","2.6323962084e+09"
"2026-04-22 15:00:00","7.3696427327e+08","3.5409161826e+09"
"2026-04-22 15:30:00","8.6651614755e+08","4.3966564388e+09"
"2026-04-22 16:00:00","7.9060915980e+08","4.8638148258e+09"
"2026-04-22 16:30:00","9.1729917226e+08","4.6041277943e+09"
"2026-04-22 17:00:00","9.6072368426e+08","4.4275308891e+09"
"2026-04-22 17:30:00","8.9181235180e+08","3.9656165136e+09"
"2026-04-22 18:00:00","8.5040696571e+08","3.6350644369e+09"
"2026-04-22 18:30:00","8.4837762478e+08","3.4243590136e+09"
"2026-04-22 19:00:00","7.9265807222e+08","3.8646700809e+09"
"2026-04-22 19:30:00","8.3687233083e+08","3.8849661561e+09"
"2026-04-22 20:00:00","8.9148224417e+08","3.7849114671e+09"
"2026-04-22 20:30:00","9.7940758195e+08","3.9291853985e+09"
"2026-04-22 21:00:00","1.0407167012e+09","4.0943145439e+09"
"2026-04-22 21:30:00","1.1234581736e+09","4.8207877480e+09"
"2026-04-22 22:00:00","1.2482100078e+09","5.9339022048e+09"
"2026-04-22 22:30:00","1.3643030585e+09","6.4405908669e+09"
"2026-04-22 23:00:00","1.3109335510e+09","6.7982204348e+09"
"2026-04-22 23:30:00","1.3286702984e+09","6.8165679006e+09"
"2026-04-23 00:00:00","1.1373762492e+09","6.1738437632e+09"
"2026-04-23 00:30:00","9.7653528644e+08","5.1563361005e+09"
"2026-04-23 01:00:00","8.8604109376e+08","3.9085168436e+09"
"2026-04-23 01:30:00","7.0006903595e+08","3.3176422512e+09"
"2026-04-23 02:00:00","5.6399035700e+08","2.4362353757e+09"
"2026-04-23 02:30:00","6.1021160950e+08","1.9667279824e+09"
"2026-04-23 03:00:00","4.6562844674e+08","1.6744232009e+09"
"2026-04-23 03:30:00","5.3100407868e+08","1.4236288437e+09"
"2026-04-23 04:00:00","4.3729034053e+08","1.2544199380e+09"
"2026-04-23 04:30:00","4.2160099574e+08","1.0942213845e+09"
"2026-04-23 05:00:00","4.2657482127e+08","1.0292563875e+09"
"2026-04-23 05:30:00","4.1629131521e+08","1.2314814422e+09"
"2026-04-23 06:00:00","3.4780894694e+08","8.8751096801e+08"
"2026-04-23 06:30:00","3.9179633072e+08","9.4650835204e+08"
"2026-04-23 07:00:00","3.8587130827e+08","9.6843791080e+08"
"2026-04-23 07:30:00","4.1728641058e+08","1.3101409675e+09"
"2026-04-23 08:00:00","4.3290988306e+08","1.6235912069e+09"
"2026-04-23 08:30:00","5.6281199297e+08","1.8832651193e+09"
"2026-04-23 09:00:00","6.1741177498e+08","1.8682841251e+09"
"2026-04-23 09:30:00","6.1886632247e+08","1.7647310836e+09"
"2026-04-23 10:00:00","6.7385713004e+08","1.7928999448e+09"
"2026-04-23 10:30:00","7.9904121973e+08","1.8907493424e+09"
"2026-04-23 11:00:00","7.1580876068e+08","1.9985312812e+09"
"2026-04-23 11:30:00","6.8469132520e+08","1.6890455051e+09"
"2026-04-23 12:00:00","6.2664352543e+08","1.7845374630e+09"
"2026-04-23 12:30:00","6.9220181635e+08","1.8249323869e+09"
"2026-04-23 13:00:00","7.4790015454e+08","1.8237101949e+09"
"2026-04-23 13:30:00","8.7513839247e+08","2.0563179956e+09"
"2026-04-23 14:00:00","7.0815981234e+08","2.3523123834e+09"
"2026-04-23 14:30:00","7.8577365755e+08","2.8992774450e+09"
"2026-04-23 15:00:00","7.8181090509e+08","3.5871232014e+09"
"2026-04-23 15:30:00","9.1196768432e+08","4.5883451391e+09"
"2026-04-23 16:00:00","9.4593865872e+08","5.0413333712e+09"
"2026-04-23 16:30:00","1.0274369978e+09","4.8105666435e+09"
"2026-04-23 17:00:00","9.6046369757e+08","4.3383682502e+09"
"2026-04-23 17:30:00","9.7196884969e+08","3.9585070873e+09"
"2026-04-23 18:00:00","9.1250123537e+08","3.9424849372e+09"
"2026-04-23 18:30:00","8.9004233713e+08","3.6058339115e+09"
"2026-04-23 19:00:00","9.2385059286e+08","3.7391488340e+09"
"2026-04-23 19:30:00","1.0311860643e+09","4.2319116004e+09"
"2026-04-23 20:00:00","9.9859418980e+08","4.3370353273e+09"
"2026-04-23 20:30:00","9.9771939257e+08","4.3494216357e+09"
"2026-04-23 21:00:00","1.0594747027e+09","5.1967188448e+09"
"2026-04-23 21:30:00","1.0466599143e+09","5.2373304292e+09"
"2026-04-23 22:00:00","1.1739988605e+09","5.9322851891e+09"
"2026-04-23 22:30:00","1.1262767818e+09","6.6326506272e+09"
"2026-04-23 23:00:00","1.1571414332e+09","7.1625231404e+09"
"2026-04-23 23:30:00","1.2474788473e+09","7.3680087720e+09"
"2026-04-24 00:00:00","1.1004835283e+09","6.3859007859e+09"
"2026-04-24 00:30:00","9.2900494968e+08","5.2974394867e+09"
"2026-04-24 01:00:00","9.3606028356e+08","4.6050755952e+09"
"2026-04-24 01:30:00","8.1838453905e+08","3.6460856972e+09"
"2026-04-24 02:00:00","7.7437373736e+08","2.8766979193e+09"
"2026-04-24 02:30:00","6.2029343736e+08","2.2660269629e+09"
"2026-04-24 03:00:00","5.2864714393e+08","1.9632904241e+09"
"2026-04-24 03:30:00","6.3021553170e+08","1.6155607911e+09"
"2026-04-24 04:00:00","5.3688061404e+08","1.4890487878e+09"
"2026-04-24 04:30:00","5.3249545632e+08","1.2816524679e+09"
"2026-04-24 05:00:00","3.9437299932e+08","1.0710646969e+09"
"2026-04-24 05:30:00","3.8979250440e+08","1.1059710164e+09"
"2026-04-24 06:00:00","3.4122657511e+08","1.0215238625e+09"
"2026-04-24 06:30:00","3.6458954567e+08","1.0060509532e+09"
"2026-04-24 07:00:00","3.7576589846e+08","1.2564583144e+09"
"2026-04-24 07:30:00","4.4227533070e+08","1.6138007273e+09"
"2026-04-24 08:00:00","4.9993998059e+08","1.8748479929e+09"
"2026-04-24 08:30:00","6.5598277707e+08","2.0594030305e+09"
"2026-04-24 09:00:00","6.6686769748e+08","2.0345560205e+09"
"2026-04-24 09:30:00","6.6172303910e+08","2.0022418593e+09"
"2026-04-24 10:00:00","6.8505171876e+08","2.1974660343e+09"
"2026-04-24 10:30:00","7.4618563405e+08","2.1472434097e+09"
"2026-04-24 11:00:00","7.4622450776e+08","2.5117073436e+09"
"2026-04-24 11:30:00","8.5192235522e+08","2.2548244479e+09"
"2026-04-24 12:00:00","7.6353714109e+08","2.4625179280e+09"
"2026-04-24 12:30:00","8.3047960346e+08","2.6465127275e+09"
"2026-04-24 13:00:00","7.9047935824e+08","2.7247449190e+09"
"2026-04-24 13:30:00","9.4263236238e+08","2.8237465995e+09"
"2026-04-24 14:00:00","8.8927678283e+08","2.9004178376e+09"
"2026-04-24 14:30:00","8.1147672765e+08","3.1617805348e+09"
"2026-04-24 15:00:00","8.4504926234e+08","3.7451897033e+09"
"2026-04-24 15:30:00","8.9960180467e+08","4.8610983727e+09"
"2026-04-24 16:00:00","9.2609608810e+08","5.4556427187e+09"
"2026-04-24 16:30:00","9.7149552173e+08","5.6160682552e+09"
"2026-04-24 17:00:00","1.0131488898e+09","5.4331536907e+09"
"2026-04-24 17:30:00","9.1156061925e+08","5.1210259278e+09"
"2026-04-24 18:00:00","9.3224899566e+08","4.6661329324e+09"
"2026-04-24 18:30:00","1.0259801881e+09","4.7737290804e+09"
"2026-04-24 19:00:00","1.0487508669e+09","4.6842272706e+09"
"2026-04-24 19:30:00","9.5905205647e+08","4.4603601478e+09"
"2026-04-24 20:00:00","1.0642711389e+09","4.4803930543e+09"
"2026-04-24 20:30:00","1.1188944134e+09","5.2511879317e+09"
"2026-04-24 21:00:00","1.2357165363e+09","5.0080803763e+09"
"2026-04-24 21:30:00","1.4373913905e+09","5.4437694462e+09"
"2026-04-24 22:00:00","1.4285430759e+09","5.7673559726e+09"
"2026-04-24 22:30:00","1.4309866629e+09","6.6478978389e+09"
"2026-04-24 23:00:00","1.3808710832e+09","7.2629116727e+09"
"2026-04-24 23:30:00","1.1609776219e+09","6.9409554785e+09"
"2026-04-25 00:00:00","1.0381590388e+09","6.6001668140e+09"
"2026-04-25 00:30:00","1.0749282626e+09","5.8211563120e+09"
"2026-04-25 01:00:00","1.0536013026e+09","5.0953283847e+09"
"2026-04-25 01:30:00","1.0113166856e+09","4.4992495748e+09"
"2026-04-25 02:00:00","9.6423108392e+08","4.6202235336e+09"
"2026-04-25 02:30:00","9.3402217876e+08","3.9982972561e+09"
"2026-04-25 03:00:00","7.7149142461e+08","2.3934619411e+09"
"2026-04-25 03:30:00","7.3427041134e+08","2.0864455854e+09"
"2026-04-25 04:00:00","7.4837301113e+08","1.7525700858e+09"
"2026-04-25 04:30:00","5.8761837716e+08","1.4404510196e+09"
"2026-04-25 05:00:00","5.4919694509e+08","1.1410836714e+09"
"2026-04-25 05:30:00","5.6010373283e+08","1.0531755120e+09"
"2026-04-25 06:00:00","5.5539530447e+08","9.8620903284e+08"
"2026-04-25 06:30:00","5.8090256020e+08","1.0468433386e+09"
"2026-04-25 07:00:00","5.7034773891e+08","1.0544850390e+09"
"2026-04-25 07:30:00","5.5642724203e+08","1.2144492427e+09"
"2026-04-25 08:00:00","6.5261350880e+08","1.4235387326e+09"
"2026-04-25 08:30:00","5.4202203831e+08","1.7848225355e+09"
"2026-04-25 09:00:00","5.8716356326e+08","2.2659702934e+09"
"2026-04-25 09:30:00","7.0393080461e+08","2.8013695107e+09"
"2026-04-25 10:00:00","8.8177520731e+08","3.0417961106e+09"
"2026-04-25 10:30:00","9.0023737266e+08","3.5611916748e+09"
"2026-04-25 11:00:00","8.5254462790e+08","3.5272397503e+09"
"2026-04-25 11:30:00","7.8476364124e+08","3.8562140846e+09"
"2026-04-25 12:00:00","8.1184397543e+08","3.6448383260e+09"
"2026-04-25 12:30:00","7.9111234464e+08","3.5943610262e+09"
"2026-04-25 13:00:00","8.5599238000e+08","3.7454703827e+09"
"2026-04-25 13:30:00","9.3937345530e+08","4.0043617286e+09"
"2026-04-25 14:00:00","8.0248662845e+08","3.5293571125e+09"
"2026-04-25 14:30:00","9.9092232687e+08","3.5065851660e+09"
"2026-04-25 15:00:00","8.7102608973e+08","3.8184121386e+09"
"2026-04-25 15:30:00","9.0062555907e+08","4.3353423597e+09"
"2026-04-25 16:00:00","9.5464842766e+08","4.8620320171e+09"
"2026-04-25 16:30:00","9.5808008904e+08","4.9807856165e+09"
"2026-04-25 17:00:00","1.0365955500e+09","5.0800880145e+09"
"2026-04-25 17:30:00","1.0917465707e+09","5.2430865974e+09"
"2026-04-25 18:00:00","1.0859626725e+09","4.9318628754e+09"
"2026-04-25 18:30:00","1.0895807437e+09","4.8707654242e+09"
"2026-04-25 19:00:00","1.0651154656e+09","4.6460224802e+09"
"2026-04-25 19:30:00","1.0189454575e+09","4.5842769767e+09"
"2026-04-25 20:00:00","1.1001299224e+09","4.1620304281e+09"
"2026-04-25 20:30:00","1.1637601420e+09","4.0151004070e+09"
"2026-04-25 21:00:00","1.0950280174e+09","4.2032562489e+09"
"2026-04-25 21:30:00","1.1727058638e+09","4.5749042509e+09"
"2026-04-25 22:00:00","1.1016860330e+09","5.0878393529e+09"
"2026-04-25 22:30:00","1.2738582830e+09","5.3974035045e+09"
