"Title:","'ALCORT_R3_Huawei_GE-0/5/2 - Trafico Lyntia [10G]'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-04-20 18:00:00"
"End Date:","2026-04-20 18:00:00"
"Step:","1800"
"Total Rows:","337"
"Graph ID:","249"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-04-20 18:00:00","6.6520928856e+08","3.9730630083e+09"
"2026-04-20 18:30:00","7.4023707677e+08","4.2098334042e+09"
"2026-04-20 19:00:00","6.9802327100e+08","3.7361893357e+09"
"2026-04-20 19:30:00","6.1352470405e+08","4.0165447476e+09"
"2026-04-20 20:00:00","5.7348682912e+08","3.8621133262e+09"
"2026-04-20 20:30:00","5.4096624629e+08","3.7005251525e+09"
"2026-04-20 21:00:00","6.2134770031e+08","4.1553613560e+09"
"2026-04-20 21:30:00","5.1552083691e+08","5.1363380969e+09"
"2026-04-20 22:00:00","6.5118887257e+08","5.2676173975e+09"
"2026-04-20 22:30:00","6.2334976367e+08","5.8065142443e+09"
"2026-04-20 23:00:00","6.9092827974e+08","6.4991616284e+09"
"2026-04-20 23:30:00","5.9042710180e+08","6.0111904812e+09"
"2026-04-21 00:00:00","5.8895899655e+08","5.5440807345e+09"
"2026-04-21 00:30:00","4.9987283829e+08","4.5269424344e+09"
"2026-04-21 01:00:00","4.3462161752e+08","3.5209205912e+09"
"2026-04-21 01:30:00","3.7080592204e+08","2.4812840413e+09"
"2026-04-21 02:00:00","3.3955196185e+08","1.9382140984e+09"
"2026-04-21 02:30:00","3.4784496431e+08","1.8625262338e+09"
"2026-04-21 03:00:00","2.8226592009e+08","1.3332738540e+09"
"2026-04-21 03:30:00","3.1031286205e+08","1.1724173276e+09"
"2026-04-21 04:00:00","2.6825903686e+08","9.9633392308e+08"
"2026-04-21 04:30:00","2.4979267828e+08","9.2983479163e+08"
"2026-04-21 05:00:00","2.8681636875e+08","7.8760641713e+08"
"2026-04-21 05:30:00","2.6149567202e+08","7.6891369282e+08"
"2026-04-21 06:00:00","2.8774517620e+08","7.3714799192e+08"
"2026-04-21 06:30:00","2.6913264495e+08","8.5515338004e+08"
"2026-04-21 07:00:00","3.0169627712e+08","9.6156063084e+08"
"2026-04-21 07:30:00","3.4713638365e+08","1.3711397754e+09"
"2026-04-21 08:00:00","3.7545963770e+08","1.5602170181e+09"
"2026-04-21 08:30:00","3.6712635002e+08","1.8363546850e+09"
"2026-04-21 09:00:00","3.5596860124e+08","1.6895045352e+09"
"2026-04-21 09:30:00","4.6073411860e+08","1.6065661000e+09"
"2026-04-21 10:00:00","3.8836504068e+08","1.7582124935e+09"
"2026-04-21 10:30:00","4.3919415295e+08","1.8267711949e+09"
"2026-04-21 11:00:00","4.7481354068e+08","1.9836670262e+09"
"2026-04-21 11:30:00","4.7887232800e+08","2.0500677609e+09"
"2026-04-21 12:00:00","4.3490212532e+08","2.0882871292e+09"
"2026-04-21 12:30:00","4.5270673858e+08","2.3259704945e+09"
"2026-04-21 13:00:00","4.6496614509e+08","2.2979521945e+09"
"2026-04-21 13:30:00","5.7512228296e+08","2.3423332667e+09"
"2026-04-21 14:00:00","4.4198888365e+08","2.4182753954e+09"
"2026-04-21 14:30:00","5.1211001058e+08","2.8151477845e+09"
"2026-04-21 15:00:00","5.1684377266e+08","3.4458637068e+09"
"2026-04-21 15:30:00","6.4864009745e+08","4.1368771394e+09"
"2026-04-21 16:00:00","6.0100188526e+08","4.6696180910e+09"
"2026-04-21 16:30:00","5.0805465315e+08","4.5483290108e+09"
"2026-04-21 17:00:00","4.9826745825e+08","4.5874605108e+09"
"2026-04-21 17:30:00","5.5373536640e+08","4.2307625837e+09"
"2026-04-21 18:00:00","5.5578442422e+08","4.0815473386e+09"
"2026-04-21 18:30:00","5.7484093450e+08","3.8158419412e+09"
"2026-04-21 19:00:00","5.3867508205e+08","3.4319899561e+09"
"2026-04-21 19:30:00","5.8296722901e+08","3.9322078870e+09"
"2026-04-21 20:00:00","5.2806008497e+08","3.6861058919e+09"
