"Title:","'ALCORT_R3_Huawei_GE-0/6/2.510 - Trafico Aire Alset'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-04-20 18:00:00"
"End Date:","2026-04-20 18:00:00"
"Step:","1800"
"Total Rows:","337"
"Graph ID:","26"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-04-20 18:00:00","4.6570605775e+04","2.9614680661e+08"
"2026-04-20 18:30:00","1.8953779756e+04","2.9621653391e+08"
"2026-04-20 19:00:00","6.2874098184e+04","2.9619484103e+08"
"2026-04-20 19:30:00","2.0106309123e+04","2.9617527084e+08"
"2026-04-20 20:00:00","5.8040173455e+04","2.9615688580e+08"
"2026-04-20 20:30:00","7.0500328889e+03","2.9620165679e+08"
"2026-04-20 21:00:00","5.1980251333e+04","2.9619387945e+08"
"2026-04-20 21:30:00","1.3094139037e+04","2.9607005509e+08"
"2026-04-20 22:00:00","7.0746113333e+03","2.9610012819e+08"
"2026-04-20 22:30:00","5.5072236126e+04","2.9621401490e+08"
"2026-04-20 23:00:00","4.7917740096e+04","2.9626053061e+08"
"2026-04-20 23:30:00","7.4546625999e+03","2.9605948032e+08"
"2026-04-21 00:00:00","7.2020350888e+03","2.9621464127e+08"
"2026-04-21 00:30:00","7.2774039410e+03","2.9608611670e+08"
"2026-04-21 01:00:00","7.3049948500e+03","2.9611568857e+08"
"2026-04-21 01:30:00","7.4463428051e+03","2.9616151631e+08"
"2026-04-21 02:00:00","7.0180544262e+03","2.9614886632e+08"
"2026-04-21 02:30:00","7.1896584372e+03","2.9624322920e+08"
"2026-04-21 03:00:00","7.1355153333e+03","2.9600387880e+08"
"2026-04-21 03:30:00","7.1350818519e+03","2.9613409458e+08"
"2026-04-21 04:00:00","7.1470697866e+03","2.9618124355e+08"
"2026-04-21 04:30:00","7.1871113986e+03","2.9626119241e+08"
"2026-04-21 05:00:00","7.3437018519e+03","2.9600891457e+08"
