"Title:","'ALCORT_R3_Huawei_GE-0/6/2.512 - Traffic Aire Pozoblanco'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-03-27 17:00:00"
"End Date:","2026-03-27 17:00:00"
"Step:","7200"
"Total Rows:","373"
"Graph ID:","120"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-03-27 17:00:00","7.9173459208e+08","2.5869675970e+09"
"2026-03-27 19:00:00","7.2533878978e+08","1.9317318111e+09"
"2026-03-27 21:00:00","6.2851604637e+08","1.8903403149e+09"
"2026-03-27 23:00:00","7.5291318245e+08","2.5578253345e+09"
"2026-03-28 01:00:00","6.2617312438e+08","2.3917608435e+09"
"2026-03-28 03:00:00","5.0098558722e+08","1.3104761074e+09"
"2026-03-28 05:00:00","3.4282597407e+08","5.8471556887e+08"
"2026-03-28 07:00:00","3.5484346101e+08","5.3026286875e+08"
"2026-03-28 09:00:00","5.1407203156e+08","9.2295548885e+08"
"2026-03-28 11:00:00","4.5224959480e+08","1.5781792902e+09"
"2026-03-28 13:00:00","4.5230302285e+08","1.8616163266e+09"
"2026-03-28 15:00:00","5.1419989416e+08","1.8444191063e+09"
"2026-03-28 17:00:00","4.3425536028e+08","2.1733366528e+09"
"2026-03-28 19:00:00","4.3579456164e+08","1.9255721891e+09"
"2026-03-28 21:00:00","4.5121327684e+08","2.2145941145e+09"
"2026-03-28 23:00:00","5.0437371913e+08","2.6369804007e+09"
"2026-03-29 01:00:00","4.8531813796e+08","2.2454777730e+09"
"2026-03-29 04:00:00","4.4861109523e+08","1.2942988436e+09"
"2026-03-29 06:00:00","3.9321785202e+08","5.4587364214e+08"
"2026-03-29 08:00:00","3.1963040541e+08","5.2558373409e+08"
"2026-03-29 10:00:00","3.5460884695e+08","9.6851551873e+08"
"2026-03-29 12:00:00","4.9617769693e+08","1.6163481935e+09"
"2026-03-29 14:00:00","5.5768582231e+08","1.9186021984e+09"
"2026-03-29 16:00:00","4.5483215949e+08","2.1229947123e+09"
"2026-03-29 18:00:00","4.0623195048e+08","2.4253598699e+09"
"2026-03-29 20:00:00","3.3453077199e+08","2.1429361400e+09"
"2026-03-29 22:00:00","3.8369020032e+08","2.4658315255e+09"
"2026-03-30 00:00:00","4.5683936906e+08","3.1853867888e+09"
"2026-03-30 02:00:00","4.6272871449e+08","1.8199357820e+09"
"2026-03-30 04:00:00","3.7996015435e+08","7.1474174112e+08"
"2026-03-30 06:00:00","6.4146802153e+08","4.5540808021e+08"
"2026-03-30 08:00:00","6.5517527069e+08","5.4593835878e+08"
"2026-03-30 10:00:00","6.5252898939e+08","1.1494971873e+09"
"2026-03-30 12:00:00","8.0796454456e+08","1.5756135804e+09"
"2026-03-30 14:00:00","6.9273579033e+08","1.7076733975e+09"
"2026-03-30 16:00:00","6.2341995006e+08","2.2289348695e+09"
"2026-03-30 18:00:00","6.6736246176e+08","2.3954018778e+09"
"2026-03-30 20:00:00","6.9515560401e+08","1.9445970764e+09"
"2026-03-30 22:00:00","5.4318970495e+08","1.8090772870e+09"
"2026-03-31 00:00:00","6.5168724337e+08","2.7105356900e+09"
"2026-03-31 02:00:00","3.8491040995e+08","1.9298632266e+09"
"2026-03-31 04:00:00","3.2663888760e+08","8.6071437082e+08"
"2026-03-31 06:00:00","3.5224067984e+08","4.7953756160e+08"
"2026-03-31 08:00:00","5.8608490640e+08","5.7153200213e+08"
"2026-03-31 10:00:00","5.0281181449e+08","1.1394085537e+09"
"2026-03-31 12:00:00","6.7715361328e+08","1.6347453119e+09"
"2026-03-31 14:00:00","7.1437618002e+08","1.9759311593e+09"
"2026-03-31 16:00:00","6.7223319662e+08","2.2572778780e+09"
"2026-03-31 18:00:00","6.7536392566e+08","2.7072541788e+09"
"2026-03-31 20:00:00","6.9745382240e+08","1.9241264460e+09"
"2026-03-31 22:00:00","5.4983926339e+08","1.7305166469e+09"
"2026-04-01 00:00:00","5.8859051911e+08","2.3294347301e+09"
"2026-04-01 02:00:00","5.7065943128e+08","1.8500612554e+09"
"2026-04-01 04:00:00","4.3108679827e+08","8.4931223806e+08"
"2026-04-01 06:00:00","4.2181101482e+08","4.4154893296e+08"
"2026-04-01 08:00:00","8.1741024271e+08","6.1583230900e+08"
"2026-04-01 10:00:00","7.6865250878e+08","1.1436118180e+09"
"2026-04-01 12:00:00","6.1814568970e+08","1.7358208937e+09"
"2026-04-01 14:00:00","5.9296399382e+08","2.0980439525e+09"
"2026-04-01 16:00:00","7.1024248733e+08","2.3964924805e+09"
"2026-04-01 18:00:00","6.9301882824e+08","2.6823580902e+09"
"2026-04-01 20:00:00","5.3468389888e+08","2.0795268739e+09"
"2026-04-01 22:00:00","5.6810681362e+08","1.7117663463e+09"
