"Title:","'ALCORT_R3_Huawei_GE-0/6/3 - Trafico Orange-Jazztel 10G'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-03-27 17:00:00"
"End Date:","2026-03-27 17:00:00"
"Step:","7200"
"Total Rows:","373"
"Graph ID:","143"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-03-27 17:00:00","3.2527423230e+09","1.0842344506e+09"
"2026-03-27 19:00:00","3.1431768317e+09","1.0239274946e+09"
"2026-03-27 21:00:00","3.4856417937e+09","1.0880492830e+09"
"2026-03-27 23:00:00","5.2055866437e+09","1.1499750397e+09"
"2026-03-28 01:00:00","4.2585186881e+09","1.1331325357e+09"
"2026-03-28 03:00:00","1.8717095912e+09","9.4905398815e+08"
"2026-03-28 05:00:00","9.5308854963e+08","5.2644027618e+08"
"2026-03-28 07:00:00","8.4636966552e+08","4.8838708427e+08"
"2026-03-28 09:00:00","1.2270731137e+09","5.9353324239e+08"
"2026-03-28 11:00:00","2.0936611132e+09","7.6236618976e+08"
"2026-03-28 13:00:00","2.4769536502e+09","8.2121589046e+08"
"2026-03-28 15:00:00","3.2488854658e+09","8.1031045088e+08"
"2026-03-28 17:00:00","3.6666449404e+09","8.1195530660e+08"
"2026-03-28 19:00:00","3.4602360163e+09","8.1826898583e+08"
"2026-03-28 21:00:00","3.4650841513e+09","9.3401113305e+08"
"2026-03-28 23:00:00","4.9448026856e+09","1.0498170443e+09"
"2026-03-29 01:00:00","3.9820451283e+09","1.1178587235e+09"
"2026-03-29 04:00:00","2.0088619769e+09","7.4914840055e+08"
"2026-03-29 06:00:00","9.5374718495e+08","4.0000490829e+08"
"2026-03-29 08:00:00","7.6865058100e+08","4.0061762986e+08"
"2026-03-29 10:00:00","1.0856119151e+09","4.7800842651e+08"
"2026-03-29 12:00:00","2.0690209649e+09","9.7334691873e+08"
"2026-03-29 14:00:00","2.3682013087e+09","1.0114096973e+09"
"2026-03-29 16:00:00","2.8751614525e+09","8.4424676988e+08"
"2026-03-29 18:00:00","3.2882737933e+09","8.7483137649e+08"
"2026-03-29 20:00:00","3.3377709342e+09","8.3552689809e+08"
"2026-03-29 22:00:00","4.6336348483e+09","9.5596248409e+08"
"2026-03-30 00:00:00","6.0630238022e+09","1.2786786114e+09"
"2026-03-30 02:00:00","3.9195970732e+09","1.1004580314e+09"
"2026-03-30 04:00:00","1.3575651125e+09","7.0642732479e+08"
"2026-03-30 06:00:00","6.9979746791e+08","6.0346949538e+08"
"2026-03-30 08:00:00","8.1524069179e+08","5.5483178076e+08"
"2026-03-30 10:00:00","1.4782170771e+09","8.4585287525e+08"
