"Title:","'ALCORT_R3_Huawei_GE-0/6/3 - Trafico Orange-Jazztel 10G'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-04-20 17:30:00"
"End Date:","2026-04-20 17:30:00"
"Step:","1800"
"Total Rows:","337"
"Graph ID:","143"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-04-20 17:30:00","2.6275705707e+09","9.7115001377e+08"
"2026-04-20 18:00:00","2.8541174757e+09","8.7115591297e+08"
"2026-04-20 18:30:00","2.3639116300e+09","9.8434081999e+08"
"2026-04-20 19:00:00","2.6063649324e+09","9.6886907650e+08"
"2026-04-20 19:30:00","2.7154484000e+09","1.0024389598e+09"
"2026-04-20 20:00:00","2.6816923008e+09","9.4080230089e+08"
"2026-04-20 20:30:00","3.0738269333e+09","8.1596905295e+08"
"2026-04-20 21:00:00","3.7389970388e+09","8.0129625238e+08"
"2026-04-20 21:30:00","4.8787122499e+09","9.3327481165e+08"
"2026-04-20 22:00:00","5.0321233432e+09","9.4832073802e+08"
"2026-04-20 22:30:00","5.4681719480e+09","1.0132119791e+09"
"2026-04-20 23:00:00","5.7581514902e+09","1.0227922095e+09"
"2026-04-20 23:30:00","5.4343683202e+09","1.1238511945e+09"
"2026-04-21 00:00:00","4.6433837405e+09","1.1080803303e+09"
"2026-04-21 00:30:00","3.5413256281e+09","1.2250218383e+09"
"2026-04-21 01:00:00","2.5072791667e+09","1.0501674955e+09"
"2026-04-21 01:30:00","1.8452966092e+09","6.6563721612e+08"
"2026-04-21 02:00:00","1.4157731432e+09","6.4904484702e+08"
"2026-04-21 02:30:00","1.5461589147e+09","6.1275200867e+08"
"2026-04-21 03:00:00","9.3107208302e+08","5.5862549714e+08"
"2026-04-21 03:30:00","8.4546780899e+08","5.0845335514e+08"
"2026-04-21 04:00:00","7.9821889863e+08","5.7212904257e+08"
"2026-04-21 04:30:00","7.6839103397e+08","3.0310975955e+08"
"2026-04-21 05:00:00","6.9330186821e+08","3.2453516924e+08"
"2026-04-21 05:30:00","5.4400780548e+08","3.1788768035e+08"
"2026-04-21 06:00:00","5.3105578556e+08","3.0410553720e+08"
"2026-04-21 06:30:00","5.9926336402e+08","3.9680449358e+08"
"2026-04-21 07:00:00","7.0301665174e+08","3.8425184371e+08"
"2026-04-21 07:30:00","9.5282185615e+08","5.0306252964e+08"
"2026-04-21 08:00:00","1.0159874084e+09","5.3296853076e+08"
"2026-04-21 08:30:00","1.1168922201e+09","5.9681045460e+08"
"2026-04-21 09:00:00","1.1124272764e+09","6.1859858196e+08"
"2026-04-21 09:30:00","1.1748558531e+09","6.8107545695e+08"
"2026-04-21 10:00:00","1.2197547433e+09","8.1509519236e+08"
"2026-04-21 10:30:00","1.3130551809e+09","6.3593816528e+08"
"2026-04-21 11:00:00","1.3573239781e+09","6.9345625614e+08"
"2026-04-21 11:30:00","1.4666207466e+09","6.5004988714e+08"
"2026-04-21 12:00:00","1.3214536549e+09","7.3053469336e+08"
"2026-04-21 12:30:00","1.3674984662e+09","8.4180994974e+08"
"2026-04-21 13:00:00","1.8101336818e+09","9.7821091107e+08"
"2026-04-21 13:30:00","1.6975862848e+09","8.5733990315e+08"
"2026-04-21 14:00:00","1.7995122519e+09","8.3089576480e+08"
"2026-04-21 14:30:00","1.9044442661e+09","8.7320060515e+08"
"2026-04-21 15:00:00","2.4588632035e+09","8.7966216725e+08"
"2026-04-21 15:30:00","2.9993607809e+09","9.8947321341e+08"
"2026-04-21 16:00:00","3.2752412006e+09","9.7938106691e+08"
"2026-04-21 16:30:00","3.7433089392e+09","1.0169111513e+09"
"2026-04-21 17:00:00","3.4835625050e+09","1.0155030355e+09"
"2026-04-21 17:30:00","3.0773791564e+09","1.1000486203e+09"
"2026-04-21 18:00:00","2.9326186078e+09","1.0306621886e+09"
"2026-04-21 18:30:00","2.7895766449e+09","1.2359567304e+09"
"2026-04-21 19:00:00","3.2406335077e+09","1.2948279252e+09"
"2026-04-21 19:30:00","3.7132334283e+09","1.3475983012e+09"
"2026-04-21 20:00:00","3.8301381352e+09","1.2503553509e+09"
"2026-04-21 20:30:00","4.0416426163e+09","1.0173326583e+09"
"2026-04-21 21:00:00","4.6137373513e+09","1.0005377171e+09"
"2026-04-21 21:30:00","5.4921060335e+09","1.0736273290e+09"
"2026-04-21 22:00:00","7.1638706162e+09","1.1814083307e+09"
"2026-04-21 22:30:00","6.9636674522e+09","1.4519207077e+09"
"2026-04-21 23:00:00","6.7940133805e+09","1.2413621786e+09"
