"Title:","'ALCORT_R3_Huawei_GE-0/7/2 - Trafico AVATEL ADURIZ'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-04-20 18:00:00"
"End Date:","2026-04-20 18:00:00"
"Step:","1800"
"Total Rows:","337"
"Graph ID:","234"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-04-20 18:00:00","2.8878478075e+07","1.5808484135e+08"
"2026-04-20 18:30:00","5.5019900936e+06","6.9045521753e+04"
"2026-04-20 19:00:00","1.1986542979e+07","1.8902228538e+04"
"2026-04-20 19:30:00","7.1265100870e+06","1.0299748137e+05"
"2026-04-20 20:00:00","7.6936882626e+06","9.2044127008e+04"
"2026-04-20 20:30:00","5.6603356690e+06","4.6943454593e+04"
"2026-04-20 21:00:00","6.4609439035e+06","6.4622966444e+04"
"2026-04-20 21:30:00","1.0009062403e+07","2.7439876000e+04"
"2026-04-20 22:00:00","1.0515227924e+07","7.3171875926e+04"
"2026-04-20 22:30:00","9.5087908233e+06","1.2815590027e+04"
"2026-04-20 23:00:00","1.4428712382e+07","2.0015669677e+04"
"2026-04-20 23:30:00","9.6463607094e+06","1.2865762600e+04"
"2026-04-21 00:00:00","9.8456199507e+06","1.3212065974e+04"
"2026-04-21 00:30:00","5.7582689746e+06","1.2852028241e+04"
"2026-04-21 01:00:00","3.1844586381e+06","1.2878772452e+04"
"2026-04-21 01:30:00","2.8336810648e+06","1.2915378361e+04"
"2026-04-21 02:00:00","2.6664395696e+06","1.2861022368e+04"
"2026-04-21 02:30:00","2.0051489890e+06","1.2856603190e+04"
"2026-04-21 03:00:00","2.7959207131e+06","1.2835001546e+04"
"2026-04-21 03:30:00","1.7117378113e+06","1.2820361862e+04"
"2026-04-21 04:00:00","1.0358287756e+06","1.2954734505e+04"
"2026-04-21 04:30:00","1.3028248388e+06","1.3139459051e+04"
"2026-04-21 05:00:00","2.1226363813e+06","1.2863967704e+04"
"2026-04-21 05:30:00","3.1492718335e+06","1.2821101532e+04"
"2026-04-21 06:00:00","2.7002783072e+06","1.2832586058e+04"
"2026-04-21 06:30:00","3.7430865633e+06","1.2832329373e+04"
"2026-04-21 07:00:00","3.3271923534e+06","1.2900470331e+04"
"2026-04-21 07:30:00","3.2336497051e+06","1.2977725002e+04"
"2026-04-21 08:00:00","5.5508502312e+06","1.2861544148e+04"
"2026-04-21 08:30:00","3.6929780059e+06","1.6616908296e+04"
"2026-04-21 09:00:00","3.7853978639e+06","8.0976460963e+04"
"2026-04-21 09:30:00","4.0763890515e+06","7.9138347824e+04"
"2026-04-21 10:00:00","3.7248080664e+06","1.6882268860e+05"
"2026-04-21 10:30:00","5.5430975201e+06","2.1561254025e+05"
"2026-04-21 11:00:00","5.4318957840e+06","1.1153261094e+05"
"2026-04-21 11:30:00","3.7103229969e+06","2.8266545610e+05"
"2026-04-21 12:00:00","7.5115224196e+06","1.9946241567e+05"
"2026-04-21 12:30:00","3.7604834697e+06","3.4840645989e+05"
"2026-04-21 13:00:00","4.7530117913e+06","3.5689725585e+05"
"2026-04-21 13:30:00","1.6015569367e+07","2.6558908795e+05"
"2026-04-21 14:00:00","5.8921670690e+06","2.3226508666e+05"
"2026-04-21 14:30:00","6.0324788597e+06","1.1003806732e+05"
"2026-04-21 15:00:00","6.1732415586e+06","9.5525013028e+04"
"2026-04-21 15:30:00","1.6819399467e+07","9.7762390691e+04"
"2026-04-21 16:00:00","2.4250907995e+07","5.2791783836e+04"
"2026-04-21 16:30:00","1.7392685106e+07","8.5542466444e+04"
"2026-04-21 17:00:00","6.2954448610e+06","3.7164308627e+04"
"2026-04-21 17:30:00","1.7015146927e+07","8.8927107522e+04"
"2026-04-21 18:00:00","6.6867904828e+06","5.6005735247e+04"
"2026-04-21 18:30:00","6.8022006982e+06","8.6524800656e+04"
"2026-04-21 19:00:00","6.8702138749e+06","3.0656468522e+04"
"2026-04-21 19:30:00","4.5471714780e+06","9.1303525798e+04"
"2026-04-21 20:00:00","1.9413550426e+07","1.8943974047e+05"
"2026-04-21 20:30:00","8.8069396310e+06","2.3323981381e+04"
"2026-04-21 21:00:00","6.7641450200e+06","6.3788466741e+04"
"2026-04-21 21:30:00","7.7787421264e+06","5.9314758222e+04"
"2026-04-21 22:00:00","8.3874975943e+06","1.7192939630e+04"
"2026-04-21 22:30:00","9.8511821713e+06","1.3173507578e+05"
"2026-04-21 23:00:00","8.6840314849e+06","5.7645775553e+04"
"2026-04-21 23:30:00","1.3020153476e+07","1.2876345692e+04"
"2026-04-22 00:00:00","1.4590417540e+07","1.2829905866e+04"
"2026-04-22 00:30:00","1.2010167715e+07","1.2789220444e+04"
"2026-04-22 01:00:00","2.9708983938e+06","1.2841606571e+04"
"2026-04-22 01:30:00","3.2379659814e+06","1.2831707119e+04"
"2026-04-22 02:00:00","2.6742619283e+06","1.2868406002e+04"
"2026-04-22 02:30:00","2.0293097014e+06","1.2860855642e+04"
"2026-04-22 03:00:00","2.6163400964e+06","1.3117567819e+04"
"2026-04-22 03:30:00","3.1695232208e+06","1.2817815811e+04"
"2026-04-22 04:00:00","1.3623118179e+06","1.2925158074e+04"
"2026-04-22 04:30:00","1.1132842050e+06","1.2863292148e+04"
"2026-04-22 05:00:00","6.4484243987e+06","1.2816605407e+04"
"2026-04-22 05:30:00","1.5939880947e+06","1.2786684148e+04"
"2026-04-22 06:00:00","2.2366823494e+06","1.2938985832e+04"
"2026-04-22 06:30:00","2.8784229274e+06","1.2889003575e+04"
"2026-04-22 07:00:00","2.0772153056e+06","1.2885527556e+04"
"2026-04-22 07:30:00","2.9410540622e+06","1.3104284148e+04"
"2026-04-22 08:00:00","6.5900821950e+06","1.2831204444e+04"
"2026-04-22 08:30:00","1.0557757343e+07","2.9585833185e+04"
"2026-04-22 09:00:00","2.1842534863e+07","5.3525910079e+04"
"2026-04-22 09:30:00","2.3619979609e+07","5.6825670800e+04"
"2026-04-22 10:00:00","4.9234139468e+07","1.2185919586e+05"
"2026-04-22 10:30:00","3.9921652302e+07","1.7897829496e+05"
"2026-04-22 11:00:00","2.7932473733e+07","2.2668150311e+05"
"2026-04-22 11:30:00","3.5252233218e+07","1.9816007437e+05"
"2026-04-22 12:00:00","4.4350405725e+07","3.0397310992e+05"
"2026-04-22 12:30:00","3.6683536540e+07","2.1386475882e+05"
"2026-04-22 13:00:00","3.9138051050e+07","3.3358927393e+05"
"2026-04-22 13:30:00","5.5549866101e+07","2.3419481067e+05"
"2026-04-22 14:00:00","2.0316372519e+07","1.3391240289e+05"
"2026-04-22 14:30:00","1.3498353766e+07","8.9026544222e+04"
"2026-04-22 15:00:00","1.2622992712e+07","3.7394510540e+04"
"2026-04-22 15:30:00","1.3599646806e+07","5.8580239089e+04"
"2026-04-22 16:00:00","9.0174325677e+06","4.2659771940e+04"
"2026-04-22 16:30:00","1.1380730765e+07","1.5955691164e+05"
"2026-04-22 17:00:00","8.1897432212e+06","1.5617160042e+05"
"2026-04-22 17:30:00","9.7486303697e+06","8.6368291333e+04"
"2026-04-22 18:00:00","1.0390573483e+07","6.6636925037e+04"
"2026-04-22 18:30:00","2.0517876632e+07","3.7996936074e+04"
"2026-04-22 19:00:00","1.0070346022e+07","9.9933091259e+04"
"2026-04-22 19:30:00","1.0357483344e+07","7.1647320370e+04"
"2026-04-22 20:00:00","1.0939525476e+07","8.8220840741e+04"
"2026-04-22 20:30:00","1.5075821409e+07","5.6226091556e+04"
"2026-04-22 21:00:00","1.2546372415e+07","1.0240681515e+05"
"2026-04-22 21:30:00","1.6386972736e+07","7.4594081815e+04"
"2026-04-22 22:00:00","1.1125776594e+07","8.5157777481e+04"
"2026-04-22 22:30:00","1.1720393813e+07","2.2655915704e+04"
"2026-04-22 23:00:00","1.6774677820e+07","2.7933888728e+04"
"2026-04-22 23:30:00","1.2180594481e+07","1.2851134457e+04"
"2026-04-23 00:00:00","1.1768418793e+07","1.2845936519e+04"
"2026-04-23 00:30:00","6.5697541489e+06","1.6306961266e+04"
"2026-04-23 01:00:00","6.1395773704e+06","1.3039578809e+04"
"2026-04-23 01:30:00","5.1167365399e+06","1.2828732741e+04"
"2026-04-23 02:00:00","5.7815843406e+06","1.3123452963e+04"
"2026-04-23 02:30:00","2.2046736690e+06","1.2982418667e+04"
"2026-04-23 03:00:00","1.6589822671e+06","1.2907308148e+04"
"2026-04-23 03:30:00","3.8325327969e+06","1.2866060763e+04"
"2026-04-23 04:00:00","1.8544782931e+06","1.2848787163e+04"
"2026-04-23 04:30:00","2.2639565717e+06","1.2927107481e+04"
"2026-04-23 05:00:00","2.8991878639e+06","1.2863268889e+04"
"2026-04-23 05:30:00","1.4608808506e+06","1.3034507407e+04"
"2026-04-23 06:00:00","4.5125108142e+06","1.2923731259e+04"
"2026-04-23 06:30:00","1.5444011502e+06","1.3154257037e+04"
"2026-04-23 07:00:00","2.8016013394e+06","1.3099748074e+04"
"2026-04-23 07:30:00","2.4494404923e+06","1.2929503047e+04"
"2026-04-23 08:00:00","5.6757320334e+06","1.2973142057e+04"
"2026-04-23 08:30:00","3.8414788947e+06","1.2978703118e+04"
"2026-04-23 09:00:00","4.7519990210e+06","1.8195478215e+04"
"2026-04-23 09:30:00","4.9165991971e+06","6.3627719699e+04"
"2026-04-23 10:00:00","7.3989093444e+06","1.0174245875e+05"
"2026-04-23 10:30:00","4.6465314779e+06","3.7015771303e+04"
"2026-04-23 11:00:00","6.8660926539e+06","9.8354489808e+04"
"2026-04-23 11:30:00","8.3853130252e+06","3.4827291209e+04"
"2026-04-23 12:00:00","4.1233523305e+06","8.5153699917e+04"
