"Title:","'ALCORT_R3_Huawei_GE-0/7/4 - Trafico Cablemovil 1G Conil'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-03-27 17:00:00"
"End Date:","2026-03-27 17:00:00"
"Step:","7200"
"Total Rows:","373"
"Graph ID:","280"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-03-27 17:00:00","7.2315225835e+03","5.3531817759e+08"
"2026-03-27 19:00:00","7.2347481090e+03","5.3509983270e+08"
"2026-03-27 21:00:00","7.2196653005e+03","5.3581969114e+08"
"2026-03-27 23:00:00","7.2307245349e+03","5.3573303354e+08"
"2026-03-28 01:00:00","7.2459088349e+03","5.3595515250e+08"
"2026-03-28 03:00:00","7.2355484429e+03","5.3592759133e+08"
"2026-03-28 05:00:00","7.2318668704e+03","5.3589876001e+08"
"2026-03-28 07:00:00","7.1797490947e+03","5.3573917873e+08"
"2026-03-28 09:00:00","7.2277486645e+03","5.3583471179e+08"
"2026-03-28 11:00:00","7.2431057407e+03","5.3523786842e+08"
"2026-03-28 13:00:00","7.2295689630e+03","5.3548368841e+08"
"2026-03-28 15:00:00","7.2336138402e+03","5.3527387345e+08"
"2026-03-28 17:00:00","7.2334194005e+03","5.3580989857e+08"
"2026-03-28 19:00:00","7.2323531984e+03","5.3500262944e+08"
"2026-03-28 21:00:00","7.2366785351e+03","5.3543367542e+08"
"2026-03-28 23:00:00","7.1972570310e+03","5.3578863232e+08"
"2026-03-29 01:00:00","7.2428935134e+03","5.3602495513e+08"
"2026-03-29 04:00:00","7.2357130298e+03","5.3575316118e+08"
"2026-03-29 06:00:00","7.2052401183e+03","5.3598433065e+08"
"2026-03-29 08:00:00","7.2379355000e+03","5.3574419452e+08"
"2026-03-29 10:00:00","7.2436101882e+03","5.3566742003e+08"
"2026-03-29 12:00:00","7.2308252192e+03","5.3529204943e+08"
"2026-03-29 14:00:00","7.2479475859e+03","5.3576221540e+08"
"2026-03-29 16:00:00","7.2304001548e+03","5.3563890775e+08"
"2026-03-29 18:00:00","7.2316093503e+03","5.3575214260e+08"
"2026-03-29 20:00:00","7.2220975623e+03","5.3571780725e+08"
"2026-03-29 22:00:00","7.2284834393e+03","5.3539521985e+08"
"2026-03-30 00:00:00","7.2371479630e+03","5.3549765335e+08"
"2026-03-30 02:00:00","7.2366816481e+03","5.3547291730e+08"
"2026-03-30 04:00:00","7.2315495556e+03","5.3611508772e+08"
"2026-03-30 06:00:00","7.2455769127e+03","5.3605373687e+08"
"2026-03-30 08:00:00","7.2043630687e+03","5.3581481368e+08"
"2026-03-30 10:00:00","7.2418132222e+03","5.3586616163e+08"
"2026-03-30 12:00:00","7.2381986431e+03","5.3578858800e+08"
"2026-03-30 14:00:00","7.2440048013e+03","5.3559141479e+08"
"2026-03-30 16:00:00","7.2389865185e+03","5.3532483139e+08"
"2026-03-30 18:00:00","7.2437700741e+03","5.3553457189e+08"
"2026-03-30 20:00:00","7.2355614309e+03","5.3518788134e+08"
"2026-03-30 22:00:00","7.2424457278e+03","5.3506768301e+08"
"2026-03-31 00:00:00","7.2295553456e+03","5.3551492675e+08"
"2026-03-31 02:00:00","7.2466786252e+03","5.3599829108e+08"
"2026-03-31 04:00:00","7.2315235185e+03","5.3578944442e+08"
"2026-03-31 06:00:00","7.2403232593e+03","5.3594517473e+08"
"2026-03-31 08:00:00","7.2385688889e+03","5.3596924043e+08"
"2026-03-31 10:00:00","7.1472548980e+03","5.3568728561e+08"
"2026-03-31 12:00:00","7.1708568613e+03","5.3530416759e+08"
"2026-03-31 14:00:00","7.1979589444e+03","5.3574844203e+08"
"2026-03-31 16:00:00","7.2466210556e+03","5.3577758892e+08"
"2026-03-31 18:00:00","7.2291448905e+03","5.3580626375e+08"
"2026-03-31 20:00:00","7.2447682392e+03","5.3485377341e+08"
"2026-03-31 22:00:00","7.2398142222e+03","5.3510835403e+08"
"2026-04-01 00:00:00","7.2441822407e+03","5.3023777288e+08"
"2026-04-01 02:00:00","7.2378767778e+03","5.3554042537e+08"
"2026-04-01 04:00:00","7.2445209815e+03","5.3595405660e+08"
"2026-04-01 06:00:00","7.2323999763e+03","5.3601306252e+08"
"2026-04-01 08:00:00","7.2466845679e+03","5.3592059723e+08"
