"Title:","'ALCORT_R3_Huawei_GE-0/7/6 - Traffico EAM Telefonica'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-04-20 18:00:00"
"End Date:","2026-04-20 18:00:00"
"Step:","1800"
"Total Rows:","337"
"Graph ID:","251"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-04-20 18:00:00","1.6591185046e+08","6.5631221263e+03"
"2026-04-20 18:30:00","9.0644064740e+07","6.6201938368e+03"
"2026-04-20 19:00:00","1.5074984321e+08","6.6078278621e+03"
"2026-04-20 19:30:00","1.7959494380e+08","6.5996509327e+03"
"2026-04-20 20:00:00","1.6614337235e+08","6.6129170722e+03"
"2026-04-20 20:30:00","1.3243866013e+08","6.6105918519e+03"
"2026-04-20 21:00:00","1.2210220587e+08","6.5944068148e+03"
"2026-04-20 21:30:00","1.3717761754e+08","6.5725906667e+03"
"2026-04-20 22:00:00","1.5463506337e+08","6.5926876296e+03"
"2026-04-20 22:30:00","1.3873608032e+08","6.6144538300e+03"
"2026-04-20 23:00:00","2.0177211845e+08","6.5773407626e+03"
"2026-04-20 23:30:00","1.8980154530e+08","6.6148767966e+03"
"2026-04-21 00:00:00","1.8906817506e+08","6.5843227489e+03"
"2026-04-21 00:30:00","1.5003293360e+08","6.6149099360e+03"
"2026-04-21 01:00:00","1.5999115380e+08","6.6038372605e+03"
"2026-04-21 01:30:00","1.1957356962e+08","6.6150806557e+03"
"2026-04-21 02:00:00","9.6936233289e+07","6.6100842259e+03"
"2026-04-21 02:30:00","9.7874290142e+07","6.5536014876e+03"
"2026-04-21 03:00:00","8.2757887049e+07","6.5830928658e+03"
"2026-04-21 03:30:00","7.8422963022e+07","6.6077107638e+03"
"2026-04-21 04:00:00","7.6079102692e+07","6.6048105637e+03"
"2026-04-21 04:30:00","1.0390143890e+08","6.5826552141e+03"
"2026-04-21 05:00:00","6.4971013144e+07","6.5826367407e+03"
"2026-04-21 05:30:00","9.7209646960e+07","6.6012688738e+03"
"2026-04-21 06:00:00","8.6921834559e+07","6.6154070242e+03"
"2026-04-21 06:30:00","5.0950026296e+07","6.6112990650e+03"
"2026-04-21 07:00:00","5.1237436164e+07","6.5506581293e+03"
"2026-04-21 07:30:00","5.5917739475e+07","6.6063537966e+03"
"2026-04-21 08:00:00","7.1957370876e+07","6.5919470370e+03"
"2026-04-21 08:30:00","6.8464125154e+07","6.6194952593e+03"
"2026-04-21 09:00:00","5.4823279584e+07","6.6014364444e+03"
"2026-04-21 09:30:00","5.9606570524e+07","6.6061285926e+03"
"2026-04-21 10:00:00","8.2949411181e+07","6.5800745355e+03"
"2026-04-21 10:30:00","8.8028095509e+07","6.5897022052e+03"
"2026-04-21 11:00:00","5.2369586160e+07","6.5994563376e+03"
"2026-04-21 11:30:00","4.1558204431e+07","6.6145272180e+03"
"2026-04-21 12:00:00","1.1414767678e+08","6.6049996308e+03"
