"Title:","'ALCORT_R3_Huawei_Trunk0 - Espanix LAG [10G] Traffic'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-03-27 17:00:00"
"End Date:","2026-03-27 17:00:00"
"Step:","7200"
"Total Rows:","373"
"Graph ID:","207"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-03-27 17:00:00","5.0920846236e+09","3.9640162373e+08"
"2026-03-27 19:00:00","5.1228914160e+09","3.5561485059e+08"
"2026-03-27 21:00:00","4.4052817355e+09","4.0266384174e+08"
"2026-03-27 23:00:00","5.0632426719e+09","6.6457808003e+08"
"2026-03-28 01:00:00","4.4472579725e+09","5.5791840859e+08"
"2026-03-28 03:00:00","2.2786100092e+09","3.4581675172e+08"
"2026-03-28 05:00:00","9.8724213574e+08","2.2775444012e+08"
"2026-03-28 07:00:00","6.9314068367e+08","2.7482736896e+08"
"2026-03-28 09:00:00","1.7321456533e+09","2.9983907909e+08"
"2026-03-28 11:00:00","2.8163840896e+09","2.9990317987e+08"
"2026-03-28 13:00:00","3.4946775500e+09","3.6492291609e+08"
"2026-03-28 15:00:00","4.0554777391e+09","3.5594926136e+08"
"2026-03-28 17:00:00","4.4073051241e+09","3.8741331580e+08"
"2026-03-28 19:00:00","4.5887033255e+09","3.9604241363e+08"
"2026-03-28 21:00:00","4.5487739368e+09","4.3615321294e+08"
"2026-03-28 23:00:00","5.6745631077e+09","5.7237938774e+08"
"2026-03-29 01:00:00","4.2326250257e+09","4.7107978186e+08"
"2026-03-29 04:00:00","2.4531528367e+09","4.6307140092e+08"
"2026-03-29 06:00:00","1.2419057888e+09","2.2847202457e+08"
"2026-03-29 08:00:00","8.7071945064e+08","1.7707480263e+08"
"2026-03-29 10:00:00","1.3600071643e+09","2.2423511851e+08"
"2026-03-29 12:00:00","2.7329911401e+09","3.7082172728e+08"
"2026-03-29 14:00:00","4.0034666093e+09","4.1985854702e+08"
"2026-03-29 16:00:00","4.1880624950e+09","3.4726789417e+08"
"2026-03-29 18:00:00","4.5885014606e+09","3.8601964439e+08"
"2026-03-29 20:00:00","4.7500500619e+09","4.2440723844e+08"
"2026-03-29 22:00:00","5.3254517509e+09","4.8178374163e+08"
"2026-03-30 00:00:00","6.2144876908e+09","5.2319350733e+08"
"2026-03-30 02:00:00","3.6279578847e+09","3.8715588428e+08"
"2026-03-30 04:00:00","1.5033910553e+09","2.8579998415e+08"
"2026-03-30 06:00:00","6.5057684240e+08","1.3948623501e+08"
"2026-03-30 08:00:00","7.6344805610e+08","4.5581368180e+08"
"2026-03-30 10:00:00","1.7014806635e+09","4.7916499680e+08"
"2026-03-30 12:00:00","2.3095119921e+09","4.5633362204e+08"
"2026-03-30 14:00:00","3.0827214067e+09","5.8172623705e+08"
"2026-03-30 16:00:00","3.8255885209e+09","5.1708312077e+08"
"2026-03-30 18:00:00","4.3803172037e+09","5.1720467796e+08"
"2026-03-30 20:00:00","4.0540829264e+09","4.7184059049e+08"
"2026-03-30 22:00:00","3.8933624369e+09","5.1368195061e+08"
"2026-03-31 00:00:00","5.3956238084e+09","7.4531701044e+08"
"2026-03-31 02:00:00","3.8123902958e+09","4.0400216851e+08"
"2026-03-31 04:00:00","1.3566688855e+09","6.0251918405e+08"
"2026-03-31 06:00:00","7.9641165699e+08","1.9281360906e+08"
"2026-03-31 08:00:00","9.9253969148e+08","3.1138450541e+08"
"2026-03-31 10:00:00","1.6895116097e+09","3.6566520263e+08"
"2026-03-31 12:00:00","2.8968923144e+09","4.2179740481e+08"
"2026-03-31 14:00:00","4.5549327386e+09","4.4721908994e+08"
"2026-03-31 16:00:00","4.5861496730e+09","4.1217435550e+08"
"2026-03-31 18:00:00","4.5852186719e+09","4.2351108382e+08"
"2026-03-31 20:00:00","4.1198476136e+09","4.0488626764e+08"
"2026-03-31 22:00:00","4.8408583702e+09","5.4718617724e+08"
"2026-04-01 00:00:00","6.3144547986e+09","6.4180824695e+08"
"2026-04-01 02:00:00","3.9265045208e+09","3.3923161774e+08"
"2026-04-01 04:00:00","1.8178573903e+09","3.2668438450e+08"
"2026-04-01 06:00:00","9.3232419681e+08","1.7558591203e+08"
"2026-04-01 08:00:00","8.8721879613e+08","5.3131665415e+08"
"2026-04-01 10:00:00","1.8172464095e+09","5.7732796963e+08"
"2026-04-01 12:00:00","4.5169628096e+09","4.2471286369e+08"
"2026-04-01 14:00:00","5.3496247735e+09","5.3282039014e+08"
"2026-04-01 16:00:00","5.9622384302e+09","6.1758883453e+08"
"2026-04-01 18:00:00","5.4702490586e+09","4.9397035149e+08"
"2026-04-01 20:00:00","5.1105079359e+09","5.0221387831e+08"
"2026-04-01 22:00:00","4.9655049470e+09","5.8000092670e+08"
"2026-04-02 00:00:00","6.1294059150e+09","5.4359372617e+08"
"2026-04-02 02:00:00","4.2351863887e+09","3.6960888508e+08"
"2026-04-02 04:00:00","2.2436333478e+09","6.4815464008e+08"
"2026-04-02 06:00:00","1.4648784083e+09","3.4516247635e+08"
"2026-04-02 08:00:00","1.1319742785e+09","4.6507663111e+08"
"2026-04-02 10:00:00","1.5971812198e+09","2.8763330341e+08"
"2026-04-02 12:00:00","3.2454969071e+09","3.7860177603e+08"
"2026-04-02 14:00:00","4.2015622732e+09","4.3170519681e+08"
"2026-04-02 16:00:00","4.5447017608e+09","4.0727736849e+08"
"2026-04-02 18:00:00","4.9406360551e+09","4.6004829087e+08"
"2026-04-02 20:00:00","4.8117311587e+09","4.6221284354e+08"
"2026-04-02 22:00:00","5.0299002149e+09","5.0692201688e+08"
"2026-04-03 00:00:00","5.3093552505e+09","4.2203651454e+08"
"2026-04-03 02:00:00","3.8011751688e+09","3.8088653461e+08"
"2026-04-03 04:00:00","1.9064338135e+09","6.7297877103e+08"
"2026-04-03 06:00:00","1.2384568837e+09","2.6407587638e+08"
"2026-04-03 08:00:00","9.0306505068e+08","2.4132137153e+08"
"2026-04-03 10:00:00","1.5427278350e+09","2.3112043975e+08"
"2026-04-03 12:00:00","3.5911953930e+09","3.0986998896e+08"
"2026-04-03 14:00:00","3.4007339299e+09","3.0700321285e+08"
"2026-04-03 16:00:00","4.0207407499e+09","3.2670668235e+08"
"2026-04-03 18:00:00","4.5001407220e+09","3.7558652843e+08"
"2026-04-03 20:00:00","3.7322476933e+09","3.7748519280e+08"
"2026-04-03 22:00:00","3.6273130880e+09","3.8636923910e+08"
"2026-04-04 00:00:00","4.7832466957e+09","5.4421855554e+08"
"2026-04-04 02:00:00","3.5057026875e+09","3.1126500890e+08"
"2026-04-04 04:00:00","1.7609932178e+09","2.3079053264e+08"
"2026-04-04 06:00:00","8.2269063143e+08","3.8374976835e+08"
"2026-04-04 08:00:00","9.0378786842e+08","2.8225711865e+08"
"2026-04-04 10:00:00","1.5444220542e+09","2.3746286041e+08"
"2026-04-04 12:00:00","2.3035434441e+09","2.7232882795e+08"
"2026-04-04 14:00:00","3.2922176839e+09","3.6533726908e+08"
"2026-04-04 16:00:00","4.1657097876e+09","3.8077360326e+08"
"2026-04-04 18:00:00","4.6477273709e+09","4.9438311259e+08"
"2026-04-04 20:00:00","4.5569874482e+09","4.4342082766e+08"
"2026-04-04 22:00:00","4.7468015397e+09","6.6728239975e+08"
"2026-04-05 00:00:00","6.3552439455e+09","6.4241906553e+08"
"2026-04-05 02:00:00","4.2198878273e+09","4.6448561299e+08"
"2026-04-05 04:00:00","2.5004884976e+09","3.6104779403e+08"
"2026-04-05 06:00:00","1.1048274094e+09","2.4155988526e+08"
"2026-04-05 08:00:00","9.1138935579e+08","3.3850574247e+08"
"2026-04-05 10:00:00","1.4055792333e+09","2.9485721399e+08"
"2026-04-05 12:00:00","2.7804641977e+09","4.0993390816e+08"
"2026-04-05 14:00:00","3.5767234389e+09","4.9488867963e+08"
"2026-04-05 16:00:00","4.2084674715e+09","5.1884744795e+08"
"2026-04-05 18:00:00","5.4388080688e+09","4.6436094839e+08"
"2026-04-05 20:00:00","4.7607845613e+09","4.3432225692e+08"
"2026-04-05 22:00:00","5.5311120952e+09","5.2566806426e+08"
"2026-04-06 00:00:00","5.3455394327e+09","5.3546404569e+08"
"2026-04-06 02:00:00","3.3878967101e+09","3.5862025920e+08"
"2026-04-06 04:00:00","1.2779449032e+09","3.0122818183e+08"
"2026-04-06 06:00:00","7.9092897202e+08","2.2454192239e+08"
"2026-04-06 08:00:00","9.3580948629e+08","2.3696316302e+08"
"2026-04-06 10:00:00","2.0272507931e+09","4.1999253670e+08"
"2026-04-06 12:00:00","2.5302573763e+09","4.3967476349e+08"
"2026-04-06 14:00:00","2.5529746740e+09","4.2412332129e+08"
"2026-04-06 16:00:00","3.4570234942e+09","4.1982958420e+08"
"2026-04-06 18:00:00","4.4447854938e+09","4.7177655604e+08"
