"Title:","'ALCORT_R3_Huawei_Trunk1 - Trafico 10G Google'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-03-27 17:00:00"
"End Date:","2026-03-27 17:00:00"
"Step:","7200"
"Total Rows:","373"
"Graph ID:","216"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-03-27 17:00:00","3.9976053012e+09","5.4885661663e+08"
"2026-03-27 19:00:00","3.5240824408e+09","5.3288163444e+08"
"2026-03-27 21:00:00","3.6320292061e+09","6.2314480946e+08"
"2026-03-27 23:00:00","2.2489637677e+09","6.6189601193e+08"
"2026-03-28 01:00:00","3.0325295244e+09","6.8988628356e+08"
"2026-03-28 03:00:00","1.7843444880e+09","5.1516405912e+08"
"2026-03-28 05:00:00","9.1642620269e+08","3.6192356466e+08"
"2026-03-28 07:00:00","6.7859475008e+08","4.0292981608e+08"
"2026-03-28 09:00:00","1.2908446302e+09","4.3591119088e+08"
"2026-03-28 11:00:00","2.5482012773e+09","5.9011349633e+08"
"2026-03-28 13:00:00","2.7123027578e+09","5.0332550809e+08"
"2026-03-28 15:00:00","4.0192594801e+09","4.6081711961e+08"
"2026-03-28 17:00:00","4.0071614305e+09","5.1615232500e+08"
"2026-03-28 19:00:00","3.5697889295e+09","5.4375116526e+08"
"2026-03-28 21:00:00","3.4716641979e+09","7.3996179894e+08"
"2026-03-28 23:00:00","1.8765403592e+09","7.3572422186e+08"
"2026-03-29 01:00:00","2.6872548962e+09","7.4533370472e+08"
"2026-03-29 04:00:00","1.6141551034e+09","6.3958329168e+08"
"2026-03-29 06:00:00","7.8202239828e+08","3.8906292286e+08"
"2026-03-29 08:00:00","6.3228349808e+08","3.9002215157e+08"
"2026-03-29 10:00:00","1.1654067965e+09","3.8386563029e+08"
"2026-03-29 12:00:00","2.5617008152e+09","6.2967905268e+08"
"2026-03-29 14:00:00","3.4774253491e+09","5.9181348779e+08"
"2026-03-29 16:00:00","4.2256289799e+09","5.8828034767e+08"
"2026-03-29 18:00:00","3.8611048704e+09","5.1113152575e+08"
"2026-03-29 20:00:00","3.3508295428e+09","5.5805126861e+08"
"2026-03-29 22:00:00","1.4028297193e+09","6.6085365992e+08"
"2026-03-30 00:00:00","1.5010238659e+09","7.8779061396e+08"
"2026-03-30 02:00:00","2.2903131278e+09","7.9904251198e+08"
"2026-03-30 04:00:00","1.1803456863e+09","5.1564146557e+08"
"2026-03-30 06:00:00","6.5161757793e+08","4.6141210474e+08"
"2026-03-30 08:00:00","5.5312504426e+08","3.1163513617e+08"
"2026-03-30 10:00:00","1.3069415015e+09","4.3893476818e+08"
"2026-03-30 12:00:00","2.2677334055e+09","6.5571793588e+08"
"2026-03-30 14:00:00","2.7263115714e+09","5.8033860721e+08"
