"Title:","'ALCORT_R3_Huawei_Trunk2 - Trafico 10G Netflix 1'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-04-20 17:30:00"
"End Date:","2026-04-20 17:30:00"
"Step:","1800"
"Total Rows:","337"
"Graph ID:","221"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-04-20 17:30:00","1.1785648974e+09","1.4515391815e+07"
"2026-04-20 18:00:00","9.6695373454e+08","1.2783408149e+07"
"2026-04-20 18:30:00","8.9263098642e+08","1.0984303101e+07"
"2026-04-20 19:00:00","8.7609733120e+08","1.0237052162e+07"
"2026-04-20 19:30:00","8.5531863803e+08","1.0433326945e+07"
"2026-04-20 20:00:00","8.0838903274e+08","1.0316491571e+07"
"2026-04-20 20:30:00","9.7911197399e+08","1.2327656470e+07"
"2026-04-20 21:00:00","1.2060721914e+09","1.5557507151e+07"
"2026-04-20 21:30:00","1.3986456714e+09","1.6566257280e+07"
"2026-04-20 22:00:00","1.8640839603e+09","2.3746057699e+07"
"2026-04-20 22:30:00","2.3180490480e+09","2.9493441844e+07"
"2026-04-20 23:00:00","2.4785798880e+09","3.2460698887e+07"
"2026-04-20 23:30:00","2.4662488453e+09","3.1640469777e+07"
"2026-04-21 00:00:00","2.1825603131e+09","2.6568399545e+07"
"2026-04-21 00:30:00","1.6945184948e+09","2.0302101789e+07"
"2026-04-21 01:00:00","1.2596211241e+09","1.4971986938e+07"
"2026-04-21 01:30:00","8.2672050265e+08","1.0209564856e+07"
"2026-04-21 02:00:00","6.9742383782e+08","8.5046298078e+06"
"2026-04-21 02:30:00","5.4175621129e+08","6.5732322617e+06"
"2026-04-21 03:00:00","4.2876136933e+08","5.9720726100e+06"
"2026-04-21 03:30:00","3.2714527940e+08","5.1142478677e+06"
"2026-04-21 04:00:00","2.2225847004e+08","3.9012819760e+06"
"2026-04-21 04:30:00","1.7100003139e+08","3.1235833305e+06"
"2026-04-21 05:00:00","1.5179584101e+08","2.4045496518e+06"
"2026-04-21 05:30:00","1.2121034655e+08","1.8505789294e+06"
"2026-04-21 06:00:00","1.1200935893e+08","1.4878231971e+06"
"2026-04-21 06:30:00","1.1532626544e+08","1.9073273420e+06"
"2026-04-21 07:00:00","1.4157265435e+08","1.9992665893e+06"
"2026-04-21 07:30:00","1.4353129541e+08","1.9658560620e+06"
"2026-04-21 08:00:00","2.4746256147e+08","2.7312965766e+06"
"2026-04-21 08:30:00","2.0938752882e+08","2.7009239261e+06"
"2026-04-21 09:00:00","2.3829815454e+08","3.0696089199e+06"
"2026-04-21 09:30:00","2.0138475492e+08","2.4652485058e+06"
"2026-04-21 10:00:00","1.8441348929e+08","2.3439563108e+06"
"2026-04-21 10:30:00","2.1945907800e+08","2.7409506965e+06"
"2026-04-21 11:00:00","2.4637050116e+08","3.1274329542e+06"
"2026-04-21 11:30:00","2.4303338890e+08","3.3001263914e+06"
"2026-04-21 12:00:00","3.0920631410e+08","4.2836443906e+06"
"2026-04-21 12:30:00","3.3136604672e+08","4.5846719110e+06"
"2026-04-21 13:00:00","3.5008581165e+08","5.0824845473e+06"
"2026-04-21 13:30:00","4.0378000588e+08","5.2490878861e+06"
"2026-04-21 14:00:00","4.9064334695e+08","5.8451560278e+06"
"2026-04-21 14:30:00","5.5463145738e+08","7.2279853173e+06"
"2026-04-21 15:00:00","7.2614521967e+08","9.1493901228e+06"
"2026-04-21 15:30:00","9.1107578059e+08","1.1751357204e+07"
"2026-04-21 16:00:00","1.3067485252e+09","1.6816272577e+07"
"2026-04-21 16:30:00","1.3042598999e+09","1.6914997836e+07"
"2026-04-21 17:00:00","1.2003281224e+09","1.5382724134e+07"
"2026-04-21 17:30:00","1.1447651908e+09","1.4827734253e+07"
"2026-04-21 18:00:00","1.1959745877e+09","1.5640173784e+07"
"2026-04-21 18:30:00","1.0650183168e+09","1.3375284979e+07"
"2026-04-21 19:00:00","1.0803236757e+09","1.2967610645e+07"
"2026-04-21 19:30:00","1.0017033682e+09","1.2559818098e+07"
"2026-04-21 20:00:00","1.0001344755e+09","1.2737565054e+07"
"2026-04-21 20:30:00","1.0613078442e+09","1.3520659248e+07"
"2026-04-21 21:00:00","1.2289547702e+09","1.5567800159e+07"
"2026-04-21 21:30:00","1.4849994286e+09","1.7771045168e+07"
"2026-04-21 22:00:00","1.8410367311e+09","2.2431676121e+07"
"2026-04-21 22:30:00","2.1895179587e+09","2.7282343920e+07"
"2026-04-21 23:00:00","2.5087710671e+09","3.1175695359e+07"
"2026-04-21 23:30:00","2.3068403784e+09","2.8542065005e+07"
"2026-04-22 00:00:00","2.0262850972e+09","2.6308192678e+07"
"2026-04-22 00:30:00","1.5427754889e+09","1.9283879293e+07"
"2026-04-22 01:00:00","1.1210108796e+09","1.4213728924e+07"
"2026-04-22 01:30:00","8.7894919076e+08","1.0586008534e+07"
"2026-04-22 02:00:00","6.3799940261e+08","8.3066960517e+06"
"2026-04-22 02:30:00","4.4578061521e+08","6.2811998618e+06"
"2026-04-22 03:00:00","3.6914650273e+08","5.2865636806e+06"
"2026-04-22 03:30:00","3.0747925340e+08","4.5745726166e+06"
"2026-04-22 04:00:00","2.4978961533e+08","3.6077138106e+06"
"2026-04-22 04:30:00","1.8949049682e+08","2.6165487799e+06"
"2026-04-22 05:00:00","1.5368538050e+08","2.1709374763e+06"
"2026-04-22 05:30:00","1.3613113219e+08","2.1229337851e+06"
"2026-04-22 06:00:00","1.3694861063e+08","1.9568943838e+06"
"2026-04-22 06:30:00","1.5676776166e+08","2.0557424215e+06"
