"Title:","'ALCORT_R3_Huawei_Trunk5 - Lyntia Trafico Agregado [LAG 20G]'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-03-27 17:00:00"
"End Date:","2026-03-27 17:00:00"
"Step:","7200"
"Total Rows:","373"
"Graph ID:","303"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-03-27 17:00:00","1.1029304591e+09","9.0511806346e+09"
"2026-03-27 19:00:00","1.1315982361e+09","7.7180138916e+09"
"2026-03-27 21:00:00","1.1102282649e+09","7.9783984676e+09"
"2026-03-27 23:00:00","1.2258108329e+09","1.0841052858e+10"
"2026-03-28 01:00:00","1.0441434168e+09","1.0048550244e+10"
"2026-03-28 03:00:00","9.6923194399e+08","4.9472518373e+09"
"2026-03-28 05:00:00","9.4016896521e+08","2.3969218357e+09"
"2026-03-28 07:00:00","9.9211012626e+08","1.7060268377e+09"
"2026-03-28 09:00:00","7.7491622645e+08","3.3977422622e+09"
"2026-03-28 11:00:00","1.0100248604e+09","6.3927844384e+09"
"2026-03-28 13:00:00","1.0714333371e+09","6.8042251422e+09"
"2026-03-28 15:00:00","9.7439785037e+08","7.7601388581e+09"
"2026-03-28 17:00:00","1.1415326465e+09","9.1880308066e+09"
"2026-03-28 19:00:00","1.1693233262e+09","8.4297027586e+09"
"2026-03-28 21:00:00","1.2420935455e+09","8.2442538099e+09"
"2026-03-28 23:00:00","1.3032764550e+09","1.1758491155e+10"
"2026-03-29 01:00:00","1.3049822326e+09","1.0094801561e+10"
"2026-03-29 04:00:00","1.2515759819e+09","5.0770529175e+09"
"2026-03-29 06:00:00","8.1817189607e+08","2.4955518229e+09"
"2026-03-29 08:00:00","7.6099991669e+08","2.1108456340e+09"
"2026-03-29 10:00:00","8.0802664645e+08","3.4665125338e+09"
"2026-03-29 12:00:00","1.0912608711e+09","6.3740615824e+09"
"2026-03-29 14:00:00","1.1562618823e+09","7.2230481167e+09"
"2026-03-29 16:00:00","1.1519351958e+09","7.8696887504e+09"
"2026-03-29 18:00:00","1.1980566902e+09","8.7960747767e+09"
"2026-03-29 20:00:00","1.1507338333e+09","8.5399373455e+09"
"2026-03-29 22:00:00","1.3080366028e+09","1.1206963879e+10"
"2026-03-30 00:00:00","1.3116392518e+09","1.4379984942e+10"
"2026-03-30 02:00:00","9.7835423588e+08","8.4165440253e+09"
"2026-03-30 04:00:00","7.9921526178e+08","3.4799386924e+09"
"2026-03-30 06:00:00","6.3382068886e+08","1.6344678561e+09"
"2026-03-30 08:00:00","6.2873158246e+08","1.8108109314e+09"
"2026-03-30 10:00:00","7.5673100402e+08","3.7740369622e+09"
"2026-03-30 12:00:00","1.0924627802e+09","5.5159152683e+09"
"2026-03-30 14:00:00","1.3229479059e+09","6.1815673006e+09"
"2026-03-30 16:00:00","1.2095346300e+09","7.9952242312e+09"
"2026-03-30 18:00:00","1.1766435170e+09","8.7722059949e+09"
"2026-03-30 20:00:00","1.1154774090e+09","7.4314781512e+09"
"2026-03-30 22:00:00","1.2406061937e+09","8.3550332500e+09"
"2026-03-31 00:00:00","1.4705194948e+09","1.2685554454e+10"
"2026-03-31 02:00:00","1.1751170891e+09","8.2106938473e+09"
"2026-03-31 04:00:00","1.2221499478e+09","3.3691692299e+09"
"2026-03-31 06:00:00","7.9582399765e+08","1.8033893259e+09"
"2026-03-31 08:00:00","8.0891032852e+08","2.0281161092e+09"
"2026-03-31 10:00:00","9.6325009836e+08","3.4614471119e+09"
"2026-03-31 12:00:00","1.0695433775e+09","5.5383115651e+09"
"2026-03-31 14:00:00","1.0900017792e+09","7.1174890311e+09"
"2026-03-31 16:00:00","1.0809908962e+09","8.8292995822e+09"
