"Title:","'ALCORT_R3_Huawei_Trunk5 - Lyntia Trafico Agregado [LAG 20G]'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-04-20 18:00:00"
"End Date:","2026-04-20 18:00:00"
"Step:","1800"
"Total Rows:","337"
"Graph ID:","303"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-04-20 18:00:00","1.3082444889e+09","7.6939105428e+09"
"2026-04-20 18:30:00","1.3549855660e+09","7.9426759719e+09"
"2026-04-20 19:00:00","1.3634298426e+09","7.3993231950e+09"
"2026-04-20 19:30:00","1.2389604526e+09","7.8754559345e+09"
"2026-04-20 20:00:00","1.2131994755e+09","7.7285492992e+09"
"2026-04-20 20:30:00","1.2244719486e+09","7.3929621443e+09"
"2026-04-20 21:00:00","1.2144780770e+09","8.2955582444e+09"
"2026-04-20 21:30:00","1.1575054242e+09","1.0257501784e+10"
"2026-04-20 22:00:00","1.2494361586e+09","1.0797358034e+10"
"2026-04-20 22:30:00","1.2159092210e+09","1.1728804122e+10"
"2026-04-20 23:00:00","1.3344145032e+09","1.2798818050e+10"
"2026-04-20 23:30:00","1.1982502854e+09","1.2026925202e+10"
"2026-04-21 00:00:00","1.1734498502e+09","1.1159037686e+10"
"2026-04-21 00:30:00","9.7091883521e+08","9.2179088208e+09"
"2026-04-21 01:00:00","8.5227224650e+08","7.1105314951e+09"
"2026-04-21 01:30:00","8.1592770500e+08","5.2180997969e+09"
"2026-04-21 02:00:00","7.5242740607e+08","4.0976205844e+09"
"2026-04-21 02:30:00","9.3264153052e+08","3.7271480698e+09"
"2026-04-21 03:00:00","1.2163510414e+09","2.5704660457e+09"
"2026-04-21 03:30:00","6.7049646032e+08","2.2647361172e+09"
"2026-04-21 04:00:00","5.9282204346e+08","2.0006912287e+09"
"2026-04-21 04:30:00","5.6474184244e+08","1.7350652789e+09"
"2026-04-21 05:00:00","5.8072560617e+08","1.6018244028e+09"
"2026-04-21 05:30:00","5.6362761593e+08","1.5512742264e+09"
"2026-04-21 06:00:00","6.1315858266e+08","1.4852129022e+09"
"2026-04-21 06:30:00","5.7573350561e+08","1.7145805117e+09"
"2026-04-21 07:00:00","5.9703490919e+08","1.9367530806e+09"
"2026-04-21 07:30:00","6.9790677688e+08","2.6395928264e+09"
"2026-04-21 08:00:00","6.9726046471e+08","3.0204244143e+09"
"2026-04-21 08:30:00","7.2570916039e+08","3.4952228978e+09"
"2026-04-21 09:00:00","7.2687506915e+08","3.3675678683e+09"
"2026-04-21 09:30:00","8.6318886972e+08","3.2550102613e+09"
"2026-04-21 10:00:00","7.9167061076e+08","3.4416188753e+09"
"2026-04-21 10:30:00","8.8917448645e+08","3.6312161423e+09"
"2026-04-21 11:00:00","9.3819138715e+08","3.9308987761e+09"
"2026-04-21 11:30:00","1.0040481629e+09","4.0327099949e+09"
"2026-04-21 12:00:00","8.7622225910e+08","4.0391289698e+09"
"2026-04-21 12:30:00","9.3774224196e+08","4.3596970212e+09"
"2026-04-21 13:00:00","9.5496107807e+08","4.5711734275e+09"
"2026-04-21 13:30:00","1.1122471286e+09","4.5704973720e+09"
"2026-04-21 14:00:00","9.0898306594e+08","4.6289967848e+09"
"2026-04-21 14:30:00","1.2003714038e+09","5.4210840852e+09"
"2026-04-21 15:00:00","1.0402577512e+09","6.9478907304e+09"
"2026-04-21 15:30:00","1.1900961275e+09","8.2988034785e+09"
"2026-04-21 16:00:00","1.2105128001e+09","9.5802437245e+09"
"2026-04-21 16:30:00","1.0731939874e+09","9.3133795612e+09"
"2026-04-21 17:00:00","1.0874059530e+09","9.1131767601e+09"
"2026-04-21 17:30:00","1.0970475034e+09","8.8270749657e+09"
"2026-04-21 18:00:00","1.0853089112e+09","8.6235951136e+09"
"2026-04-21 18:30:00","1.0993018793e+09","7.6610406485e+09"
"2026-04-21 19:00:00","1.0526541466e+09","7.0973209445e+09"
"2026-04-21 19:30:00","1.2104545677e+09","7.6841008346e+09"
"2026-04-21 20:00:00","1.1037102914e+09","8.0453392219e+09"
"2026-04-21 20:30:00","1.2240753759e+09","9.4909277776e+09"
"2026-04-21 21:00:00","1.2852729464e+09","1.0134208347e+10"
"2026-04-21 21:30:00","1.3211702892e+09","1.1899027304e+10"
"2026-04-21 22:00:00","1.6970867646e+09","1.4760212288e+10"
"2026-04-21 22:30:00","1.8504677884e+09","1.5655901454e+10"
"2026-04-21 23:00:00","1.7700312693e+09","1.6277495295e+10"
"2026-04-21 23:30:00","1.6823547758e+09","1.5000107556e+10"
"2026-04-22 00:00:00","1.2404185633e+09","1.2207649744e+10"
"2026-04-22 00:30:00","1.0595785812e+09","8.8897219868e+09"
"2026-04-22 01:00:00","9.6330441819e+08","6.7212362708e+09"
"2026-04-22 01:30:00","8.7832744924e+08","5.2881040635e+09"
"2026-04-22 02:00:00","9.1093021458e+08","4.0799120754e+09"
"2026-04-22 02:30:00","8.7349407950e+08","3.3673234607e+09"
"2026-04-22 03:00:00","1.0673572729e+09","2.8009062234e+09"
"2026-04-22 03:30:00","1.1249039983e+09","2.4454042137e+09"
"2026-04-22 04:00:00","8.3536055910e+08","1.9082286789e+09"
"2026-04-22 04:30:00","6.2248024799e+08","1.6544315355e+09"
"2026-04-22 05:00:00","5.8174933977e+08","1.4212969790e+09"
"2026-04-22 05:30:00","5.6138294985e+08","1.3676658952e+09"
"2026-04-22 06:00:00","6.2616143234e+08","1.4001247832e+09"
"2026-04-22 06:30:00","5.7458658713e+08","1.6630271559e+09"
"2026-04-22 07:00:00","6.1180819417e+08","2.0574819592e+09"
"2026-04-22 07:30:00","5.8334108788e+08","2.8205072328e+09"
"2026-04-22 08:00:00","6.1193686231e+08","3.2674038638e+09"
"2026-04-22 08:30:00","6.8222882561e+08","3.7343951952e+09"
"2026-04-22 09:00:00","6.7373284313e+08","3.5505029696e+09"
"2026-04-22 09:30:00","7.7845579885e+08","3.5284539714e+09"
"2026-04-22 10:00:00","6.9597415008e+08","3.4667686075e+09"
"2026-04-22 10:30:00","7.4241783858e+08","3.5461032134e+09"
"2026-04-22 11:00:00","7.6185590258e+08","3.5845613282e+09"
"2026-04-22 11:30:00","8.2821342092e+08","3.6191832734e+09"
"2026-04-22 12:00:00","8.0722673108e+08","3.5694018853e+09"
"2026-04-22 12:30:00","9.1349215714e+08","3.9529682642e+09"
"2026-04-22 13:00:00","8.5224949798e+08","4.6818825236e+09"
"2026-04-22 13:30:00","9.9582078238e+08","5.5224160920e+09"
"2026-04-22 14:00:00","9.3588756255e+08","4.7848760193e+09"
"2026-04-22 14:30:00","9.9173564440e+08","5.9044738230e+09"
"2026-04-22 15:00:00","1.0671117842e+09","7.8987697799e+09"
"2026-04-22 15:30:00","1.1181896481e+09","8.7903968728e+09"
"2026-04-22 16:00:00","1.0680966853e+09","9.5904205584e+09"
"2026-04-22 16:30:00","1.1138398662e+09","9.8161672889e+09"
