"Title:","'ALCORT_R3_Huawei_Trunk5.401 - Lyntia CEGA Traffic'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-03-27 17:00:00"
"End Date:","2026-03-27 17:00:00"
"Step:","7200"
"Total Rows:","373"
"Graph ID:","304"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-03-27 17:00:00","2.2368904717e+06","1.6780289099e+07"
"2026-03-27 19:00:00","1.5265868677e+06","1.0841080096e+07"
"2026-03-27 21:00:00","1.9535286749e+06","1.4480035519e+07"
"2026-03-27 23:00:00","2.4357613329e+06","2.7517886386e+07"
"2026-03-28 01:00:00","6.1820411662e+06","2.7539337150e+07"
"2026-03-28 03:00:00","1.7979197897e+06","6.4590175182e+06"
"2026-03-28 05:00:00","1.8938598088e+06","8.0047878475e+06"
"2026-03-28 07:00:00","8.3536287143e+06","7.8003315018e+06"
"2026-03-28 09:00:00","1.2784837903e+07","1.6415676107e+07"
"2026-03-28 11:00:00","1.8980143549e+07","1.5317395061e+07"
"2026-03-28 13:00:00","1.3088654761e+07","2.8345533665e+07"
"2026-03-28 15:00:00","4.2337602475e+06","1.0526944477e+07"
"2026-03-28 17:00:00","6.8058900188e+06","3.5008229859e+07"
"2026-03-28 19:00:00","6.7841283707e+06","4.4859735847e+07"
"2026-03-28 21:00:00","7.3649985769e+06","2.0914893835e+07"
"2026-03-28 23:00:00","6.0037470095e+06","3.4894824292e+07"
"2026-03-29 01:00:00","6.2529829178e+06","2.1585236087e+07"
"2026-03-29 04:00:00","3.6636190764e+06","1.8823525872e+06"
"2026-03-29 06:00:00","3.3269789954e+06","3.4085495348e+06"
"2026-03-29 08:00:00","2.6008840047e+06","4.7784851588e+06"
"2026-03-29 10:00:00","2.6227354642e+06","5.8971083794e+06"
"2026-03-29 12:00:00","3.0441426527e+06","7.0853229305e+06"
"2026-03-29 14:00:00","3.4570140961e+06","1.0035202409e+07"
"2026-03-29 16:00:00","4.0703480289e+06","1.5170471345e+07"
"2026-03-29 18:00:00","3.5701883591e+06","2.0126400738e+07"
"2026-03-29 20:00:00","4.2116732716e+06","2.4895942674e+07"
"2026-03-29 22:00:00","4.1453773674e+06","1.9085203666e+07"
"2026-03-30 00:00:00","3.7307311654e+06","2.1112261102e+07"
"2026-03-30 02:00:00","3.2503711887e+06","1.8447921778e+07"
"2026-03-30 04:00:00","2.3127097929e+06","2.2716379506e+06"
"2026-03-30 06:00:00","2.6401385591e+06","1.3788817640e+06"
"2026-03-30 08:00:00","2.4461512877e+06","2.3133960810e+06"
"2026-03-30 10:00:00","2.9119221927e+06","1.0409334467e+07"
"2026-03-30 12:00:00","3.3800587993e+06","8.4049569848e+06"
"2026-03-30 14:00:00","3.0389347418e+06","1.7037429923e+07"
"2026-03-30 16:00:00","2.4437358718e+06","1.6895381672e+07"
"2026-03-30 18:00:00","1.7670578077e+06","8.5878183959e+06"
"2026-03-30 20:00:00","1.3433562356e+06","1.1541510260e+07"
"2026-03-30 22:00:00","1.3570751796e+06","1.3013748728e+07"
"2026-03-31 00:00:00","2.0485848765e+06","1.9217832639e+07"
"2026-03-31 02:00:00","1.5860969691e+06","1.4231250594e+07"
"2026-03-31 04:00:00","7.3677158011e+05","1.5060149606e+06"
"2026-03-31 06:00:00","8.1182583007e+05","1.5656659631e+06"
"2026-03-31 08:00:00","8.5824613322e+05","3.7870630348e+06"
"2026-03-31 10:00:00","1.3300967420e+06","6.6081887728e+06"
"2026-03-31 12:00:00","2.2360526757e+06","2.0422130454e+07"
"2026-03-31 14:00:00","1.8163201125e+06","1.3875913033e+07"
"2026-03-31 16:00:00","2.8439975504e+06","1.8879807009e+07"
"2026-03-31 18:00:00","2.4591773870e+06","1.5867848835e+07"
"2026-03-31 20:00:00","1.0843440591e+06","1.5563488440e+07"
"2026-03-31 22:00:00","1.7519427319e+06","2.2091767560e+07"
"2026-04-01 00:00:00","1.8932385508e+06","2.3851096291e+07"
"2026-04-01 02:00:00","1.3112226158e+06","1.2851898544e+07"
"2026-04-01 04:00:00","8.1728948202e+05","3.2360424635e+06"
"2026-04-01 06:00:00","1.7548054988e+06","2.3310254957e+06"
"2026-04-01 08:00:00","7.7205922282e+05","3.6818124423e+06"
"2026-04-01 10:00:00","1.0505223798e+06","8.5276458351e+06"
"2026-04-01 12:00:00","1.6380176991e+06","1.4861289927e+07"
"2026-04-01 14:00:00","2.7512591953e+06","1.9578696130e+07"
"2026-04-01 16:00:00","1.4451189702e+06","2.2983070174e+07"
"2026-04-01 18:00:00","1.6463652595e+06","2.4853064334e+07"
"2026-04-01 20:00:00","1.3739909919e+06","2.5858989218e+07"
"2026-04-01 22:00:00","2.6997194815e+06","1.5210478854e+07"
"2026-04-02 00:00:00","2.2163076271e+06","1.5496164763e+07"
"2026-04-02 02:00:00","1.6803830963e+06","1.0424892341e+07"
"2026-04-02 04:00:00","1.9195415574e+06","3.9442963963e+06"
"2026-04-02 06:00:00","6.1461412009e+06","4.6909035090e+06"
"2026-04-02 08:00:00","2.6566086323e+06","5.9546873750e+06"
"2026-04-02 10:00:00","2.3986617240e+06","8.2561181683e+06"
"2026-04-02 12:00:00","2.8180073023e+06","8.3535816127e+06"
"2026-04-02 14:00:00","2.0803455111e+06","1.5065434655e+07"
"2026-04-02 16:00:00","2.8703139766e+06","1.9499411371e+07"
"2026-04-02 18:00:00","4.1713779203e+06","2.3919289746e+07"
"2026-04-02 20:00:00","2.5587879979e+06","7.4553215266e+06"
"2026-04-02 22:00:00","2.2788137114e+06","1.1503142323e+07"
"2026-04-03 00:00:00","2.8329033877e+06","3.1160283662e+07"
