"Title:","'ALCORT_R3_Huawei_Trunk5.401 - Lyntia CEGA Traffic'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-04-20 18:00:00"
"End Date:","2026-04-20 18:00:00"
"Step:","1800"
"Total Rows:","337"
"Graph ID:","304"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-04-20 18:00:00","1.2244190658e+06","8.6995181949e+06"
"2026-04-20 18:30:00","1.0736268988e+06","8.4160391677e+06"
"2026-04-20 19:00:00","1.2357181469e+06","7.0391264016e+06"
"2026-04-20 19:30:00","2.1620513580e+06","9.6804582593e+06"
"2026-04-20 20:00:00","1.4624148069e+06","7.7637346185e+06"
"2026-04-20 20:30:00","1.2478507481e+06","7.8015535404e+06"
"2026-04-20 21:00:00","2.9119628453e+06","1.2522379490e+07"
"2026-04-20 21:30:00","3.3890151571e+06","1.2864446095e+07"
"2026-04-20 22:00:00","2.3986877064e+06","1.9250421574e+07"
"2026-04-20 22:30:00","1.4394683220e+06","1.3900155667e+07"
"2026-04-20 23:00:00","1.8315446757e+06","1.6862240508e+07"
"2026-04-20 23:30:00","1.3865043743e+06","1.8049469327e+07"
"2026-04-21 00:00:00","1.1716728954e+06","1.4366086386e+07"
"2026-04-21 00:30:00","1.0977282499e+06","8.0997803049e+06"
"2026-04-21 01:00:00","8.9429332582e+05","3.2354542597e+06"
"2026-04-21 01:30:00","7.3621644969e+05","2.2732800077e+06"
"2026-04-21 02:00:00","6.4091694514e+05","1.3547585199e+06"
"2026-04-21 02:30:00","6.7435966847e+05","2.9267797108e+06"
"2026-04-21 03:00:00","7.4453832221e+05","2.3559592684e+06"
"2026-04-21 03:30:00","7.5813359490e+05","1.2869772619e+06"
"2026-04-21 04:00:00","1.0322750552e+06","2.1690025830e+06"
"2026-04-21 04:30:00","3.6762814083e+06","4.4858082072e+06"
"2026-04-21 05:00:00","7.2071177111e+05","1.7855257660e+06"
"2026-04-21 05:30:00","7.1702753521e+05","2.1957062406e+06"
"2026-04-21 06:00:00","6.6404840360e+05","8.1594411084e+05"
"2026-04-21 06:30:00","6.8851720341e+05","1.6128607005e+06"
"2026-04-21 07:00:00","6.9338220880e+05","1.7991271918e+06"
"2026-04-21 07:30:00","8.0121291312e+05","3.9894674666e+06"
"2026-04-21 08:00:00","9.1665144993e+05","6.0899507070e+06"
"2026-04-21 08:30:00","7.5121694104e+05","3.7931943004e+06"
"2026-04-21 09:00:00","3.7199761944e+06","6.4869414997e+06"
"2026-04-21 09:30:00","8.8306133391e+05","5.0355708833e+06"
"2026-04-21 10:00:00","1.7649446377e+06","2.3964508205e+06"
"2026-04-21 10:30:00","1.2898977276e+06","8.0257058256e+06"
"2026-04-21 11:00:00","2.6056643490e+06","1.9888434519e+07"
"2026-04-21 11:30:00","3.3272453544e+06","6.4652975486e+06"
"2026-04-21 12:00:00","1.9996023240e+06","1.1770179391e+07"
"2026-04-21 12:30:00","2.5639738706e+06","2.9824109581e+07"
"2026-04-21 13:00:00","1.5997035045e+06","1.2910366392e+07"
"2026-04-21 13:30:00","3.4930340749e+06","2.1776652548e+07"
"2026-04-21 14:00:00","3.9035353043e+06","2.3616693023e+07"
"2026-04-21 14:30:00","1.6638584497e+06","8.1518842992e+06"
"2026-04-21 15:00:00","1.5567268943e+06","4.5410495347e+07"
"2026-04-21 15:30:00","4.3593348806e+06","3.0813219623e+07"
"2026-04-21 16:00:00","1.8355413963e+06","2.2807564371e+07"
"2026-04-21 16:30:00","1.5812897666e+06","2.5150396802e+07"
"2026-04-21 17:00:00","1.1803460024e+06","1.1886634031e+07"
"2026-04-21 17:30:00","1.3008257642e+06","6.6841775901e+06"
"2026-04-21 18:00:00","9.9891754114e+05","7.0078161320e+06"
"2026-04-21 18:30:00","1.0531791281e+06","1.8265078108e+07"
"2026-04-21 19:00:00","1.0160384721e+06","1.1354672007e+07"
"2026-04-21 19:30:00","8.0681631795e+05","6.7109971290e+06"
"2026-04-21 20:00:00","9.4613432545e+05","6.4728110268e+06"
"2026-04-21 20:30:00","3.8219726336e+06","1.0759204249e+07"
"2026-04-21 21:00:00","1.1469414973e+06","1.1564778705e+07"
"2026-04-21 21:30:00","1.5126212291e+06","1.3012115589e+07"
"2026-04-21 22:00:00","3.7873578835e+06","2.2031544763e+07"
"2026-04-21 22:30:00","7.6567334136e+06","3.0996167086e+07"
"2026-04-21 23:00:00","8.9311177589e+06","3.2427539615e+07"
"2026-04-21 23:30:00","3.8791032929e+06","2.7960859018e+07"
"2026-04-22 00:00:00","1.7143915374e+06","2.5922888664e+07"
"2026-04-22 00:30:00","9.6346915978e+05","1.4443307774e+07"
"2026-04-22 01:00:00","7.3295416330e+05","5.7361849535e+06"
"2026-04-22 01:30:00","9.1445939126e+05","2.5091094725e+06"
"2026-04-22 02:00:00","7.7943653864e+05","1.3963357266e+06"
"2026-04-22 02:30:00","3.5895444167e+06","5.9248778379e+06"
"2026-04-22 03:00:00","8.8709184892e+05","2.0120413836e+06"
"2026-04-22 03:30:00","8.8580943567e+05","2.3319832523e+06"
"2026-04-22 04:00:00","1.1543306823e+06","2.0346880210e+06"
"2026-04-22 04:30:00","7.9799242563e+05","1.0742990745e+06"
"2026-04-22 05:00:00","6.7565939459e+05","1.1105747961e+06"
"2026-04-22 05:30:00","7.7690257778e+05","2.1306034756e+06"
"2026-04-22 06:00:00","7.3567703900e+05","3.4359017453e+06"
"2026-04-22 06:30:00","8.3978268292e+05","5.7142986495e+06"
"2026-04-22 07:00:00","8.0284592511e+05","2.9252479919e+06"
"2026-04-22 07:30:00","8.9116176770e+05","5.8478712277e+06"
"2026-04-22 08:00:00","4.3970503004e+06","8.3339361204e+06"
"2026-04-22 08:30:00","9.6529298119e+05","6.3739180396e+06"
"2026-04-22 09:00:00","1.2066348567e+06","7.6585126626e+06"
"2026-04-22 09:30:00","1.2558712012e+06","9.7582599965e+06"
"2026-04-22 10:00:00","1.4889799441e+06","9.4543205876e+06"
"2026-04-22 10:30:00","1.2431663524e+06","1.3703630422e+07"
"2026-04-22 11:00:00","1.0733110847e+06","1.2190989968e+07"
"2026-04-22 11:30:00","8.4615398511e+05","7.7090603514e+06"
"2026-04-22 12:00:00","1.2778025610e+06","1.3238202027e+07"
"2026-04-22 12:30:00","1.1005309011e+06","9.1018788194e+06"
"2026-04-22 13:00:00","1.1431319787e+06","7.7741714837e+06"
"2026-04-22 13:30:00","4.0410720619e+06","1.5203318632e+07"
"2026-04-22 14:00:00","1.5727630617e+06","1.4490325776e+07"
"2026-04-22 14:30:00","1.2944545820e+06","1.0731084137e+07"
"2026-04-22 15:00:00","1.2273093179e+06","1.2159741757e+07"
