"Title:","'ALCORT_R3_Huawei_Trunk5.402 - Trafico 10G Lyntia EAM'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-03-27 17:00:00"
"End Date:","2026-03-27 17:00:00"
"Step:","7200"
"Total Rows:","373"
"Graph ID:","305"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-03-27 17:00:00","1.8327649908e+08","3.0928253650e+09"
"2026-03-27 19:00:00","1.7492066433e+08","2.7350592692e+09"
"2026-03-27 21:00:00","2.0812535991e+08","3.2834459663e+09"
"2026-03-27 23:00:00","2.2298317237e+08","4.4275696591e+09"
"2026-03-28 01:00:00","1.8842914178e+08","4.1856418350e+09"
"2026-03-28 03:00:00","1.2013224887e+08","2.0732794525e+09"
"2026-03-28 05:00:00","1.9754597553e+08","9.2847565049e+08"
"2026-03-28 07:00:00","3.0868123699e+08","6.1565156023e+08"
"2026-03-28 09:00:00","8.3417389076e+07","1.3775206846e+09"
"2026-03-28 11:00:00","1.5235614963e+08","2.4839034018e+09"
"2026-03-28 13:00:00","1.9729196186e+08","2.6412923993e+09"
"2026-03-28 15:00:00","1.5685882835e+08","3.1698002943e+09"
"2026-03-28 17:00:00","2.3948594060e+08","3.4027373015e+09"
"2026-03-28 19:00:00","1.6305961881e+08","3.3347096168e+09"
"2026-03-28 21:00:00","2.0147227000e+08","3.4608099671e+09"
"2026-03-28 23:00:00","2.0771905874e+08","4.8432241967e+09"
"2026-03-29 01:00:00","1.9746017379e+08","4.2631055008e+09"
"2026-03-29 04:00:00","2.9443947681e+08","2.0393594198e+09"
"2026-03-29 06:00:00","8.9258642576e+07","8.9568910716e+08"
"2026-03-29 08:00:00","6.4010178305e+07","7.3226181402e+08"
"2026-03-29 10:00:00","8.0520705022e+07","1.4170323381e+09"
"2026-03-29 12:00:00","1.0662568151e+08","2.5003959737e+09"
"2026-03-29 14:00:00","1.3748632635e+08","2.4731367303e+09"
"2026-03-29 16:00:00","1.5437079048e+08","2.9648138753e+09"
"2026-03-29 18:00:00","1.4715670851e+08","3.4825373864e+09"
"2026-03-29 20:00:00","1.5792837928e+08","3.2560889626e+09"
"2026-03-29 22:00:00","2.3233345629e+08","4.7484947766e+09"
"2026-03-30 00:00:00","2.5877259175e+08","6.2878283042e+09"
"2026-03-30 02:00:00","1.9599501750e+08","3.9004582506e+09"
"2026-03-30 04:00:00","1.5187648639e+08","1.5289332281e+09"
"2026-03-30 06:00:00","6.7660887484e+07","6.3898603528e+08"
"2026-03-30 08:00:00","6.2807338947e+07","6.6270369714e+08"
"2026-03-30 10:00:00","1.0200102896e+08","1.5605597354e+09"
"2026-03-30 12:00:00","1.4588610306e+08","2.2948383538e+09"
"2026-03-30 14:00:00","1.5958282324e+08","2.4106108190e+09"
"2026-03-30 16:00:00","1.7813439182e+08","2.9217025594e+09"
"2026-03-30 18:00:00","1.9666067685e+08","3.2344942569e+09"
"2026-03-30 20:00:00","1.6991954944e+08","2.8082044147e+09"
"2026-03-30 22:00:00","2.2797502430e+08","3.4959698915e+09"
"2026-03-31 00:00:00","2.4271189672e+08","5.3576076256e+09"
"2026-03-31 02:00:00","1.7989728258e+08","3.6224869760e+09"
"2026-03-31 04:00:00","4.4754184804e+08","1.3203617375e+09"
"2026-03-31 06:00:00","6.4179056551e+07","7.2306660308e+08"
"2026-03-31 08:00:00","7.4521079860e+07","8.3811241825e+08"
"2026-03-31 10:00:00","9.9000675145e+07","1.5075139381e+09"
"2026-03-31 12:00:00","1.6308592004e+08","2.2944819586e+09"
"2026-03-31 14:00:00","1.8098664226e+08","2.8698080233e+09"
"2026-03-31 16:00:00","2.1004445404e+08","3.4164880286e+09"
"2026-03-31 18:00:00","1.7485590100e+08","3.1970783068e+09"
"2026-03-31 20:00:00","1.5024888527e+08","2.6810359697e+09"
"2026-03-31 22:00:00","2.0167312024e+08","3.1158290597e+09"
"2026-04-01 00:00:00","2.5029601504e+08","5.1596714912e+09"
"2026-04-01 02:00:00","1.7300620661e+08","3.5938183314e+09"
"2026-04-01 04:00:00","4.4693905253e+08","1.4509140468e+09"
"2026-04-01 06:00:00","8.0045569243e+07","6.8699164100e+08"
"2026-04-01 08:00:00","6.2374186817e+07","8.0763745786e+08"
"2026-04-01 10:00:00","1.0047199317e+08","1.5800913841e+09"
"2026-04-01 12:00:00","1.7016771760e+08","2.5622292281e+09"
"2026-04-01 14:00:00","1.5345092154e+08","3.0296238835e+09"
"2026-04-01 16:00:00","2.2646699398e+08","3.2773890860e+09"
