"Title:","'ALCORT_R3_Huawei_Trunk5.402 - Trafico 10G Lyntia EAM'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-04-20 18:00:00"
"End Date:","2026-04-20 18:00:00"
"Step:","1800"
"Total Rows:","337"
"Graph ID:","305"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-04-20 18:00:00","1.6172149930e+08","2.6677628259e+09"
"2026-04-20 18:30:00","1.9638093172e+08","2.8885725166e+09"
"2026-04-20 19:00:00","1.7653762493e+08","3.0259312295e+09"
"2026-04-20 19:30:00","2.0644541319e+08","3.2351483250e+09"
"2026-04-20 20:00:00","1.8992250931e+08","3.5777150959e+09"
"2026-04-20 20:30:00","2.1379292892e+08","3.2614290057e+09"
"2026-04-20 21:00:00","2.4035293177e+08","3.5445265608e+09"
"2026-04-20 21:30:00","2.2714502341e+08","3.8875324177e+09"
"2026-04-20 22:00:00","2.5147415589e+08","4.1109119613e+09"
"2026-04-20 22:30:00","2.2187161457e+08","4.6788862626e+09"
"2026-04-20 23:00:00","2.1963721917e+08","5.0977043164e+09"
"2026-04-20 23:30:00","2.3493700335e+08","4.8026624993e+09"
"2026-04-21 00:00:00","2.1228032947e+08","4.5058143627e+09"
"2026-04-21 00:30:00","1.5806549201e+08","3.7931365856e+09"
"2026-04-21 01:00:00","1.1744432825e+08","2.8305770443e+09"
"2026-04-21 01:30:00","1.0087967370e+08","2.2060277581e+09"
"2026-04-21 02:00:00","9.6349187404e+07","1.7704979927e+09"
"2026-04-21 02:30:00","3.1294417638e+08","1.4096005791e+09"
"2026-04-21 03:00:00","6.6321706639e+08","1.1286199483e+09"
"2026-04-21 03:30:00","1.0378489203e+08","1.0411952883e+09"
"2026-04-21 04:00:00","8.2252843673e+07","9.0825046683e+08"
"2026-04-21 04:30:00","7.0333350059e+07","7.9414011310e+08"
"2026-04-21 05:00:00","6.3220151529e+07","7.4819478720e+08"
"2026-04-21 05:30:00","5.9739044847e+07","7.1677619448e+08"
"2026-04-21 06:00:00","6.1704441801e+07","5.7523102719e+08"
"2026-04-21 06:30:00","5.4804676019e+07","6.3067268112e+08"
"2026-04-21 07:00:00","6.8490975064e+07","7.5596486409e+08"
"2026-04-21 07:30:00","8.5888297808e+07","1.1336146167e+09"
"2026-04-21 08:00:00","8.4597601951e+07","1.3858127288e+09"
"2026-04-21 08:30:00","1.0530310302e+08","1.5312662092e+09"
"2026-04-21 09:00:00","1.1445049658e+08","1.5118156634e+09"
"2026-04-21 09:30:00","1.2851121303e+08","1.5219376885e+09"
"2026-04-21 10:00:00","1.2169320048e+08","1.5413192155e+09"
"2026-04-21 10:30:00","1.1126172094e+08","1.6506948132e+09"
"2026-04-21 11:00:00","1.1371239840e+08","1.6388351396e+09"
"2026-04-21 11:30:00","1.5351362562e+08","1.6644744771e+09"
"2026-04-21 12:00:00","1.1973241584e+08","1.6850691816e+09"
"2026-04-21 12:30:00","1.3614739549e+08","1.7995363314e+09"
"2026-04-21 13:00:00","1.3684838816e+08","1.6560722629e+09"
"2026-04-21 13:30:00","1.3405162069e+08","1.6570168010e+09"
"2026-04-21 14:00:00","1.2741333980e+08","1.8045114719e+09"
"2026-04-21 14:30:00","1.7646279398e+08","2.0029732902e+09"
"2026-04-21 15:00:00","2.1878437927e+08","2.5091876180e+09"
"2026-04-21 15:30:00","1.9566731700e+08","3.0095210326e+09"
"2026-04-21 16:00:00","2.3957504980e+08","3.4350913771e+09"
"2026-04-21 16:30:00","2.1958914162e+08","3.2200588137e+09"
"2026-04-21 17:00:00","1.5712926770e+08","3.0748766593e+09"
"2026-04-21 17:30:00","1.7734110320e+08","3.0074116112e+09"
"2026-04-21 18:00:00","1.8289441136e+08","3.2858015621e+09"
"2026-04-21 18:30:00","1.9652469237e+08","3.1381708057e+09"
"2026-04-21 19:00:00","1.7793455391e+08","2.8421060149e+09"
"2026-04-21 19:30:00","3.7160801580e+08","2.9833525374e+09"
"2026-04-21 20:00:00","2.9953233764e+08","3.1078692969e+09"
"2026-04-21 20:30:00","2.8116782982e+08","4.0471898868e+09"
"2026-04-21 21:00:00","2.8454704762e+08","3.9311160020e+09"
"2026-04-21 21:30:00","2.9077910722e+08","4.7985559449e+09"
"2026-04-21 22:00:00","3.8794801583e+08","5.7713862683e+09"
"2026-04-21 22:30:00","3.4875457275e+08","6.2572284503e+09"
"2026-04-21 23:00:00","3.4330044895e+08","6.6817348061e+09"
"2026-04-21 23:30:00","3.1962322985e+08","5.5550282308e+09"
"2026-04-22 00:00:00","2.7704773655e+08","4.6666815103e+09"
"2026-04-22 00:30:00","1.6440034588e+08","3.6516346201e+09"
"2026-04-22 01:00:00","1.6664890934e+08","2.6406564364e+09"
"2026-04-22 01:30:00","1.3159572827e+08","2.1749274200e+09"
"2026-04-22 02:00:00","1.3871878011e+08","1.6925576282e+09"
"2026-04-22 02:30:00","2.6619686263e+08","1.4033026254e+09"
"2026-04-22 03:00:00","4.4182802995e+08","1.2623986482e+09"
"2026-04-22 03:30:00","5.7339195949e+08","1.1094031282e+09"
"2026-04-22 04:00:00","2.6504232178e+08","8.0388497189e+08"
"2026-04-22 04:30:00","9.1226851756e+07","6.3818539379e+08"
"2026-04-22 05:00:00","8.0295509302e+07","5.2413422464e+08"
"2026-04-22 05:30:00","7.9307081328e+07","5.2969256292e+08"
"2026-04-22 06:00:00","8.4954916956e+07","5.0833277168e+08"
"2026-04-22 06:30:00","7.9257552349e+07","6.3417943927e+08"
"2026-04-22 07:00:00","7.8826262278e+07","8.2630357278e+08"
"2026-04-22 07:30:00","9.7403771819e+07","1.2661223486e+09"
"2026-04-22 08:00:00","1.0899403099e+08","1.4401984276e+09"
"2026-04-22 08:30:00","1.1671349654e+08","1.5123051493e+09"
"2026-04-22 09:00:00","1.2031421395e+08","1.4564785588e+09"
"2026-04-22 09:30:00","1.1860729197e+08","1.5339179185e+09"
"2026-04-22 10:00:00","1.1972164725e+08","1.5569884327e+09"
"2026-04-22 10:30:00","1.2794923100e+08","1.4205956728e+09"
"2026-04-22 11:00:00","1.4251156720e+08","1.4476871894e+09"
"2026-04-22 11:30:00","1.6305943721e+08","1.3895900190e+09"
"2026-04-22 12:00:00","1.4799181989e+08","1.3934395265e+09"
"2026-04-22 12:30:00","2.3831558741e+08","1.5461965385e+09"
"2026-04-22 13:00:00","1.4618742500e+08","1.7108087057e+09"
"2026-04-22 13:30:00","1.7490636897e+08","1.7193383991e+09"
"2026-04-22 14:00:00","1.9482741805e+08","2.0169526648e+09"
"2026-04-22 14:30:00","1.9478473065e+08","2.1312922676e+09"
"2026-04-22 15:00:00","1.4865044028e+08","2.7894875949e+09"
"2026-04-22 15:30:00","1.6867001675e+08","2.9752773507e+09"
"2026-04-22 16:00:00","1.8379223432e+08","3.3020636392e+09"
"2026-04-22 16:30:00","2.3709853768e+08","3.2771544229e+09"
"2026-04-22 17:00:00","2.0389062097e+08","3.0634821369e+09"
"2026-04-22 17:30:00","1.7888791193e+08","2.9858995256e+09"
"2026-04-22 18:00:00","2.1223003923e+08","2.8473461622e+09"
"2026-04-22 18:30:00","2.1926588188e+08","2.5487673211e+09"
"2026-04-22 19:00:00","2.0455149855e+08","2.7589260152e+09"
"2026-04-22 19:30:00","2.1639365396e+08","2.7587545237e+09"
"2026-04-22 20:00:00","2.4079954185e+08","3.0622981625e+09"
"2026-04-22 20:30:00","2.2555934972e+08","3.2051317131e+09"
"2026-04-22 21:00:00","2.8013554709e+08","3.4250537553e+09"
"2026-04-22 21:30:00","2.5604621624e+08","4.0133889311e+09"
"2026-04-22 22:00:00","3.4571624722e+08","4.9831720326e+09"
"2026-04-22 22:30:00","3.7881950855e+08","5.2940006997e+09"
"2026-04-22 23:00:00","3.6260767031e+08","5.5625826563e+09"
"2026-04-22 23:30:00","3.6008938086e+08","5.7818412333e+09"
"2026-04-23 00:00:00","3.1922454233e+08","5.2663318986e+09"
"2026-04-23 00:30:00","1.8923954675e+08","3.9518893796e+09"
"2026-04-23 01:00:00","1.6570834316e+08","2.9457681267e+09"
"2026-04-23 01:30:00","1.5691411789e+08","2.5212825430e+09"
"2026-04-23 02:00:00","1.1982690630e+08","1.8475646759e+09"
"2026-04-23 02:30:00","3.7527414635e+08","1.6578386424e+09"
"2026-04-23 03:00:00","6.5438616827e+08","1.2718854405e+09"
"2026-04-23 03:30:00","4.6432878722e+08","1.1264163581e+09"
"2026-04-23 04:00:00","1.0150156788e+08","8.2825778733e+08"
"2026-04-23 04:30:00","1.0713707435e+08","6.6191836579e+08"
"2026-04-23 05:00:00","6.7881021506e+07","6.1544070774e+08"
"2026-04-23 05:30:00","8.1550370976e+07","5.1009189143e+08"
"2026-04-23 06:00:00","8.5814822084e+07","5.3908807087e+08"
"2026-04-23 06:30:00","7.3398880398e+07","6.1017134416e+08"
"2026-04-23 07:00:00","7.5332049637e+07","8.9443788540e+08"
"2026-04-23 07:30:00","8.2535302390e+07","1.1935445241e+09"
"2026-04-23 08:00:00","8.0431188715e+07","1.4190818324e+09"
"2026-04-23 08:30:00","9.6839091965e+07","1.4488380828e+09"
"2026-04-23 09:00:00","9.9619583933e+07","1.3849568888e+09"
"2026-04-23 09:30:00","1.3778829046e+08","1.3409203078e+09"
"2026-04-23 10:00:00","1.3557748711e+08","1.3390085312e+09"
"2026-04-23 10:30:00","1.2073167790e+08","1.4216159247e+09"
"2026-04-23 11:00:00","1.2531337293e+08","1.3104985537e+09"
"2026-04-23 11:30:00","1.5017561645e+08","1.5885058414e+09"
"2026-04-23 12:00:00","1.3602059880e+08","1.5209378483e+09"
"2026-04-23 12:30:00","1.3070232251e+08","1.4958616001e+09"
"2026-04-23 13:00:00","1.3695413628e+08","1.3874195495e+09"
"2026-04-23 13:30:00","1.7642772791e+08","1.7869138325e+09"
"2026-04-23 14:00:00","1.6552547312e+08","1.7008221469e+09"
"2026-04-23 14:30:00","1.3787993934e+08","1.7408207733e+09"
"2026-04-23 15:00:00","1.4697763285e+08","2.8400607796e+09"
"2026-04-23 15:30:00","1.5008724985e+08","3.1718005559e+09"
"2026-04-23 16:00:00","1.9152518203e+08","3.2080075903e+09"
"2026-04-23 16:30:00","2.3965083088e+08","3.4160728480e+09"
"2026-04-23 17:00:00","2.6153504683e+08","2.9751145383e+09"
"2026-04-23 17:30:00","2.8934452203e+08","3.0657124317e+09"
"2026-04-23 18:00:00","2.8503647259e+08","3.0619378258e+09"
"2026-04-23 18:30:00","1.7337101036e+08","2.8984959623e+09"
"2026-04-23 19:00:00","1.7872789531e+08","2.9683855235e+09"
"2026-04-23 19:30:00","1.8147834093e+08","2.9331982132e+09"
"2026-04-23 20:00:00","1.9062275951e+08","3.5786265849e+09"
"2026-04-23 20:30:00","1.7550531266e+08","3.4647543645e+09"
"2026-04-23 21:00:00","2.0012426512e+08","3.6557990523e+09"
"2026-04-23 21:30:00","2.0897658006e+08","3.5376783141e+09"
"2026-04-23 22:00:00","2.4224166816e+08","4.3095303998e+09"
"2026-04-23 22:30:00","2.1532091559e+08","4.8543933788e+09"
"2026-04-23 23:00:00","2.3601948123e+08","5.0579001815e+09"
"2026-04-23 23:30:00","2.2413243429e+08","5.0628640249e+09"
"2026-04-24 00:00:00","2.0599417945e+08","4.4133163697e+09"
"2026-04-24 00:30:00","1.7764265350e+08","3.6874677103e+09"
"2026-04-24 01:00:00","1.3183167313e+08","2.9695906996e+09"
"2026-04-24 01:30:00","1.3203430097e+08","2.3587251499e+09"
"2026-04-24 02:00:00","1.2774098527e+08","1.8168602377e+09"
"2026-04-24 02:30:00","2.7538775186e+08","1.5784044203e+09"
"2026-04-24 03:00:00","4.7049940804e+08","1.5829027824e+09"
"2026-04-24 03:30:00","5.7009281671e+08","9.9036491754e+08"
"2026-04-24 04:00:00","2.7103329749e+08","8.5408905881e+08"
"2026-04-24 04:30:00","8.5512785038e+07","7.9288142638e+08"
"2026-04-24 05:00:00","9.3177596307e+07","6.7900249707e+08"
"2026-04-24 05:30:00","7.2920564462e+07","6.6769542572e+08"
"2026-04-24 06:00:00","6.2824852947e+07","6.1127654562e+08"
"2026-04-24 06:30:00","6.2431411483e+07","7.2017760464e+08"
"2026-04-24 07:00:00","6.2574183646e+07","9.3449089441e+08"
"2026-04-24 07:30:00","7.7524133608e+07","1.3852432490e+09"
"2026-04-24 08:00:00","7.7258893005e+07","1.4468332645e+09"
"2026-04-24 08:30:00","1.0241626569e+08","1.6562486323e+09"
"2026-04-24 09:00:00","1.1132268823e+08","1.7477918160e+09"
"2026-04-24 09:30:00","1.4856344764e+08","1.6592204862e+09"
"2026-04-24 10:00:00","1.7082639777e+08","1.5325106766e+09"
"2026-04-24 10:30:00","3.3161011652e+08","1.4771861823e+09"
"2026-04-24 11:00:00","1.7798600379e+08","1.4090473613e+09"
"2026-04-24 11:30:00","2.6103498854e+08","1.4169144079e+09"
"2026-04-24 12:00:00","2.6375490364e+08","1.5679957892e+09"
"2026-04-24 12:30:00","2.3160892099e+08","1.7439777469e+09"
"2026-04-24 13:00:00","1.7564835778e+08","1.7004243908e+09"
"2026-04-24 13:30:00","2.0416622417e+08","1.8590744880e+09"
"2026-04-24 14:00:00","2.4131654882e+08","1.7293177846e+09"
"2026-04-24 14:30:00","2.4584846416e+08","2.3028396703e+09"
"2026-04-24 15:00:00","1.8783466559e+08","2.8035504694e+09"
"2026-04-24 15:30:00","1.6935774621e+08","3.3652601872e+09"
"2026-04-24 16:00:00","1.7974415334e+08","3.9553932579e+09"
"2026-04-24 16:30:00","2.0330263061e+08","3.3708370648e+09"
"2026-04-24 17:00:00","1.9185321933e+08","3.5795536864e+09"
"2026-04-24 17:30:00","2.7142341933e+08","3.3752719884e+09"
"2026-04-24 18:00:00","2.4380814396e+08","3.0588768406e+09"
"2026-04-24 18:30:00","2.0216284175e+08","2.9642909372e+09"
"2026-04-24 19:00:00","1.7643290870e+08","2.9551401668e+09"
"2026-04-24 19:30:00","1.7482909722e+08","3.0916690343e+09"
"2026-04-24 20:00:00","1.7459987106e+08","3.3049362516e+09"
"2026-04-24 20:30:00","1.6057545674e+08","3.2291939333e+09"
"2026-04-24 21:00:00","2.0079523989e+08","3.3136093725e+09"
