"Title:","'ALCORT_R3_Huawei_Trunk5.403 - Trafico 10G Lyntia Medina Garvey'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-04-20 18:00:00"
"End Date:","2026-04-20 18:00:00"
"Step:","1800"
"Total Rows:","337"
"Graph ID:","306"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-04-20 18:00:00","6.0454006065e+08","2.8257660499e+09"
"2026-04-20 18:30:00","6.4162117258e+08","2.8884659031e+09"
"2026-04-20 19:00:00","6.6077460920e+08","2.6010062999e+09"
"2026-04-20 19:30:00","7.4082142628e+08","2.6990335381e+09"
"2026-04-20 20:00:00","7.3492513625e+08","2.1824132119e+09"
"2026-04-20 20:30:00","7.3968002693e+08","2.1235946155e+09"
"2026-04-20 21:00:00","6.4806145651e+08","2.4684005158e+09"
"2026-04-20 21:30:00","6.0885013959e+08","3.0322373394e+09"
"2026-04-20 22:00:00","6.6308780078e+08","3.7966572010e+09"
"2026-04-20 22:30:00","6.5426057681e+08","3.6735867471e+09"
"2026-04-20 23:00:00","7.3783454505e+08","4.1574363689e+09"
"2026-04-20 23:30:00","6.2694522303e+08","3.9461901396e+09"
"2026-04-21 00:00:00","6.4986103846e+08","3.5085574740e+09"
"2026-04-21 00:30:00","4.7251489675e+08","2.7871474743e+09"
"2026-04-21 01:00:00","4.8533461923e+08","2.4553318392e+09"
"2026-04-21 01:30:00","4.7715092681e+08","1.6407294219e+09"
"2026-04-21 02:00:00","4.6055791939e+08","1.1861457399e+09"
"2026-04-21 02:30:00","4.2238338421e+08","1.4841693065e+09"
"2026-04-21 03:00:00","4.0456862709e+08","7.8634028060e+08"
"2026-04-21 03:30:00","4.2629679746e+08","7.0844529991e+08"
"2026-04-21 04:00:00","3.4999757698e+08","6.4991175187e+08"
"2026-04-21 04:30:00","3.5535171087e+08","5.5420810896e+08"
"2026-04-21 05:00:00","3.7088600909e+08","4.9455878097e+08"
"2026-04-21 05:30:00","3.7693825947e+08","4.3815043179e+08"
"2026-04-21 06:00:00","3.8892698777e+08","4.4587284305e+08"
"2026-04-21 06:30:00","3.5912188384e+08","5.5443434567e+08"
"2026-04-21 07:00:00","3.5220639346e+08","6.1932982680e+08"
"2026-04-21 07:30:00","3.8516443241e+08","6.8739101163e+08"
"2026-04-21 08:00:00","4.2544517822e+08","8.2411062582e+08"
"2026-04-21 08:30:00","4.3468449604e+08","1.0634635807e+09"
