"Title:","'ALCORT_R3_Huawei_Trunk5.404 - Trafico 10G Lyntia CECSA'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-04-20 18:00:00"
"End Date:","2026-04-20 18:00:00"
"Step:","1800"
"Total Rows:","337"
"Graph ID:","307"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-04-20 18:00:00","5.4075593416e+08","2.1915528723e+09"
"2026-04-20 18:30:00","5.1589686926e+08","2.1572063327e+09"
"2026-04-20 19:00:00","5.2489467573e+08","1.7656184562e+09"
"2026-04-20 19:30:00","2.8951681022e+08","1.9313110843e+09"
"2026-04-20 20:00:00","2.8689257827e+08","1.9610609851e+09"
"2026-04-20 20:30:00","2.6974617850e+08","1.9996739424e+09"
"2026-04-20 21:00:00","3.2316228887e+08","2.2703040808e+09"
"2026-04-20 21:30:00","3.1811610772e+08","3.3247689609e+09"
"2026-04-20 22:00:00","3.3248034939e+08","2.8706870834e+09"
"2026-04-20 22:30:00","3.3835111557e+08","3.3625476902e+09"
"2026-04-20 23:00:00","3.7513574615e+08","3.5271952906e+09"
"2026-04-20 23:30:00","3.3493805587e+08","3.2594795111e+09"
"2026-04-21 00:00:00","3.1014046676e+08","3.1304921096e+09"
"2026-04-21 00:30:00","3.3923141771e+08","2.6291094621e+09"
"2026-04-21 01:00:00","2.4860063268e+08","1.8214079559e+09"
"2026-04-21 01:30:00","2.3715825150e+08","1.3689423405e+09"
"2026-04-21 02:00:00","1.9488202109e+08","1.1395839452e+09"
"2026-04-21 02:30:00","1.9666091152e+08","8.3046161502e+08"
"2026-04-21 03:00:00","1.4780410992e+08","6.5309052370e+08"
"2026-04-21 03:30:00","1.3964716879e+08","5.1380010570e+08"
"2026-04-21 04:00:00","1.5953611596e+08","4.4034167559e+08"
"2026-04-21 04:30:00","1.3538213767e+08","3.8225530382e+08"
"2026-04-21 05:00:00","1.4589849696e+08","3.5725923934e+08"
"2026-04-21 05:30:00","1.2623668703e+08","3.9415153446e+08"
"2026-04-21 06:00:00","1.6186594465e+08","4.6331370884e+08"
"2026-04-21 06:30:00","1.6111778447e+08","5.2786707908e+08"
"2026-04-21 07:00:00","1.7564027024e+08","5.5964427566e+08"
"2026-04-21 07:30:00","2.2605064443e+08","8.1462535272e+08"
"2026-04-21 08:00:00","1.8630329729e+08","8.0452304090e+08"
"2026-04-21 08:30:00","1.8497399375e+08","8.9670240353e+08"
"2026-04-21 09:00:00","1.6928396458e+08","8.2211238834e+08"
"2026-04-21 09:30:00","1.6589878297e+08","7.5647835555e+08"
"2026-04-21 10:00:00","1.7824672694e+08","8.8715949421e+08"
"2026-04-21 10:30:00","2.0540509085e+08","9.0494511637e+08"
"2026-04-21 11:00:00","1.9753490758e+08","1.0761372064e+09"
"2026-04-21 11:30:00","1.9957014935e+08","1.1791189398e+09"
"2026-04-21 12:00:00","2.7478866105e+08","1.1987407282e+09"
"2026-04-21 12:30:00","2.2634250655e+08","1.3012368737e+09"
"2026-04-21 13:00:00","2.2375190058e+08","1.2895306440e+09"
"2026-04-21 13:30:00","2.2798415860e+08","1.3260253183e+09"
"2026-04-21 14:00:00","2.1223611022e+08","1.3317577272e+09"
"2026-04-21 14:30:00","2.5183618202e+08","1.5581516545e+09"
"2026-04-21 15:00:00","2.2082739051e+08","2.0795117111e+09"
"2026-04-21 15:30:00","2.3296045639e+08","2.3856717255e+09"
"2026-04-21 16:00:00","2.6240603788e+08","2.7358661390e+09"
"2026-04-21 16:30:00","2.5879235274e+08","2.9022354200e+09"
"2026-04-21 17:00:00","3.0369581165e+08","3.0673331590e+09"
"2026-04-21 17:30:00","2.8914323822e+08","2.8160416297e+09"
"2026-04-21 18:00:00","3.1153573243e+08","2.5633881003e+09"
"2026-04-21 18:30:00","2.7473081318e+08","2.0058089014e+09"
"2026-04-21 19:00:00","2.6271894220e+08","1.9686397175e+09"
"2026-04-21 19:30:00","2.6169197839e+08","1.9894766107e+09"
"2026-04-21 20:00:00","2.9903352936e+08","2.3546642243e+09"
"2026-04-21 20:30:00","2.8279426076e+08","2.3591648380e+09"
"2026-04-21 21:00:00","2.8622243416e+08","2.6857790097e+09"
"2026-04-21 21:30:00","3.0528194997e+08","3.1047390448e+09"
"2026-04-21 22:00:00","4.7218729458e+08","4.4066887249e+09"
"2026-04-21 22:30:00","5.5808386429e+08","4.2494731944e+09"
"2026-04-21 23:00:00","5.4006436756e+08","4.4338720791e+09"
"2026-04-21 23:30:00","4.3741829612e+08","4.3936704268e+09"
"2026-04-22 00:00:00","3.2455312993e+08","3.3290646231e+09"
"2026-04-22 00:30:00","2.6727879407e+08","2.3269381438e+09"
"2026-04-22 01:00:00","2.4649471227e+08","1.8672906166e+09"
"2026-04-22 01:30:00","2.0406462071e+08","1.3492318857e+09"
"2026-04-22 02:00:00","2.0727837723e+08","1.1440035661e+09"
"2026-04-22 02:30:00","1.7740941453e+08","9.0515109158e+08"
"2026-04-22 03:00:00","1.9652492331e+08","6.5995279693e+08"
"2026-04-22 03:30:00","1.4939329439e+08","5.5720034320e+08"
"2026-04-22 04:00:00","1.5841952633e+08","4.8727121914e+08"
"2026-04-22 04:30:00","1.3342867464e+08","4.1222746914e+08"
