"Title:","'ALCORT_R3_Huawei_Trunk6 - Trafico 10G META-Facebook'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-03-27 17:00:00"
"End Date:","2026-03-27 17:00:00"
"Step:","7200"
"Total Rows:","373"
"Graph ID:","263"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-03-27 17:00:00","4.1299315744e+09","2.3724545747e+08"
"2026-03-27 19:00:00","3.4734328909e+09","2.2134799742e+08"
"2026-03-27 21:00:00","3.8888250203e+09","2.3565527071e+08"
"2026-03-27 23:00:00","5.4115235093e+09","3.0575820946e+08"
"2026-03-28 01:00:00","4.4203600902e+09","2.2334881354e+08"
"2026-03-28 03:00:00","1.5824856534e+09","8.4561320129e+07"
"2026-03-28 05:00:00","5.7200494104e+08","3.9204699852e+07"
"2026-03-28 07:00:00","7.5469608303e+08","3.4666968381e+07"
"2026-03-28 09:00:00","2.5396616201e+09","9.7050774066e+07"
"2026-03-28 11:00:00","3.3799483492e+09","1.7283429997e+08"
"2026-03-28 13:00:00","2.8894446954e+09","1.9873210900e+08"
"2026-03-28 15:00:00","3.2520183562e+09","2.0158456252e+08"
"2026-03-28 17:00:00","4.2050211674e+09","2.3433018591e+08"
"2026-03-28 19:00:00","3.7774069016e+09","2.2101869951e+08"
"2026-03-28 21:00:00","4.0109236601e+09","2.4226720361e+08"
"2026-03-28 23:00:00","5.2738300844e+09","2.9098270615e+08"
"2026-03-29 01:00:00","4.5483159045e+09","2.1653629377e+08"
"2026-03-29 04:00:00","1.9610246744e+09","9.0918598176e+07"
"2026-03-29 06:00:00","8.1328622431e+08","3.6418588516e+07"
"2026-03-29 08:00:00","1.0063186363e+09","4.1952513102e+07"
"2026-03-29 10:00:00","2.8511548548e+09","1.0808833297e+08"
"2026-03-29 12:00:00","4.3263736060e+09","1.9798281224e+08"
"2026-03-29 14:00:00","4.1591629864e+09","2.4591955786e+08"
"2026-03-29 16:00:00","4.3582274286e+09","2.3915798667e+08"
"2026-03-29 18:00:00","4.5226981938e+09","2.3615704150e+08"
"2026-03-29 20:00:00","4.3981239671e+09","2.3489691680e+08"
"2026-03-29 22:00:00","5.2251068784e+09","2.9431813468e+08"
"2026-03-30 00:00:00","6.7796828695e+09","3.2970526082e+08"
"2026-03-30 02:00:00","3.8882960741e+09","1.9052139909e+08"
"2026-03-30 04:00:00","1.0908953851e+09","6.3881537719e+07"
"2026-03-30 06:00:00","5.6653022795e+08","2.7503481567e+07"
"2026-03-30 08:00:00","1.2933320032e+09","5.0139440830e+07"
"2026-03-30 10:00:00","2.5463530908e+09","1.0349316373e+08"
"2026-03-30 12:00:00","2.8920247484e+09","1.5764123466e+08"
"2026-03-30 14:00:00","2.9972241222e+09","1.9915885810e+08"
"2026-03-30 16:00:00","4.2298171400e+09","2.3755609380e+08"
"2026-03-30 18:00:00","4.1643286106e+09","2.2111568098e+08"
"2026-03-30 20:00:00","3.5235971263e+09","2.0861767070e+08"
"2026-03-30 22:00:00","4.6347545110e+09","2.7924429426e+08"
"2026-03-31 00:00:00","6.7707750304e+09","3.7657183195e+08"
"2026-03-31 02:00:00","3.4598931012e+09","1.9448207026e+08"
"2026-03-31 04:00:00","8.4384218749e+08","5.3279208688e+07"
"2026-03-31 06:00:00","5.2643831158e+08","3.0231639302e+07"
"2026-03-31 08:00:00","1.2983668481e+09","4.9871894112e+07"
"2026-03-31 10:00:00","2.4807664278e+09","1.0842145299e+08"
"2026-03-31 12:00:00","2.7679541974e+09","1.6404663353e+08"
"2026-03-31 14:00:00","2.8814833086e+09","1.9084403864e+08"
"2026-03-31 16:00:00","4.1860155103e+09","2.4174271813e+08"
"2026-03-31 18:00:00","4.1168777891e+09","2.3246982844e+08"
"2026-03-31 20:00:00","3.5872474140e+09","2.2281763277e+08"
"2026-03-31 22:00:00","4.4102008286e+09","2.7859385040e+08"
"2026-04-01 00:00:00","6.4150389129e+09","3.5939574988e+08"
"2026-04-01 02:00:00","3.5133273453e+09","1.9959087473e+08"
"2026-04-01 04:00:00","1.0983877812e+09","6.4588802901e+07"
"2026-04-01 06:00:00","5.2772674579e+08","2.8748886676e+07"
"2026-04-01 08:00:00","1.2772311637e+09","5.0427118926e+07"
"2026-04-01 10:00:00","2.5107450138e+09","1.0716101830e+08"
"2026-04-01 12:00:00","2.6934162468e+09","1.5664247012e+08"
"2026-04-01 14:00:00","2.8240501106e+09","1.9615130854e+08"
"2026-04-01 16:00:00","3.9017379128e+09","2.2714729596e+08"
"2026-04-01 18:00:00","4.0988079843e+09","2.3706125287e+08"
"2026-04-01 20:00:00","3.5378215352e+09","2.1682669036e+08"
"2026-04-01 22:00:00","3.8761924928e+09","2.3324085800e+08"
"2026-04-02 00:00:00","5.4412792368e+09","2.8863173661e+08"
"2026-04-02 02:00:00","3.5065152494e+09","1.8383780165e+08"
"2026-04-02 04:00:00","1.5062201139e+09","8.0922188507e+07"
"2026-04-02 06:00:00","6.2009541481e+08","3.2511991735e+07"
"2026-04-02 08:00:00","1.0657509053e+09","4.2113129402e+07"
"2026-04-02 10:00:00","2.6824435873e+09","1.0502019533e+08"
"2026-04-02 12:00:00","3.3521606194e+09","1.7703762474e+08"
"2026-04-02 14:00:00","3.3049952305e+09","2.0342181429e+08"
"2026-04-02 16:00:00","4.1963282865e+09","2.3103430159e+08"
"2026-04-02 18:00:00","4.4784505638e+09","2.4423224084e+08"
"2026-04-02 20:00:00","4.1125474148e+09","2.3357924012e+08"
"2026-04-02 22:00:00","3.9337150156e+09","2.3280402401e+08"
"2026-04-03 00:00:00","4.9117347598e+09","2.5668237784e+08"
"2026-04-03 02:00:00","3.6679337737e+09","1.8582450632e+08"
"2026-04-03 04:00:00","1.7747808954e+09","8.8347153265e+07"
"2026-04-03 06:00:00","8.5399911345e+08","4.3506177524e+07"
"2026-04-03 08:00:00","1.0773479575e+09","4.5420510785e+07"
"2026-04-03 10:00:00","2.9216820224e+09","1.1955159131e+08"
"2026-04-03 12:00:00","4.1483286436e+09","2.0837683883e+08"
"2026-04-03 14:00:00","3.9003733225e+09","2.2745905313e+08"
"2026-04-03 16:00:00","4.3579013821e+09","2.2489870715e+08"
"2026-04-03 18:00:00","4.6664085557e+09","2.5548575311e+08"
"2026-04-03 20:00:00","4.4541516208e+09","2.3550321473e+08"
"2026-04-03 22:00:00","4.3567537143e+09","2.3975387701e+08"
"2026-04-04 00:00:00","5.3276036357e+09","2.6671522268e+08"
"2026-04-04 02:00:00","4.4473031947e+09","2.0186292196e+08"
"2026-04-04 04:00:00","1.9384091922e+09","9.5446621169e+07"
"2026-04-04 06:00:00","8.6741719989e+08","3.9896283361e+07"
"2026-04-04 08:00:00","1.0943584801e+09","4.1633107791e+07"
"2026-04-04 10:00:00","2.9891916214e+09","1.1002104298e+08"
"2026-04-04 12:00:00","3.8640554209e+09","1.7891057637e+08"
"2026-04-04 14:00:00","3.6839412594e+09","2.0870317529e+08"
"2026-04-04 16:00:00","4.3360300172e+09","2.2218074643e+08"
"2026-04-04 18:00:00","4.5714187752e+09","2.3111478302e+08"
"2026-04-04 20:00:00","4.2486617581e+09","2.1551876649e+08"
"2026-04-04 22:00:00","4.4982668328e+09","2.4355069790e+08"
"2026-04-05 00:00:00","5.8618038259e+09","3.0048838394e+08"
"2026-04-05 02:00:00","4.3291294710e+09","2.0791919964e+08"
"2026-04-05 04:00:00","1.6030135625e+09","8.5073838019e+07"
"2026-04-05 06:00:00","6.9256533232e+08","3.6269619101e+07"
"2026-04-05 08:00:00","9.9310045941e+08","4.3700923618e+07"
"2026-04-05 10:00:00","3.0387428864e+09","1.1525732116e+08"
"2026-04-05 12:00:00","4.4192501125e+09","1.9903666788e+08"
"2026-04-05 14:00:00","3.9749608894e+09","2.1608773250e+08"
"2026-04-05 16:00:00","4.1710120937e+09","2.0402778511e+08"
"2026-04-05 18:00:00","4.8745636607e+09","2.3882852109e+08"
"2026-04-05 20:00:00","4.9068887799e+09","2.5997055190e+08"
"2026-04-05 22:00:00","5.8301095161e+09","3.2057921170e+08"
"2026-04-06 00:00:00","7.6219976029e+09","3.8104059798e+08"
"2026-04-06 02:00:00","3.9776393028e+09","1.9807449904e+08"
"2026-04-06 04:00:00","1.1457360644e+09","6.1397236864e+07"
"2026-04-06 06:00:00","6.3523008599e+08","3.1773056592e+07"
"2026-04-06 08:00:00","1.5340572706e+09","6.0398455140e+07"
"2026-04-06 10:00:00","2.9417478611e+09","1.1367368036e+08"
"2026-04-06 12:00:00","3.1488315188e+09","1.5765160622e+08"
"2026-04-06 14:00:00","2.9532856051e+09","1.7773202390e+08"
"2026-04-06 16:00:00","4.1086914916e+09","2.1383394457e+08"
"2026-04-06 18:00:00","4.3536582868e+09","2.3604541485e+08"
"2026-04-06 20:00:00","4.0735912359e+09","2.4196358209e+08"
"2026-04-06 22:00:00","5.9885835623e+09","3.7424794178e+08"
"2026-04-07 00:00:00","7.6128065633e+09","4.4377720234e+08"
"2026-04-07 02:00:00","2.9373126721e+09","1.5924604916e+08"
"2026-04-07 04:00:00","7.3945350505e+08","4.3525228310e+07"
"2026-04-07 06:00:00","4.7936846730e+08","2.4655832523e+07"
"2026-04-07 08:00:00","1.6882313778e+09","6.2700052010e+07"
"2026-04-07 10:00:00","2.4535960446e+09","1.0110011053e+08"
"2026-04-07 12:00:00","2.2797604805e+09","1.1945022309e+08"
"2026-04-07 14:00:00","2.5744885222e+09","1.5650580308e+08"
"2026-04-07 16:00:00","4.0116172385e+09","2.1203618725e+08"
"2026-04-07 18:00:00","4.0883696672e+09","2.1909750415e+08"
"2026-04-07 20:00:00","4.1608093738e+09","2.6308366761e+08"
"2026-04-07 22:00:00","5.6271988826e+09","3.7910068308e+08"
"2026-04-08 00:00:00","7.1552253243e+09","4.1049481109e+08"
"2026-04-08 02:00:00","2.7600383931e+09","1.4729896087e+08"
"2026-04-08 04:00:00","6.6171819834e+08","3.9675641558e+07"
"2026-04-08 06:00:00","4.7383548879e+08","2.4036060596e+07"
"2026-04-08 08:00:00","1.5878570109e+09","6.5771003657e+07"
"2026-04-08 10:00:00","2.2625278601e+09","9.9711901675e+07"
"2026-04-08 12:00:00","2.0856735474e+09","1.2303325787e+08"
"2026-04-08 14:00:00","2.2657121378e+09","1.4021371670e+08"
"2026-04-08 16:00:00","3.8480629787e+09","2.0254816292e+08"
"2026-04-08 18:00:00","3.8486666528e+09","2.1558049765e+08"
"2026-04-08 20:00:00","3.5905729196e+09","2.3113367617e+08"
"2026-04-08 22:00:00","4.9529348090e+09","3.2487958026e+08"
"2026-04-09 00:00:00","6.9823564900e+09","3.9528992841e+08"
"2026-04-09 02:00:00","2.7392308413e+09","1.5674202182e+08"
"2026-04-09 04:00:00","6.7391366842e+08","4.8540775000e+07"
"2026-04-09 06:00:00","4.3762978276e+08","2.6987822282e+07"
"2026-04-09 08:00:00","1.5645775738e+09","6.4353869238e+07"
"2026-04-09 10:00:00","2.2616231600e+09","9.9300929575e+07"
"2026-04-09 12:00:00","2.0518652907e+09","1.1577917098e+08"
"2026-04-09 14:00:00","2.2942229043e+09","1.4165425564e+08"
"2026-04-09 16:00:00","3.7657469275e+09","2.0109721708e+08"
"2026-04-09 18:00:00","3.7899506624e+09","2.0737981188e+08"
"2026-04-09 20:00:00","3.3673346052e+09","2.1543992848e+08"
"2026-04-09 22:00:00","4.8589189124e+09","3.3332740798e+08"
"2026-04-10 00:00:00","7.0199352335e+09","3.9123588249e+08"
"2026-04-10 02:00:00","2.8505429144e+09","1.5561360525e+08"
"2026-04-10 04:00:00","7.4411854670e+08","4.7005416203e+07"
"2026-04-10 06:00:00","6.0097103523e+08","3.2279244654e+07"
"2026-04-10 08:00:00","1.9570954466e+09","6.9596085338e+07"
"2026-04-10 10:00:00","2.5359305740e+09","1.0679392905e+08"
"2026-04-10 12:00:00","2.2098875989e+09","1.2252300584e+08"
"2026-04-10 14:00:00","2.3527772300e+09","1.4009786741e+08"
"2026-04-10 16:00:00","3.8960894667e+09","2.0123752354e+08"
"2026-04-10 18:00:00","4.1805087529e+09","2.2622604011e+08"
"2026-04-10 20:00:00","3.5082651316e+09","2.1466018582e+08"
"2026-04-10 22:00:00","4.1544466907e+09","2.5133979413e+08"
"2026-04-11 00:00:00","5.7258210136e+09","3.0575215458e+08"
"2026-04-11 02:00:00","3.5179002085e+09","1.7740609254e+08"
"2026-04-11 04:00:00","1.0600532700e+09","5.6306207797e+07"
"2026-04-11 06:00:00","5.9388246254e+08","3.0712876997e+07"
"2026-04-11 08:00:00","1.1536389589e+09","4.6402658916e+07"
"2026-04-11 10:00:00","3.0318700604e+09","1.1878682996e+08"
"2026-04-11 12:00:00","3.5615543512e+09","1.8409859052e+08"
"2026-04-11 14:00:00","3.4238601645e+09","2.0874397715e+08"
"2026-04-11 16:00:00","4.2670867131e+09","2.2764677316e+08"
"2026-04-11 18:00:00","4.4388907809e+09","2.4039386848e+08"
"2026-04-11 20:00:00","4.0666892028e+09","2.4144975171e+08"
