"Title:","'ALCORT_R3_Huawei_Trunk6 - Trafico 10G META-Facebook'"
"Vertical Label:","'bits per second'"
"Start Date:","2026-04-20 18:00:00"
"End Date:","2026-04-20 18:00:00"
"Step:","1800"
"Total Rows:","336"
"Graph ID:","263"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-04-20 18:00:00","3.9595408223e+09","2.1492643680e+08"
"2026-04-20 18:30:00","3.9008119267e+09","2.2929150074e+08"
"2026-04-20 19:00:00","3.7540509851e+09","2.5496140407e+08"
"2026-04-20 19:30:00","3.7367734460e+09","2.6058165593e+08"
"2026-04-20 20:00:00","3.8662296528e+09","2.6689110043e+08"
"2026-04-20 20:30:00","4.0513611246e+09","2.7368393783e+08"
"2026-04-20 21:00:00","4.6367063041e+09","3.1022689481e+08"
"2026-04-20 21:30:00","5.3137306800e+09","3.5236450428e+08"
"2026-04-20 22:00:00","6.5238524654e+09","3.8873890451e+08"
"2026-04-20 22:30:00","7.6209142198e+09","4.2864592827e+08"
"2026-04-20 23:00:00","8.1816913176e+09","4.5023859701e+08"
"2026-04-20 23:30:00","7.4906155921e+09","3.9872925542e+08"
"2026-04-21 00:00:00","6.1465553779e+09","3.1720415740e+08"
"2026-04-21 00:30:00","4.6619490837e+09","2.3314574981e+08"
"2026-04-21 01:00:00","2.9956961989e+09","1.5818484436e+08"
"2026-04-21 01:30:00","2.0028288464e+09","1.1016955915e+08"
"2026-04-21 02:00:00","1.3286706773e+09","7.5173109370e+07"
"2026-04-21 02:30:00","8.9061920458e+08","5.4905549588e+07"
"2026-04-21 03:00:00","6.1030993349e+08","4.0550582156e+07"
"2026-04-21 03:30:00","5.2608203092e+08","3.5553420193e+07"
"2026-04-21 04:00:00","4.8606165999e+08","3.2536125509e+07"
"2026-04-21 04:30:00","4.0973329851e+08","2.9117057972e+07"
"2026-04-21 05:00:00","4.5291465675e+08","3.8876491825e+07"
"2026-04-21 05:30:00","5.1833378706e+08","3.0347209420e+07"
"2026-04-21 06:00:00","5.6474608800e+08","2.9025930532e+07"
"2026-04-21 06:30:00","9.6121416849e+08","4.0045189501e+07"
"2026-04-21 07:00:00","1.4444136048e+09","5.3323019659e+07"
"2026-04-21 07:30:00","2.1136477284e+09","7.7878806860e+07"
"2026-04-21 08:00:00","2.5281146861e+09","9.6365814471e+07"
"2026-04-21 08:30:00","2.5216177208e+09","1.0468363461e+08"
"2026-04-21 09:00:00","2.4127916782e+09","1.0676867076e+08"
"2026-04-21 09:30:00","2.4332742091e+09","1.0949713157e+08"
"2026-04-21 10:00:00","2.4348093274e+09","1.1198592386e+08"
"2026-04-21 10:30:00","2.2950805805e+09","1.2296432137e+08"
"2026-04-21 11:00:00","2.1326356402e+09","1.2222138710e+08"
"2026-04-21 11:30:00","2.1179273228e+09","1.2131035595e+08"
"2026-04-21 12:00:00","2.0432352235e+09","1.2192355550e+08"
"2026-04-21 12:30:00","2.2151047056e+09","1.3309716296e+08"
"2026-04-21 13:00:00","2.4234199966e+09","1.4148156469e+08"
"2026-04-21 13:30:00","2.7057113675e+09","1.5367364371e+08"
"2026-04-21 14:00:00","2.9402648563e+09","1.7393008597e+08"
"2026-04-21 14:30:00","3.1807613836e+09","1.8567593469e+08"
"2026-04-21 15:00:00","4.0123703897e+09","2.0411646771e+08"
"2026-04-21 15:30:00","4.6114304770e+09","2.2971336682e+08"
"2026-04-21 16:00:00","5.1082265731e+09","2.4749353616e+08"
"2026-04-21 16:30:00","4.8610667393e+09","2.3447307536e+08"
"2026-04-21 17:00:00","4.4553377540e+09","2.2059043885e+08"
"2026-04-21 17:30:00","4.1489801345e+09","2.2164121214e+08"
"2026-04-21 18:00:00","4.0499701216e+09","2.2175795709e+08"
"2026-04-21 18:30:00","3.8516523340e+09","2.2676823186e+08"
"2026-04-21 19:00:00","3.7800590307e+09","2.2535805518e+08"
"2026-04-21 19:30:00","3.8842293376e+09","2.4936959354e+08"
"2026-04-21 20:00:00","3.9815949154e+09","2.6793717018e+08"
"2026-04-21 20:30:00","4.4673657610e+09","2.9390382678e+08"
"2026-04-21 21:00:00","5.0230353498e+09","3.2654664682e+08"
"2026-04-21 21:30:00","5.6755074667e+09","3.6798233896e+08"
"2026-04-21 22:00:00","6.6845936577e+09","4.0830714307e+08"
"2026-04-21 22:30:00","7.6865892924e+09","4.3892914665e+08"
"2026-04-21 23:00:00","7.9610477072e+09","4.3446463782e+08"
"2026-04-21 23:30:00","7.4695543105e+09","3.8295509930e+08"
"2026-04-22 00:00:00","6.2597898594e+09","3.0539218276e+08"
"2026-04-22 00:30:00","4.5592325438e+09","2.3297463323e+08"
"2026-04-22 01:00:00","2.8405906716e+09","1.5090646853e+08"
"2026-04-22 01:30:00","1.9801927929e+09","1.0011547594e+08"
"2026-04-22 02:00:00","1.2815432729e+09","7.4376262093e+07"
"2026-04-22 02:30:00","8.4789409590e+08","4.8029196930e+07"
"2026-04-22 03:00:00","6.3745446983e+08","4.0423319065e+07"
"2026-04-22 03:30:00","5.2201361314e+08","3.5709224986e+07"
"2026-04-22 04:00:00","4.1572774844e+08","3.0845246713e+07"
"2026-04-22 04:30:00","3.8418201031e+08","2.6818866484e+07"
"2026-04-22 05:00:00","4.4254424828e+08","2.7854040502e+07"
"2026-04-22 05:30:00","6.0168779927e+08","2.7475197166e+07"
