"Title:","'ALCORT_R3_Huawei_Trunk7 - Hurricane 20G Traffic '"
"Vertical Label:","'bits per second'"
"Start Date:","2026-03-27 17:00:00"
"End Date:","2026-03-27 17:00:00"
"Step:","7200"
"Total Rows:","373"
"Graph ID:","271"
"Host ID:","6"
""
"Date","Inbound","Outbound"
"2026-03-27 17:00:00","5.1279584797e+09","1.0167688294e+09"
"2026-03-27 19:00:00","5.0472930675e+09","1.1206932526e+09"
"2026-03-27 21:00:00","5.4639675886e+09","1.0287052313e+09"
"2026-03-27 23:00:00","9.4551803518e+09","1.1474548693e+09"
"2026-03-28 01:00:00","6.9331994337e+09","1.2936523066e+09"
"2026-03-28 03:00:00","3.3208517030e+09","9.0193803195e+08"
"2026-03-28 05:00:00","1.8877077939e+09","8.3442588354e+08"
"2026-03-28 07:00:00","1.4335500835e+09","9.3919537404e+08"
"2026-03-28 09:00:00","2.4385680659e+09","8.5153803139e+08"
"2026-03-28 11:00:00","3.8103337863e+09","8.5109357660e+08"
"2026-03-28 13:00:00","4.1237577668e+09","9.6131125007e+08"
"2026-03-28 15:00:00","4.5780133455e+09","1.0102843018e+09"
"2026-03-28 17:00:00","6.0422482339e+09","1.0807044016e+09"
"2026-03-28 19:00:00","6.0761772166e+09","1.1166699253e+09"
"2026-03-28 21:00:00","6.5452088077e+09","1.2382397889e+09"
"2026-03-28 23:00:00","9.8801659623e+09","1.1607675498e+09"
"2026-03-29 01:00:00","7.0703331647e+09","1.0976067600e+09"
"2026-03-29 04:00:00","3.5803394397e+09","9.7649355266e+08"
"2026-03-29 06:00:00","1.9229106911e+09","8.0120806549e+08"
"2026-03-29 08:00:00","1.6309564780e+09","6.8049179671e+08"
"2026-03-29 10:00:00","2.5763141935e+09","7.8627945661e+08"
"2026-03-29 12:00:00","4.6445916264e+09","9.3873685402e+08"
"2026-03-29 14:00:00","5.6027080366e+09","1.0373895474e+09"
"2026-03-29 16:00:00","6.0692939799e+09","1.1767276914e+09"
"2026-03-29 18:00:00","7.2400976130e+09","1.2053574970e+09"
"2026-03-29 20:00:00","7.4030167742e+09","1.1641418469e+09"
"2026-03-29 22:00:00","1.0168406805e+10","1.1790761092e+09"
"2026-03-30 00:00:00","1.1749092097e+10","1.1644133439e+09"
"2026-03-30 02:00:00","5.5848113983e+09","8.6318747401e+08"
"2026-03-30 04:00:00","2.4821118102e+09","5.5540199003e+08"
"2026-03-30 06:00:00","1.5472130411e+09","6.4654215398e+08"
"2026-03-30 08:00:00","1.5199406182e+09","5.0454979556e+08"
"2026-03-30 10:00:00","2.5488588173e+09","6.2400815024e+08"
"2026-03-30 12:00:00","3.2339901375e+09","9.9365164832e+08"
"2026-03-30 14:00:00","3.5951370610e+09","1.0452846992e+09"
"2026-03-30 16:00:00","4.9982330481e+09","9.4183117988e+08"
"2026-03-30 18:00:00","6.6477264111e+09","9.6132203605e+08"
"2026-03-30 20:00:00","5.3261651522e+09","1.0379527673e+09"
"2026-03-30 22:00:00","7.8374083524e+09","1.1212380716e+09"
"2026-03-31 00:00:00","1.0966012583e+10","1.3562460044e+09"
"2026-03-31 02:00:00","5.6499004274e+09","9.9127122000e+08"
"2026-03-31 04:00:00","2.8184594836e+09","6.5637454097e+08"
"2026-03-31 06:00:00","1.6546482103e+09","6.6646665133e+08"
"2026-03-31 08:00:00","1.6270355258e+09","5.6627886021e+08"
"2026-03-31 10:00:00","2.3093309699e+09","6.8507984144e+08"
"2026-03-31 12:00:00","4.8316975625e+09","8.7044253884e+08"
"2026-03-31 14:00:00","6.1218608388e+09","7.3835562149e+08"
"2026-03-31 16:00:00","7.4324343755e+09","8.2094501709e+08"
"2026-03-31 18:00:00","7.8608484294e+09","1.0269984481e+09"
"2026-03-31 20:00:00","6.9322179989e+09","8.5533923034e+08"
"2026-03-31 22:00:00","8.3512919518e+09","1.0428454366e+09"
"2026-04-01 00:00:00","1.0883457502e+10","1.1152394140e+09"
"2026-04-01 02:00:00","5.6960545570e+09","8.6624722417e+08"
"2026-04-01 04:00:00","2.5494014269e+09","8.4499737972e+08"
"2026-04-01 06:00:00","1.5560054949e+09","4.9368237744e+08"
"2026-04-01 08:00:00","1.6436459174e+09","4.9588532161e+08"
"2026-04-01 10:00:00","2.6036855564e+09","6.4856878427e+08"
"2026-04-01 12:00:00","3.5780058059e+09","9.7040822153e+08"
"2026-04-01 14:00:00","4.3033042864e+09","7.6480926630e+08"
"2026-04-01 16:00:00","5.5407886587e+09","8.8696616790e+08"
"2026-04-01 18:00:00","7.2833976828e+09","9.7576658957e+08"
"2026-04-01 20:00:00","5.2880972686e+09","9.6666291125e+08"
"2026-04-01 22:00:00","6.0834110211e+09","1.0264731671e+09"
"2026-04-02 00:00:00","9.9221540301e+09","1.0207764240e+09"
"2026-04-02 02:00:00","6.3945050904e+09","9.3884785361e+08"
"2026-04-02 04:00:00","3.0021799795e+09","7.2541907703e+08"
"2026-04-02 06:00:00","1.6966371533e+09","5.1886526558e+08"
"2026-04-02 08:00:00","1.5612314601e+09","5.6784332921e+08"
"2026-04-02 10:00:00","2.5047156634e+09","6.7798909863e+08"
"2026-04-02 12:00:00","3.2944889847e+09","8.4524309327e+08"
