file,in_mean,in_max,in_min,in_p95,out_mean,out_max,out_min,out_p95
'ALCORT_R1_Mikrotik - Traffic AIRE VoIP'.csv,333981.61775165034,1189840.2008,1015.5687007,994361.1461275,396352.68562579784,1277057.7304,1046.1586475,1070622.6615449998
'ALCORT_R1_Mikrotik - Traffic AIRE VoIP'_weekly.csv,385252.91418639256,1455006.4559,1009.6759259,1051673.8594499999,476101.276543638,1559165.0741,1033.3711111,1135836.239995
'ALCORT_R1_Mikrotik - Traffic XTRA VoIP'.csv,704872.838310354,2991128.7623,4281.7274153,2497131.1811349997,749623.4407352601,3181620.8532,4888.875182,2644308.9846049994
'ALCORT_R1_Mikrotik - Traffic XTRA VoIP'_weekly.csv,741925.289800362,3015221.8556,1085.6692593,2488430.2353499997,788205.5065144179,3210559.7096,1437.6803704,2643223.0607749997
'ALCORT_R3_Huawei_GE-0_2_0 - Traffico 10G Avatel OP03-SST'.csv,250162381.6912703,446536341.02,124782651.6,365738874.292,2306523975.408135,4878080005.9,710494124.1,4295348921.535001
'ALCORT_R3_Huawei_GE-0_2_0 - Traffico 10G Avatel OP03-SST'_weekly.csv,239473246.81821427,665112642.37,130549302.06,389732510.5625,2255652620.087113,5693322765.3,719494408.82,4480946334.55
'ALCORT_R3_Huawei_GE-0_3_0 - Trafico Hurricane 10G LAG (1)'.csv,2511322784.906828,7129008153.0,605778256.59,5569726575.44,389401292.39357525,892027532.76,119607310.65,612679917.143
'ALCORT_R3_Huawei_GE-0_3_0 - Trafico Hurricane 10G LAG (1)'_weekly.csv,2493424699.1977973,7491427662.4,543099137.07,5682601472.175,316202969.8897024,655607754.63,114779370.08,517749710.4975
'ALCORT_R3_Huawei_GE-0_3_1 - Trafico Hurricane 10G LAG  (2)'.csv,2500484639.963817,7128556003.2,531918318.51,5508711646.855,415154161.0194354,908157555.24,137738144.74,616900964.567
'ALCORT_R3_Huawei_GE-0_3_1 - Trafico Hurricane 10G LAG  (2)'_weekly.csv,2478602682.405387,7507727722.2,542937624.34,5642732692.450001,340740919.81363094,694178236.21,124675132.07,550215670.815
'ALCORT_R3_Huawei_GE-0_3_2 - Trafico OP03-SST XOC-Orange 10G'.csv,299888439.8403387,1162818581.5,29415913.352,513798813.53099996,2084012668.199266,5458851169.4,69750445.117,4059154364.625
'ALCORT_R3_Huawei_GE-0_3_2 - Trafico OP03-SST XOC-Orange 10G'_weekly.csv,283097782.6314286,691298098.95,72457893.361,510657155.8975,2030417291.3215175,4757831110.3,423572617.01,4004556349.425
'ALCORT_R3_Huawei_GE-0_3_3 - Trafico Orange 10G OP04-RJT'.csv,36041197.30384489,36238465.899,9147951.5213,36233049.5367,2802213165.6271505,6806536670.3,627252504.15,5272064037.385
'ALCORT_R3_Huawei_GE-0_3_3 - Trafico Orange 10G OP04-RJT'_weekly.csv,36229583.26953274,36249084.55,36205645.09,36244125.29125,2786605038.11622,6376814786.6,595979498.44,5455824762.55
'ALCORT_R3_Huawei_GE-0_4_2 - Trafico Avatel OP05-ALS'.csv,45855664.27678226,98663580.631,10298277.658,71998468.9944,378974448.11173385,962547286.94,69806882.969,743892419.8209999
'ALCORT_R3_Huawei_GE-0_4_2 - Trafico Avatel OP05-ALS'_weekly.csv,39551181.52192262,82113805.081,7930739.3945,68132250.77375,367496168.04286605,1037019796.7,60182868.746,824645404.52
'ALCORT_R3_Huawei_GE-0_5_1.97_Xtra 10G OP04-RJT'.csv,797318428.8688709,1468252629.1,324607089.69,1211249406.9799998,3326102775.503118,7381747363.0,847443639.02,6312180213.259998
'ALCORT_R3_Huawei_GE-0_5_1.97_Xtra 10G OP04-RJT'_weekly.csv,807662862.6313095,1540063217.4,323913465.09,1247661637.425,3338091804.335477,7368008772.0,725460967.14,6606056498.1
'ALCORT_R3_Huawei_GE-0_5_2 - Trafico Lyntia [10G]'.csv,524048313.9210753,1076972854.1,247131398.84,752628346.833,3203345567.9035487,7371476067.4,707479391.95,6191447472.884998
'ALCORT_R3_Huawei_GE-0_5_2 - Trafico Lyntia [10G]'_weekly.csv,487749249.3417857,920007612.26,246300202.31,741877751.7475,3152583117.599464,8110507543.1,684421726.37,6403784893.974999
'ALCORT_R3_Huawei_GE-0_5_3 - Trafico Lyntia [10G]'.csv,543414589.684301,885739654.47,281939651.31,733450831.947,3234671675.882204,7425299527.1,699421352.53,6223014806.664999
'ALCORT_R3_Huawei_GE-0_5_3 - Trafico Lyntia [10G]'_weekly.csv,523606969.9569345,967733406.75,264104874.73,796036452.3775,3182392064.9589286,8167586613.3,652832004.81,6305820483.225
'ALCORT_R3_Huawei_GE-0_6_1.10 - Trafico 10G Correos OP01-ADZ'.csv,94216261.80253714,307184293.66,983937.33352,223440906.574,446037433.21625465,1065463445.0,6311413.2628,857607604.842
'ALCORT_R3_Huawei_GE-0_6_1.10 - Trafico 10G Correos OP01-ADZ'_weekly.csv,78098411.35330951,414439790.26,24668208.601,229277550.9925,408413376.41365176,1042657246.1,80055636.927,781685682.6600001
'ALCORT_R3_Huawei_GE-0_6_2.42 - Trafico Aire TV'.csv,427368026.23561835,436713393.14,405775273.23,435466413.2355,,,,
'ALCORT_R3_Huawei_GE-0_6_2.42 - Trafico Aire TV'_weekly.csv,424288440.1660119,427319837.68,392009370.34,425894131.0375,,,,
'ALCORT_R3_Huawei_GE-0_6_2.510 - Trafico Aire OP05-ALS'.csv,106316.08767621049,25317555.48,5769.2283118,121653.57240349996,298639016.2001613,408559663.78,251073874.97,303973153.1305
'ALCORT_R3_Huawei_GE-0_6_2.510 - Trafico Aire OP05-ALS'_weekly.csv,36795.20964282322,226504.15924,7000.7281657,130398.52588500001,296160686.849375,296408137.71,292731700.01,296307259.3725
'ALCORT_R3_Huawei_GE-0_6_2.512 - Traffic Aire OP02-INF'.csv,478972115.98478496,833684686.57,153179676.8,719150802.2219999,1655225427.5668283,3922584804.8,409718405.53,3099490076.41
'ALCORT_R3_Huawei_GE-0_6_2.512 - Traffic Aire OP02-INF'_weekly.csv,433563341.745,1055371749.2,141529525.51,781608003.815,1674823079.9740775,4187545246.3,376637033.74,3295323653.4
'ALCORT_R3_Huawei_GE-0_6_3 - Trafico Orange-Jazztel 10G'.csv,2656684941.9776344,7813348084.3,548802177.17,5643035887.150001,856018041.0550001,1993601574.1,312409536.59,1227594367.51
'ALCORT_R3_Huawei_GE-0_6_3 - Trafico Orange-Jazztel 10G'_weekly.csv,2499391072.05503,7423321389.9,518933928.11,5542299690.7,838500509.1976489,1620513293.5,275565810.3,1243662053.525
'ALCORT_R3_Huawei_GE-0_7_2 - Trafico AVATEL OP01-ADZ'.csv,24544606.37076982,335904702.57,1336581.0357,117085279.525,53957708.69664462,982069558.15,12830.96487,504125583.79499996
'ALCORT_R3_Huawei_GE-0_7_2 - Trafico AVATEL OP01-ADZ'_weekly.csv,11177296.629239077,76393202.889,772018.05253,28168974.818499997,529064.8749081398,158084841.35,12786.684148,213290.0919
'ALCORT_R3_Huawei_GE-0_7_4 - Trafico Cablemovil 1G OP04-RJT'.csv,7256.277590275808,7302.4676139,7147.254898,7296.740684095,528420904.75548387,536301243.23,511241034.31,535937820.08100003
'ALCORT_R3_Huawei_GE-0_7_4 - Trafico Cablemovil 1G OP04-RJT'_weekly.csv,7289.561130364584,7315.0132544,7225.1638519,7308.648618075,521392032.5325595,522733141.32,512235900.56,521933396.21999997
'ALCORT_R3_Huawei_GE-0_7_6 - Traffico OP06-EAM Telefonica'.csv,100920764.74881199,252024457.26,33098743.533,177022829.25699997,9265.259236542506,992994.11753,2544.6320245,6608.67796557
'ALCORT_R3_Huawei_GE-0_7_6 - Traffico OP06-EAM Telefonica'_weekly.csv,95277614.03170238,261936195.57,30004111.413,176786737.25,6598.663268013989,6632.0450492,6544.4778682,6619.852348075
'ALCORT_R3_Huawei_Trunk0 - Espanix LAG [10G] Traffic'.csv,3290905266.024167,7290258905.3,650576842.4,5979230808.155,409247580.0701076,989884166.05,114171163.07,661127984.0185
'ALCORT_R3_Huawei_Trunk0 - Espanix LAG [10G] Traffic'_weekly.csv,3444593656.886131,8145309205.3,587548806.31,6909237818.0,395992967.56044644,1065969893.6,105580146.17,723451343.9
'ALCORT_R3_Huawei_Trunk1 - Trafico 10G Google'.csv,1746077066.5759408,4601130002.9,551327407.2,3474256715.94,575971787.733629,958581713.58,303754395.04,795915506.6205
'ALCORT_R3_Huawei_Trunk1 - Trafico 10G Google'_weekly.csv,1517515533.1589286,3902509486.8,505775368.86,3087914015.725,595244596.3694643,1029226913.6,277455760.93,857841897.1724999
'ALCORT_R3_Huawei_Trunk2 - Trafico 10G Netflix 1'.csv,903696544.5270699,3230485851.9,104365518.22,2302298642.87,11294532.947721237,38271363.916,1520654.6502,28941099.505149998
'ALCORT_R3_Huawei_Trunk2 - Trafico 10G Netflix 1'_weekly.csv,868955625.5980922,3027473597.4,79019864.958,2322717828.525,10689437.049502976,36961530.489,1080212.9944,27965364.76925
'ALCORT_R3_Huawei_Trunk3 - Trafico 10G Netflix 2'.csv,905461370.3679813,3042657913.0,99262187.399,2322790957.7949996,11367257.046419892,37849581.579,1429502.3213,29378996.971749995
'ALCORT_R3_Huawei_Trunk3 - Trafico 10G Netflix 2'_weekly.csv,876513826.1741846,3044545163.4,88635154.206,2458833361.225,10751051.731272617,34906690.329,1328811.7914,30060385.525000002
'ALCORT_R3_Huawei_Trunk5 - Lyntia Trafico Agregado [LAG 20G]'.csv,1067463097.3130376,1862987761.7,536752206.13,1443545675.815,6438017584.227958,14785288512.0,1460297034.4,12405806380.749998
'ALCORT_R3_Huawei_Trunk5 - Lyntia Trafico Agregado [LAG 20G]'_weekly.csv,1011355590.2727679,1850467788.4,546071993.2,1419247956.6000001,6334975867.177679,16277495295.0,1366523383.4,12635319178.75
